Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,14.08900,4.62600,-18.71500,2.20600,-16.50900,-16.50900,-16.50900,-16.50900,-18.45300,-18.71500,22.25400,22.25400,-0.74000,-0.74000,17.02790,0.00070,-10.00040,-10.00040,-9.42870,-10.00040,7.41810,-0.581,-0.602
2024-06-30,14.73500,4.65600,-19.39100,2.41500,-16.97600,-16.97600,-16.97600,-16.97600,-19.12600,-19.39100,22.02300,22.02300,-0.77000,-0.77000,20.44570,0.00470,-9.47080,-9.47080,-9.02000,-9.47080,8.05460,11.0869,11.0809
2024-03-31,13.12900,3.75400,-16.88300,1.45300,-15.43000,-15.43000,-15.43000,-15.43000,-16.62000,-16.88300,1.25800,1.25800,-12.27000,-12.27000,10.53750,0.01430,10.92900,-14.49740,-13.17940,-14.49740,84.27000,-12.54050,-12.60650
2023-12-31,10.41400,3.38200,-13.79600,1.65200,-12.14400,-12.14400,-12.14400,-12.14400,-13.54900,-13.79600,,,,0.00000,13.27110,0.01820,9.55600,-10.07510,-9.34920,-10.07510,96.66000,28.5927,28.8894
2023-09-30,11.64500,3.30800,-14.95300,1.78000,-13.17300,-13.17300,-13.17300,-13.17300,-14.71800,-14.95300,1.23000,1.23000,-10.71000,-10.71000,,,,,,,,-9.538,-9.6572
2023-06-30,11.07500,2.88500,-13.96000,1.56200,-12.39800,-12.39800,-12.39800,-12.39800,-13.72200,-13.96000,1.20600,1.20600,-10.28000,-10.28000,,,,,,,,-8.8349,-8.9397
2023-03-31,9.50300,2.58400,-12.08700,0.36800,-11.71900,-11.71900,-11.71900,-11.71900,-11.85000,-12.08700,1.18300,1.18300,-9.91000,-9.91000,,,,,,,,-10.21980,-10.29250
2022-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
