Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12.96310,4.24190,8.72120,1.73500,3.73540,-2.10150,9.01290,-0.29170,-5.71300,-6.00470,-0.05860,-5.94610,-5.94610,-5.94610,1.15960,-0.29170,24.38300,24.38300,-0.24190,-0.24190,1.43650,0.33350,1.23150,67.27740,-2.25050,-2.25050,-46.32170,-45.86940,0.09650,-11.49070,1367.97000,-4.42740,-7.65860,2.13120,0.0455,0.0453
2024-06-30,12.82600,4.17010,8.65590,2.15780,3.96260,-1.95970,9.60290,-0.94700,-8.14510,-9.09210,-0.06720,-9.02490,-9.02490,-9.02490,0.55060,-0.94700,24.41000,24.41000,-0.37270,-0.37270,1.38290,0.31220,1.11910,67.48700,-7.38340,-7.38340,-70.88820,-70.36400,0.09160,-15.69820,-190.07400,-6.44600,-10.79670,2.36770,0.0174,0.0174
2024-03-31,13.28780,4.72210,8.56570,1.94000,4.17570,-2.08900,9.96600,-1.40030,-1.33880,-2.73910,-0.06300,-2.67610,-2.67610,-2.67610,0.36100,-1.40030,24.42600,24.42600,-0.11120,-0.11120,1.51710,0.28600,0.99490,64.46300,-10.53840,-10.53840,-20.61370,-20.13950,0.08680,-3.98200,-20.82850,-1.74850,-2.84320,2.76460,-0.11730,-0.11730
2023-12-31,12.61370,4.19220,8.42150,1.61110,3.47320,-1.74470,8.58360,-0.16200,6.46840,6.30640,-0.05890,6.36520,6.36520,6.36520,1.57470,-0.16200,24.85300,24.85300,0.23950,0.23950,1.71170,0.28180,0.94850,66.76440,-1.28470,-1.28470,49.99600,50.46280,0.08200,9.16780,45.68720,4.13570,6.58390,2.85430,-0.0637,-0.0699
2023-09-30,12.05900,3.57220,8.48670,1.89830,3.71530,-1.93260,9.11500,-0.62830,-6.54670,-7.17500,-0.09170,-7.08330,-7.08330,-7.08330,0.94740,-0.62830,24.78900,24.78900,-0.28320,-0.28320,1.60760,0.30000,1.01300,70.37700,-5.21010,-5.21010,-59.49940,-58.73920,0.08240,-11.14260,-104.88900,-4.84100,-7.79980,2.58990,-0.1258,-0.1258
2023-06-30,11.90680,3.02350,8.88320,2.07670,3.96000,-2.07070,9.74680,-0.86360,-6.60270,-7.46630,-0.02230,-7.44400,-7.44400,-7.44400,0.78670,-0.86360,24.98780,24.98780,-0.29010,-0.29010,1.52410,0.28000,0.89580,74.60650,-7.25260,-7.25260,-62.70610,-62.51870,0.07930,-10.57740,-58.80490,-4.95810,-7.61590,2.84160,-0.0541,-0.0541
2023-03-31,11.73630,2.96270,8.77360,2.25970,3.87120,-2.10600,9.99100,-1.21750,-3.99460,-5.21210,-0.12340,-5.08870,-5.08870,-5.08870,0.53670,-1.21750,24.98880,24.98880,-0.19950,-0.19950,1.55830,0.26310,0.81300,74.75590,-10.37350,-10.37350,-44.41020,-43.35830,0.07470,-6.61380,-27.36960,-3.23960,-4.87350,3.09160,-0.02960,-0.02980
2022-12-31,12.64890,3.99030,8.65860,2.31070,4.31520,-2.21610,11.17820,-2.51950,-54.14280,-56.66240,-0.06370,-56.59870,-56.59870,-56.59870,-0.05580,-2.51950,25.43950,25.43950,-2.22040,-2.22040,1.59850,0.25660,0.79110,68.45330,-19.91900,-19.91900,-447.96220,-447.45860,0.07420,-66.35750,-239.66250,-33.22040,-49.33300,3.42690,-0.0361,-0.0375
2022-09-30,13.22230,4.92050,8.30180,2.44110,6.66060,-2.64030,14.15100,-5.84920,-9.54070,-15.38990,-0.06900,-15.32090,-15.32090,-15.32090,-3.54640,-5.84920,25.31510,25.31510,-0.59770,-0.59770,1.69350,0.17550,0.48760,62.78610,-44.23710,-44.23710,-116.39330,-115.87180,0.05710,-10.72480,-29.59650,-6.61870,-8.84240,5.66570,-0.1561,-0.1579
2022-06-30,13.53980,4.65870,8.88110,2.58500,8.74330,-2.80580,16.59780,-7.71670,-32.96930,-40.68600,-0.06580,-40.62020,-40.62020,-40.62020,-5.27450,-7.71670,25.57840,25.57840,-1.59770,-1.59770,1.78900,0.16190,0.42550,65.59280,-56.99250,-56.99250,-300.49160,-300.00580,0.05370,-25.34690,-62.07490,-16.11630,-21.24240,6.35580,-0.2726,-0.2746
