Date,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,111.76100,89.95300,21.80800,5.92300,15.88500,,15.88500,3.12500,12.76000,12.76000,12.65000,11.60500,15.88500,13.66450,13.80090,0.93000,0.92000,,,14.21340,14.21340,14.21340,11.31880,0.06350,1.86900,1.91100,0.72450,1.85810,50.17050,1.0857,1.0857
2024-06-30,108.68700,89.63000,19.05700,6.38300,12.67400,,12.67400,2.58100,10.09300,10.09300,9.98300,6.92800,12.69100,13.60960,13.67790,0.73000,0.73000,,,11.66100,11.67670,11.66100,9.18510,0.06250,1.52120,1.55660,0.58050,1.51210,48.84920,1.0436,1.0436
2024-03-31,112.29100,91.65300,20.63800,6.37300,14.26500,,14.26500,2.89900,11.36600,11.36600,11.25600,11.31200,14.26500,13.57920,13.68740,0.83000,0.82000,,,12.70360,12.70360,12.70360,10.02400,0.06500,1.73400,1.77510,0.65770,1.72340,48.47670,1.65670,1.65670
2023-12-31,109.26100,93.79000,15.47100,6.73300,8.73800,,8.73800,2.84000,5.89800,5.89800,5.78800,7.26100,8.72600,13.55320,13.66640,0.43000,0.44000,,,7.99740,7.98640,7.99740,5.29740,0.06320,0.91480,0.93700,0.34100,0.90910,47.82540,0.4777,0.4777
2023-09-30,126.06100,111.31800,14.74300,5.28000,9.46300,,9.46300,1.76300,7.70000,7.70000,7.59000,8.77300,9.46300,13.52290,13.81440,0.56000,0.55000,,0.03270,7.50670,7.50670,7.50670,6.02090,0.07130,1.22870,1.25960,0.43560,1.22100,46.56840,1.6266,1.6266
2023-06-30,141.89300,125.18300,16.71000,5.00200,11.70800,,11.70800,2.37100,9.33700,9.33700,9.22700,12.19700,11.72000,13.47800,13.70800,0.68000,0.67000,,0.03530,8.25130,8.25980,8.25130,6.50280,0.08000,1.50010,1.53830,0.52630,1.49060,46.32290,0.6514,0.6514
2023-03-31,150.91400,141.47900,9.43500,6.36800,3.06700,,3.06700,0.57300,2.49400,2.49400,2.38400,4.20700,3.06700,13.67070,13.92920,0.17000,0.17000,,0.00160,2.03230,2.03230,2.03230,1.57970,0.08490,0.39950,0.40970,0.14030,0.39700,45.96980,0.38240,0.38240
2022-12-31,155.63500,151.17100,4.46400,2.70310,1.76100,,1.76100,-0.57800,2.33900,2.33900,2.22900,3.65400,1.75990,14.48220,14.48220,0.16000,0.18000,0.00010,0.00010,1.13150,1.13080,1.13150,1.43220,0.08640,0.37590,0.38560,0.12990,0.37350,45.15880,0.2329,0.2329
2022-09-30,194.58300,149.33500,45.24800,14.06400,31.18400,,31.18400,7.43800,23.74600,23.74600,23.63600,34.06200,31.18400,14.58980,14.79600,1.62000,1.60000,0.00020,0.00020,16.02610,16.02610,16.02610,12.14700,0.10350,3.71270,3.80620,1.26370,3.68900,44.03460,1.5523,1.5523
2022-06-30,147.86000,153.71600,-5.85600,3.40300,-9.25900,-3.52900,-12.78800,-0.62600,-12.16200,-12.16200,-12.27200,-7.01600,-8.84900,14.54320,14.54320,-0.84000,-0.84000,,0.01490,-6.26200,-5.98470,-8.64870,-8.29970,0.07940,-1.90840,-1.97490,-0.65320,-1.89650,43.95490,1.9625,1.9625
2022-03-31,130.45600,141.38700,-10.93100,7.25500,-18.18600,,-18.18600,-3.41300,-14.77300,-14.77300,-14.88300,-12.49000,-15.59100,14.51500,14.51500,-1.03000,-1.03000,0.15890,0.18890,-13.94030,-11.95120,-13.94030,-11.40850,0.06660,-2.21930,-2.29360,-0.75390,-1.85560,46.05770,-0.69320,-0.69320
2021-12-31,189.15300,145.63000,43.52300,13.78100,29.74200,,29.74200,4.56700,25.17500,25.17500,25.06500,38.48100,32.33600,14.42670,14.66430,1.73000,1.71000,0.15260,0.18000,15.72380,17.09510,15.72380,13.25120,0.09400,3.58300,3.69700,1.25070,3.01910,48.71800,1.6191,1.6191
2021-09-30,166.98800,168.47700,-1.48900,7.98300,-9.47200,,-9.47200,-1.75900,-7.71300,-7.71300,-7.82300,-3.24600,-6.87600,14.44540,14.44540,-0.54000,-0.54000,0.15380,0.18180,-5.67230,-4.11770,-5.67230,-4.68480,0.08560,-1.11590,-1.15450,-0.39540,-0.93880,48.00680,1.3382,1.3382
2021-06-30,164.39500,148.15100,16.24400,9.02500,7.21900,,7.21900,0.84400,6.37500,6.37500,6.26500,13.81900,9.91500,14.41250,14.68170,0.43000,0.43000,0.15120,0.18330,4.39130,6.03120,4.39130,3.81090,0.08490,0.90350,0.93430,0.32910,0.76260,49.06280,2.4578,2.4578
2021-03-31,157.73200,145.54700,12.18500,6.87100,5.31400,,5.31400,-0.20300,5.51700,5.51700,5.40700,11.29500,7.90900,14.38040,14.64070,0.38000,0.37000,0.15350,0.19820,3.36900,5.01420,3.36900,3.42800,0.08310,0.79670,0.82450,0.29070,0.67050,48.27390,0.77670,0.77670
2020-12-31,158.27300,146.45800,11.81510,10.55590,1.25910,,1.25900,0.06800,1.19100,1.19100,1.08100,7.92410,3.85410,14.29130,14.29130,0.08000,0.10000,0.15420,0.18230,0.79550,2.43510,0.79550,0.68300,0.08310,0.16670,0.17240,0.06250,0.14020,49.89370,-0.0865,-0.0865
2020-09-30,159.91300,150.41600,9.49700,24.81600,-15.31900,-3.06000,-18.37900,-3.20900,-15.17000,-15.17000,-15.21200,-8.10400,-11.69900,14.30400,14.30400,-1.06000,-1.06000,0.15470,0.18300,-9.57960,-7.31590,-11.49310,-9.51270,0.08240,-2.11660,-2.18870,-0.78210,-1.77930,50.13310,-1.2698,-1.2698
2020-06-30,178.76100,120.87500,57.88600,13.33000,44.55600,,44.55600,7.00500,37.55100,37.55100,37.55100,52.56400,49.26800,14.27550,14.38940,2.63000,2.61000,0.28820,0.40500,24.92490,27.56080,24.92490,21.00630,0.08460,5.10760,5.30800,1.77700,3.63540,51.24450,2.1837,2.1837
2020-03-31,86.60000,134.05900,-47.45900,9.08800,-56.54700,,-56.54700,-11.96900,-44.57800,-44.57800,-44.57800,-48.44200,-51.68200,14.24960,14.24960,-3.13000,-3.13000,0.30410,0.44080,-65.29680,-59.67900,-65.29680,-51.47580,0.04270,-6.60770,-6.89260,-2.19760,-4.59840,47.11800,1.45860,1.45860
2019-12-31,175.91300,128.18300,47.73000,12.12000,35.61000,,35.61000,6.57900,29.03100,29.03100,29.03100,43.57600,40.54400,14.19180,14.33470,2.05000,2.02000,0.29040,0.40930,20.24300,23.04780,20.24300,16.50300,0.08470,3.99430,4.15440,1.39850,2.83420,50.82580,-0.947,-0.947
2019-09-30,142.23400,126.94900,15.28500,8.88100,6.40400,,6.40400,-0.31700,6.72100,6.72100,6.72100,14.69900,11.42700,14.20300,14.32800,0.47000,0.47000,0.29590,0.42150,4.50240,8.03390,4.50240,4.72530,0.06820,0.95010,0.98950,0.32250,0.66900,49.53080,3.4244,3.4244
2019-06-30,146.13900,120.60900,25.53000,9.68100,15.84900,,15.84900,1.18600,14.66300,14.66300,14.66300,23.80300,20.89100,14.18730,14.33130,1.03000,1.02000,0.29610,0.43480,10.84520,14.29530,10.84520,10.03360,0.07250,2.11130,2.20090,0.72750,1.48620,48.69520,1.4012,1.4012
2019-03-31,140.18600,108.06400,32.12200,8.22800,23.89400,,23.89400,4.29400,19.60000,19.60000,19.60000,31.95500,28.91700,14.15400,14.31500,1.38000,1.37000,0.30990,0.44910,17.04450,20.62760,17.04450,13.98140,0.07060,2.93560,3.06610,0.98750,2.02590,46.86290,-1.62000,-1.62000
2018-12-31,113.26100,188.78100,-75.52000,11.08200,-86.60200,,-86.60200,-13.28500,-73.31700,-73.31700,-73.31700,-78.54500,-81.63300,14.08900,14.08900,-5.20000,-5.18000,0.31450,0.45870,-76.46240,-72.07510,-76.46230,-64.73280,0.05780,-11.65500,-12.20900,-3.74020,-7.98990,44.21280,-0.2114,-0.2114
2018-09-30,138.00800,129.17300,8.83500,8.39900,0.43600,,0.43600,-3.29200,3.72800,3.72800,3.72800,8.62600,5.36000,14.10020,14.34660,0.26000,0.26000,0.28660,0.40870,0.31590,3.88380,0.31590,2.70130,0.07050,0.53080,0.55340,0.19040,0.37870,49.37960,-0.9158,-0.9158
2018-06-30,128.02500,106.37400,21.65100,15.85800,5.79300,,5.79300,-1.39900,7.19200,7.19200,7.19200,14.18700,10.73300,14.09240,14.33460,0.51000,0.50000,0.29030,0.40980,4.52490,8.38350,4.52490,5.61770,0.06460,1.02390,1.06770,0.36290,0.72670,49.41380,1.2273,1.2273
2018-03-31,119.64400,101.07500,18.56900,14.12100,4.44800,,4.44800,-1.25300,5.70100,5.70100,5.70100,12.70900,9.30900,14.05500,14.28600,0.41000,0.40000,0.28940,0.42240,3.71770,7.78060,3.71770,4.76500,0.06090,0.81010,0.84480,0.29030,0.57570,49.53210,2.88580,2.88580
2017-12-31,124.48500,115.27900,9.20600,19.51000,-10.30400,,-10.30400,12.69400,-22.99800,-22.99800,-22.99800,-1.94300,-5.46300,17.30900,17.30900,-1.33000,-1.31000,0.29090,0.41020,-8.27730,-4.38850,-8.27730,-18.47450,0.06220,-3.20130,-3.33630,-1.14890,-2.27000,50.56710,-0.4475,-0.4475
2017-09-30,120.08400,127.39700,-7.31300,9.46600,-16.77900,,-16.77900,-7.85500,-8.92400,-8.92400,-8.92400,-8.32600,-11.94300,17.34300,17.34300,-0.51000,-0.51000,0.26620,0.36280,-13.97270,-9.94550,-13.97270,-7.43150,0.05640,-1.08310,-1.12290,-0.41880,-0.79480,46.91450,-0.4524,-0.4524
2017-06-30,117.03300,101.15700,15.87600,8.12300,7.75300,,7.75300,-2.33600,10.08900,10.08900,10.08900,15.97600,12.51500,17.33590,17.69090,0.58000,0.57000,0.26770,0.36560,6.62460,10.69360,6.62460,8.62060,0.05560,1.21900,1.26370,0.47940,0.89260,47.13410,0.5783,0.5783
2017-03-31,123.91300,109.11200,14.80100,5.52100,9.28000,,9.28000,-3.00200,12.28200,12.28200,12.28200,15.78500,11.74700,17.31600,17.64600,0.71000,0.70000,0.27220,0.37400,7.48910,9.48000,7.48910,9.91180,0.05980,1.50670,1.56320,0.59270,1.09660,46.43770,-0.77080,-0.77080
2016-12-31,149.87200,96.83500,53.03700,6.50200,46.53500,,46.53500,8.16200,38.37300,38.37300,38.37300,52.77900,48.76300,17.24670,17.54710,2.23000,2.19000,0.17290,0.20910,31.04980,32.53640,31.04980,25.60390,0.07600,4.80890,4.99420,1.94500,3.97730,45.41550,-0.5617,-0.5617
2016-09-30,138.12800,120.29100,17.83700,7.23900,10.59800,,10.59800,1.06300,9.53500,9.53500,9.53500,16.70800,12.83100,17.25500,17.54000,0.55000,0.54000,0.18280,0.22380,7.67260,9.28920,7.67260,6.90300,0.06970,1.21860,1.26680,0.48110,0.99580,44.55070,-0.7657,-0.7657
2016-06-30,121.66900,126.65300,-4.98400,6.48400,-11.46800,,-11.46800,-6.30300,-5.16500,-5.16500,-5.16500,-5.09800,-9.23900,17.24400,17.24400,-0.30000,-0.30000,0.18440,0.22600,-9.42560,-7.59360,-9.42560,-4.24510,0.06060,-0.67010,-0.69710,-0.25750,-0.54660,43.90730,0.8215,0.8215
2016-03-31,124.84500,116.87400,7.97100,6.01800,1.95300,,1.95300,-5.17200,7.12500,7.12500,7.12500,8.39700,4.16800,17.22400,17.44400,0.41000,0.41000,0.17880,0.21780,1.56430,3.33850,1.56430,5.70710,0.06350,0.93000,0.96790,0.36230,0.76370,43.66020,-0.58860,-0.58860
2015-12-31,136.43100,99.68300,36.74800,7.28500,29.46300,,29.46300,2.15900,27.30400,27.30400,27.30400,39.05800,31.74100,24.25370,24.50590,1.15000,1.15000,0.18660,0.22940,21.59550,23.26520,21.59550,20.01310,0.06970,3.64090,3.79330,1.39500,2.96150,42.98310,0.2004,0.2004
2015-09-30,124.06000,128.62500,-4.56500,5.16200,-9.72700,,-9.72700,-5.98100,-3.74600,-3.74600,-3.74600,0.76000,-8.13200,25.46400,25.46400,-0.15000,-0.15000,0.24320,0.32140,-7.84060,-6.55490,-7.84060,-3.01950,0.05350,-0.40640,-0.42170,-0.16160,-0.30760,35.81830,-0.7957,-0.7957
