Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,322.96400,224.08300,98.88100,71.42500,71.42500,27.45600,-2.48100,24.97500,5.22700,19.74800,19.74800,,19.74800,29.95200,27.45600,25.33700,25.91200,0.78000,0.76000,8.50130,8.50130,7.73310,6.11460,0.09110,2.51300,2.52620,0.55690,2.51300,31.00990,2.0626,1.9487
2024-06-30,301.16900,236.09000,65.07900,67.38900,67.38900,-2.31000,-1.46000,-3.77000,-1.03500,-2.73500,-2.73500,,-2.73500,0.83800,-2.31000,25.31400,25.31400,-0.11000,-0.11000,-0.76700,-0.76700,-1.25180,-0.90810,0.08840,-0.37640,-0.37860,-0.08020,-0.37640,28.67840,3.6367,3.5067
2024-03-31,295.99900,213.16600,82.83300,65.69000,65.69000,17.14300,-0.85900,16.28400,2.78200,13.50200,13.50200,,13.50200,19.81500,17.14300,25.27500,25.83400,0.53000,0.52000,5.79160,5.79160,5.50140,4.56150,0.09120,1.83260,1.84370,0.41610,1.83260,29.12930,1.39970,1.29900
2023-12-31,287.31910,199.02800,88.29110,63.29100,66.55100,21.74010,,24.13100,4.52300,19.60800,19.60800,,19.60800,24.40710,21.74010,25.24900,25.24900,0.77000,0.77000,7.56650,7.56650,8.39870,6.82450,0.09140,2.67230,2.68920,0.62360,2.67230,29.03620,0.9568,0.8398
2023-09-30,273.95500,202.07300,71.88200,62.70900,62.70900,9.17300,-0.79700,8.37600,1.99600,6.38000,6.38000,,6.38000,11.83200,9.17300,25.26400,25.57900,0.25000,0.25000,3.34840,3.34840,3.05740,2.32890,0.08980,0.98920,0.99670,0.20910,0.98920,25.52790,4.3453,4.2535
2023-06-30,267.08900,279.36300,-12.27400,59.15600,59.15600,-71.43000,-0.79700,-72.22700,-15.84500,-56.38200,-56.38200,,-56.38200,-68.89400,-71.43000,25.24900,25.24900,-2.23000,-2.23000,-26.74390,-26.74390,-27.04230,-21.10980,0.08850,-8.33600,-8.39770,-1.86830,-8.33600,26.77300,1.7657,1.6459
2023-03-31,267.10400,206.47300,60.63100,59.83500,59.83500,0.79600,-0.79700,-0.00100,-0.69500,0.69400,0.69400,,0.69400,3.44200,0.79600,25.22000,25.50000,0.03000,0.03000,0.29800,0.29800,-0.00040,0.25980,0.09220,0.09230,0.09290,0.02390,0.09230,29.79530,-0.26610,-0.36870
2022-12-31,280.16300,199.76600,80.39700,56.95900,60.14710,20.24990,,22.64100,2.52100,20.12000,20.12000,,20.12000,19.84090,20.25000,25.16100,25.31800,0.80000,0.80000,7.22790,7.22790,8.08140,7.18150,0.09720,2.71850,2.73820,0.69810,2.71850,29.35680,1.1334,1.1552
2022-09-30,235.57300,212.89800,22.67500,53.10700,53.10700,-30.43200,-0.79700,-31.22900,-8.24800,-22.98100,-22.98100,,-22.98100,-25.76400,-30.43200,25.18900,25.18900,-0.91000,-0.91000,-12.91830,-12.91830,-13.25660,-9.75540,0.08360,-3.27930,-3.30520,-0.81520,-3.27930,27.81930,-0.5516,-0.6855
2022-06-30,219.53600,180.26200,39.27400,52.53800,52.53800,-13.26400,-0.79700,-14.06100,-3.60400,-10.45700,-10.45700,,-10.45700,-11.52100,-13.26400,25.14800,25.14800,-0.42000,-0.42000,-6.04180,-6.04180,-6.40490,-4.76320,0.07610,-1.33910,-1.34890,-0.36240,-1.33910,31.00420,-0.6942,-0.5674
