Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1476.77500,1176.09900,300.67660,173.13460,173.13400,127.54200,-31.44570,96.09630,15.02650,81.06980,81.06980,,80.92320,422.42040,127.54200,380.14500,385.32100,0.17590,0.16860,0.58230,0.56000,1.42950,20.36040,8.63650,8.63650,6.50720,5.47970,0.10000,1.64410,54.74070,1.57880,-3.09900,0.54920,0.69460,12.46370,0.6365,0.1859
2024-06-30,1505.24200,1213.83900,291.40310,185.52470,185.52500,105.87830,-492.85710,-386.97870,-41.86910,-345.10960,-345.10960,,-360.60050,392.76860,105.87830,376.59900,376.59900,-0.95720,-0.95720,0.88920,0.59110,1.45610,19.35920,7.03400,7.03400,-25.70870,-23.95630,0.10160,1.73690,51.81550,-6.79040,12.49570,-2.32940,-2.77640,12.40490,0.695,0.1302
2024-03-31,1335.37800,1115.06300,220.31430,204.15400,204.15500,16.16030,-186.73350,-170.57310,-39.73370,-130.83940,-130.83940,,-145.51720,285.77110,16.16030,372.98700,372.98700,-0.39290,-0.39290,0.84080,0.56350,1.30100,16.49830,1.21020,1.21020,-12.77340,-10.89710,0.08990,1.66750,53.97300,-2.38980,4.82120,-0.88040,-1.04310,13.36560,0.52310,-0.05050
2023-12-31,1383.32100,1156.93800,226.38240,213.78680,213.78700,12.59560,-74.61600,-62.02010,-14.70420,-47.31590,-47.31590,,-74.72760,296.63350,12.59570,369.65600,369.65600,-0.15880,-0.14400,0.82030,0.55500,1.25640,16.36520,0.91050,0.91050,-4.48340,-5.40200,0.09390,1.65590,54.35180,-0.86470,1.79380,-0.32130,-0.38480,13.41330,0.797,0.3645
2023-09-30,1408.61700,1137.92400,270.69290,174.92190,174.92200,95.77100,-95.54750,0.22360,-13.41540,13.63900,13.63900,,-0.29810,357.15530,95.77100,369.55700,369.55700,0.00000,0.00000,0.91390,0.55090,1.23390,19.21690,6.79890,6.79890,0.01590,-0.02120,0.09500,1.59790,56.32380,0.24360,-0.53180,0.09200,0.10940,13.76660,0.3275,-3.2883
2023-06-30,1445.65000,1183.08800,262.56140,174.19800,174.19800,88.36340,307.85880,396.22230,177.69380,218.52840,218.52840,,202.53670,366.64980,88.36340,369.22500,401.21800,0.55040,0.53550,0.77330,0.53570,1.16120,18.16220,6.11240,6.11240,27.40790,14.01010,0.10470,1.74600,51.54760,4.11980,-9.04840,1.58320,1.91260,13.06700,0.4548,3.0325
2023-03-31,1329.89500,1149.16000,180.73450,158.55840,158.55900,22.17620,-214.29410,-192.11810,-31.12030,-160.99780,-160.99780,,-162.18050,302.03730,22.17620,369.17620,369.17620,-0.48790,-0.48790,1.49640,0.58680,1.43060,13.59010,1.66750,1.66750,-14.44610,-12.19500,0.09070,1.76110,51.10560,-3.13130,5.77180,-1.09830,-1.29370,12.66650,0.38540,-0.13460
2022-12-31,1354.03800,1207.69200,146.34580,149.98820,149.98800,-3.64260,-192.03750,-195.68010,-22.65440,-173.02580,-173.02580,2.49020,-171.22720,311.55140,-3.64260,367.17100,367.17100,-0.51910,-0.51910,0.51380,0.61310,1.59590,10.80810,-0.26900,-0.26900,-14.45160,-12.64570,0.08910,1.57440,57.16520,-3.72170,4.17850,-1.13790,-1.44010,12.22770,0.8557,0.4294
2022-09-30,1403.06500,1219.71400,183.35170,143.66250,143.66200,39.68920,-238.51810,-198.82890,-58.07800,-140.75090,-140.75090,,-140.59770,324.75890,39.68920,368.62800,368.62800,-0.42140,-0.42140,0.64320,0.60530,1.54470,13.06790,2.82880,2.82880,-14.17100,-10.02080,0.09150,1.51150,59.54290,-2.90590,3.56430,-0.91780,-1.14690,12.74060,0.5761,0.1649
2022-06-30,1337.14300,1160.55400,176.58910,139.70500,139.70500,36.88400,-9.71040,27.17360,-37.51050,64.68410,64.68410,-14.33070,50.35330,327.83190,36.88400,366.84370,368.70670,0.09400,0.09400,0.63250,0.59590,1.48560,13.20650,2.75840,2.75840,2.03220,3.76570,0.08930,1.56140,57.64220,1.34440,-1.63070,0.43220,0.54320,12.67400,0.4858,0.6915
2022-03-31,1106.54500,999.31770,107.22770,128.46790,128.46830,-21.24020,112.20220,90.96190,-17.21330,108.17520,108.17520,-86.54020,21.63500,260.96280,-21.24020,364.03600,366.55000,0.01580,0.01580,0.71990,0.59250,1.46520,9.69030,-1.91950,-1.91950,8.22040,1.95520,0.07810,1.65920,54.24150,2.40410,-2.87100,0.76360,0.97970,11.99660,0.37910,0.13940
2021-12-31,1221.75300,1136.24600,85.50730,134.95020,134.95000,-49.44310,-27.51800,-76.96090,54.28300,-131.24390,-131.24390,,-131.24390,277.64110,-49.44310,361.56600,361.56600,-0.39930,-0.39930,0.98250,0.58730,1.43480,6.99870,-4.04690,-4.04690,-6.29920,-10.74230,0.08330,1.34940,66.69430,-2.84770,3.25390,-0.89520,-1.17530,12.28800,0.6341,0.3217
2021-09-30,1179.76300,1026.60300,153.16030,120.98710,120.98700,32.17310,-307.83000,-275.65680,-80.86990,-194.78690,-194.78690,,-194.78690,290.10190,32.17310,362.05900,362.05900,-0.56400,-0.56400,1.73990,0.61000,1.57660,12.98230,2.72710,2.72710,-23.36540,-16.51070,0.08190,1.36100,66.12890,-4.43570,5.35000,-1.35280,-1.72980,12.13190,0.4711,0.4087
2021-06-30,1070.10300,966.69960,103.40340,111.13830,111.13840,-7.73490,40.79140,33.05650,12.53870,20.51780,20.51780,,20.51780,270.25580,-7.73490,360.73570,362.53990,0.02440,0.02440,1.12250,0.55370,1.25150,9.66290,-0.72280,-0.72280,3.08910,1.91740,0.08370,1.50390,59.84250,0.46560,-0.64500,0.16060,0.20780,12.30340,0.4101,0.2092
2021-03-31,937.17670,858.27560,78.90110,105.20140,105.20140,-26.30030,-222.88160,-249.18190,-70.52910,-178.65280,-178.65280,,-178.65280,222.17080,-26.30030,360.37800,360.37800,-0.52130,-0.52130,0.83880,0.54060,1.18750,8.41900,-2.80630,-2.80630,-26.58860,-19.06290,0.07650,1.45400,61.89870,-4.19540,5.56240,-1.45850,-1.92720,11.98480,0.46620,0.18670
2020-12-31,943.58400,1036.37200,-92.78780,110.41190,110.41200,-203.19960,-305.44190,-508.64170,-142.65470,-365.98690,-365.98690,,-365.98700,202.38560,-203.19960,360.38300,360.38300,-1.04490,-1.04490,0.86160,0.52650,1.11940,-9.83360,-21.53490,-21.53490,-53.90530,-38.78690,0.08040,1.45740,61.75340,-8.63260,12.52450,-3.11680,-4.08750,11.94470,0.3347,0.0956
