Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,24.55000,21.02500,3.52500,4.56300,5.54900,-2.02400,93.49300,91.46900,,91.46900,,91.46900,91.89800,0.57700,-2.02400,13.32000,13.32000,6.90000,6.90000,0.30960,0.44850,-8.24440,-8.24440,372.58250,374.33000,0.03520,20.38890,20.38890,13.13200,14.07590,33.68030,-0.2843,-0.2879
2024-06-30,30.55100,31.18500,-0.63400,4.58600,5.76400,-6.39800,-21.55800,-27.95200,,-27.95200,,-27.95200,-27.11500,-3.50300,-6.39800,13.32000,13.32000,-2.04000,-2.04000,0.35600,0.55280,-20.94200,-20.94200,-91.49290,-88.75320,0.05080,-7.83510,-7.83510,-4.65060,-5.04580,26.78340,-0.481,0.7032
2024-03-31,25.43600,24.12200,1.31400,7.39300,8.57600,-7.26200,-3.86900,-11.13100,0.00200,-11.13300,,-48.99600,-48.98100,-4.38900,-7.26200,13.32000,13.32000,-3.68000,-3.68000,0.33640,0.50690,-28.55010,-28.55010,-43.76080,-192.56560,0.04080,-12.73590,-12.73590,-7.86570,-8.45150,28.88200,-1.06830,-0.28950
2023-12-31,37.21600,34.32200,2.89400,7.23900,8.51600,-5.62200,11.07400,5.45200,,5.45200,,66.14200,66.13400,-2.72200,-5.62200,13.32000,13.32000,4.96000,4.96000,0.30780,0.44460,-15.10640,-15.10640,14.64960,177.70310,0.05560,15.24570,15.24570,9.88380,10.55340,32.57060,-0.4312,1.0904
2023-09-30,43.57100,31.76700,11.80400,7.31000,8.43500,3.36900,-85.12700,-81.75800,,-81.75800,,-81.75800,-81.81400,4.45100,3.36900,13.32000,13.32000,-6.14000,-6.14000,0.37900,0.61020,7.73220,7.73220,-187.64320,-187.77170,0.07210,-23.44110,-23.44110,-13.53010,-14.55810,26.18480,-0.6246,0.9443
2023-06-30,25.48000,24.75100,0.72900,7.55200,8.64200,-7.91300,-82.02100,-89.93400,,-89.93400,,-89.93400,-89.96100,-6.84500,-7.91300,13.32000,13.32000,-6.75000,-6.75000,0.34560,0.52800,-31.05570,-31.05570,-352.95920,-353.06520,0.03630,-20.88200,-20.88200,-12.80410,-13.66610,32.33320,-0.3079,0.1723
2023-03-31,16.78600,19.57000,-2.78400,14.09800,15.17800,-17.96200,-12.08800,-30.05000,,-30.05000,,-90.74000,-90.71500,-17.12800,-17.96200,13.32000,13.32000,-6.81000,-6.81000,0.32600,0.48360,-107.00590,-107.00590,-179.01820,-540.42060,0.02060,-17.42870,-17.42870,-11.15950,-11.74750,39.08670,-0.04160,0.51000
2022-12-31,18.05100,40.56200,-22.51100,5.05500,-13.87700,-8.63400,26.67800,18.04400,0.00000,18.04400,-50.50200,-32.45800,-32.44900,-7.52900,-8.63400,13.32000,13.32000,-2.43000,-2.43000,,,-47.83120,-47.83120,99.96120,-179.76290,0.01800,-3.33840,-3.33840,-3.22850,-3.33840,,-0.6862,2.4657
2022-09-30,38.41200,32.20300,6.20900,7.00500,8.15500,-1.94600,-9.47900,-11.42500,,-11.42500,,17.56800,17.51100,-2.01300,-1.94600,13.32000,13.32000,1.31000,1.31000,,,-5.06610,-5.06610,-29.74330,45.58730,,,,,,,0.0751,0.637
2022-06-30,40.74300,36.49400,4.24900,-2.06700,-0.87100,5.12000,-34.90700,-29.78700,,-29.78700,,-20.88300,-20.89000,3.70300,5.12000,13.32000,13.32000,-1.57000,-1.57000,,,12.56660,12.56660,-73.10950,-51.27260,,,,,,,-0.6357,0.7218
2022-03-31,26.87100,24.36500,2.50600,0.94400,2.15900,0.34700,-13.49000,-13.14300,,-13.14300,,-0.53800,-0.52000,-1.22300,0.34700,13.32000,13.32000,-0.04000,-0.04000,,,1.29140,1.29140,-48.91150,-1.93520,,,,,,,-0.80710,-0.09540
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
