Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-04-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2021-04-30,4.60940,1.48660,3.12270,1.31250,1.31250,1.81020,-0.05310,1.75720,0.44570,1.31150,1.31150,1.32410,1.81020,1.81020,0.06410,0.06410,21.04950,21.04950,1.39950,67.74790,39.27300,39.27300,38.12210,28.72550,0.31750,11.04070,0.83530,107.74890,13.26490,13.28770,9.03450,13.26490,154.15510,-2.0714,-2.0986
2020-10-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,2.6627,2.8582
2020-04-30,1.27720,0.79120,0.48600,0.53090,0.53090,-0.04490,0.01710,-0.02780,0.00000,-0.02780,-0.02780,-0.01700,-0.04490,-0.04490,0.06410,0.06410,-4.67770,-4.67770,,38.05270,-3.51410,-3.51410,-2.17620,-1.33350,,,,,,,,,,-2.6627,-2.8582
2019-10-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.0,0.0
