Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,357.17700,139.90000,217.27700,151.78900,155.31700,61.96000,-2.17600,59.78400,12.43700,47.34700,47.34700,,45.50200,119.81800,119.95200,0.38000,0.38000,0.08500,0.09290,29.47220,22.43150,0.00740,1.42680,1.94720,0.17300,1.27170,28.55970,0.0623,-0.015
2024-06-30,383.52100,138.26500,245.25600,153.32800,157.12200,88.13400,-2.15700,85.97700,19.36200,66.61500,66.61500,,64.67400,119.72600,119.78500,0.54000,0.54000,0.08860,0.09720,36.89670,27.75460,0.00860,2.04690,2.81790,0.24620,1.81640,28.04820,0.877,0.728
2024-03-31,376.31500,137.57900,238.73600,151.92700,155.81400,82.92200,-2.08700,80.83500,18.20400,62.63100,62.63100,,60.71300,119.66200,119.74300,0.51000,0.51000,0.08960,0.09840,35.79350,26.88360,0.00830,1.95000,2.70830,0.22890,1.72780,27.70020,0.74170,0.62730
2023-12-31,315.60810,135.24500,180.36310,159.39200,163.44700,16.91610,-5.76600,11.15000,-2.94000,14.09000,14.09000,,12.60300,117.60300,117.74500,0.10000,0.10000,0.09060,0.09960,6.72750,7.60420,0.00610,0.44400,0.62030,0.05160,0.39290,27.40540,0.2213,0.1187
2023-09-30,355.12400,120.59100,234.53300,161.40300,165.57400,68.95900,-9.16800,59.79100,11.92500,47.86600,47.86600,,46.77500,119.50600,119.62400,0.39000,0.39000,0.09260,0.11370,29.27130,22.89920,0.00760,1.54730,2.18600,0.17810,1.36420,26.76030,0.6786,0.5646
2023-06-30,332.16200,95.48900,236.67300,148.09400,151.51500,85.15800,-3.64500,81.51300,18.22500,63.28800,63.28800,,61.22700,115.77400,115.86900,0.53000,0.53000,0.09470,0.10460,38.10440,28.62150,0.00820,2.10300,2.94670,0.24230,1.84490,26.94280,0.8182,0.6354
2023-03-31,309.69600,68.01700,241.67900,149.42900,152.95700,88.72200,-8.63100,80.09100,17.79100,62.30000,62.30000,,60.24200,115.45100,115.71500,0.52000,0.52000,0.09540,0.11760,36.42220,27.39570,0.00850,2.08940,2.94300,0.24080,1.83080,26.73100,0.77860,0.60200
2022-12-31,274.18510,30.94300,243.24210,134.07100,135.69000,107.55210,-1.47000,106.08200,24.63200,81.45000,81.45000,,79.27700,106.66100,106.77800,0.74000,0.74000,0.10730,0.38270,47.48290,35.48480,0.00930,3.12760,4.23900,0.33920,2.69230,25.42460,0.9273,0.8195
2022-09-30,245.80900,14.11300,231.69600,124.72300,126.40100,105.29500,-1.74600,103.54900,22.38800,81.16100,81.16100,,79.03500,106.68700,106.80000,0.74000,0.74000,0.10970,0.12320,47.87200,36.53890,0.00910,3.19750,4.37800,0.34260,2.74260,24.81760,1.5048,1.4162
2022-06-30,220.83600,8.47500,212.36100,117.51500,119.25100,93.11000,-7.14300,85.96700,19.12500,66.84200,66.84200,,64.76100,106.61000,106.71600,0.61000,0.61000,0.10900,0.12230,41.57880,31.32230,0.00850,2.61630,3.57680,0.27610,2.24630,25.00410,1.3762,1.3046
2022-03-31,210.03200,7.26700,202.76500,131.55200,133.34500,69.42000,-9.01600,60.40400,12.38500,48.01900,48.01900,,46.06200,106.55000,106.67700,0.43000,0.43000,0.10740,0.12030,33.61770,25.63570,0.00740,1.84790,2.51310,0.19700,1.59040,25.41860,1.87930,1.83860
2021-12-31,180.94490,6.21300,174.73190,97.49400,98.59700,76.13500,-9.91200,66.22300,14.20400,52.01900,52.01900,,49.98600,87.94000,88.09700,0.55000,0.55000,0.10020,0.11130,37.75990,28.50170,0.00840,2.44700,2.97280,0.24830,2.10640,24.87130,0.8401,0.7875
2021-09-30,187.77000,6.63600,181.13400,83.25000,84.27800,96.85600,-1.43700,95.41900,21.60300,73.81600,73.81600,,71.64900,87.21100,87.35500,0.82000,0.82000,0.10430,0.11640,49.65400,37.28460,0.00990,3.64360,4.28820,0.37890,3.11530,24.51930,1.3803,1.3375
2021-06-30,181.65000,7.43300,174.21700,79.94500,80.87400,93.34300,-1.07800,92.26500,22.00500,70.26000,70.26000,,68.10900,87.28900,87.42100,0.78000,0.78000,0.11150,0.12550,49.12810,36.26580,0.00990,3.53090,4.11750,0.37180,2.99210,24.07300,1.462,1.3302
2021-03-31,186.24700,9.47800,176.76900,80.38500,81.37000,95.39900,-1.54300,93.85600,20.15000,73.70600,73.70600,,71.52500,87.32200,87.46600,0.82000,0.82000,0.13300,0.15340,49.64610,37.83390,0.01020,3.80980,4.46640,0.39720,3.14620,23.40580,0.39630,0.37110
2020-12-31,197.44600,10.67600,186.77000,105.90300,106.94500,79.82500,-2.45200,77.37300,17.87100,59.50200,59.50200,,57.27800,83.18400,83.24800,0.67000,0.67000,0.14010,0.16290,42.08190,31.15250,0.01030,3.11350,3.66010,0.33440,2.54880,23.16150,1.2912,1.1416
2020-09-30,190.45500,13.31900,177.13600,113.31400,114.41300,62.72300,-3.36100,59.36200,11.75500,47.60700,47.60700,,45.43700,87.12900,87.20500,0.52000,0.52000,0.14240,0.16610,38.21350,29.24950,0.00910,2.54470,3.00700,0.27750,2.07530,22.71370,0.4168,0.4005
2020-06-30,163.84300,14.30100,149.54200,116.13900,117.12600,32.41600,-0.39700,32.01900,6.92300,25.09600,25.09600,,24.91300,78.92000,78.92400,0.32000,0.32000,0.14960,0.17590,27.60280,21.47690,0.00770,1.49830,1.75320,0.16730,1.20460,22.61620,0.3339,0.3203
2020-03-31,162.36100,17.94100,144.42000,101.88100,102.92100,41.49900,-0.80800,40.69100,8.80700,31.88400,31.88400,,31.64100,79.34000,79.44600,0.40000,0.40000,0.11480,0.12970,33.29080,25.88670,0.00930,1.94340,2.45370,0.24370,1.72020,20.95730,-0.13580,-0.16720
2019-12-31,166.60200,19.78100,146.82100,83.90500,84.99800,61.82300,0.07400,61.89700,12.88500,49.01200,49.01200,,48.61900,79.70000,79.70800,0.61000,0.61000,0.11510,0.13000,43.18770,33.92320,0.01110,2.99640,3.78930,0.37950,2.65170,20.70130,0.7248,0.6786
2019-09-30,169.64600,21.27700,148.36900,82.27300,83.48300,64.88600,-2.54100,62.34500,13.98300,48.36200,48.36200,,48.01100,79.66300,79.66700,0.60000,0.60000,0.13020,0.17460,42.91690,33.04970,0.01130,3.01240,3.83190,0.37750,2.62030,20.32850,0.5953,0.6227
2019-06-30,163.68700,21.37200,142.31500,79.82700,81.16900,61.14600,-3.89400,57.25200,13.16700,44.08500,44.08500,,43.76900,79.67300,79.67800,0.55000,0.55000,0.13670,0.28600,41.16920,31.47380,0.01090,2.81450,3.60820,0.34500,2.42990,19.80820,0.1614,0.1453
2019-03-31,157.48400,20.88200,136.60200,77.54500,78.83800,57.76400,-0.54600,57.21800,12.95600,44.26200,44.26200,,43.94700,79.80700,79.81300,0.55000,0.55000,0.14570,0.19710,42.92360,32.96800,0.01070,2.93480,3.73400,0.35390,2.50720,19.08220,0.44970,0.30460
2018-12-31,156.89900,18.97500,137.92400,77.95700,79.37700,58.54700,-0.96500,57.58200,12.44500,45.13700,45.13700,,44.80600,79.66200,79.67100,0.57000,0.57000,0.15490,0.29310,42.39460,32.98830,0.01080,3.09680,3.98220,0.35900,2.61700,18.39560,0.881,0.8706
2018-09-30,152.90100,16.61100,136.29000,77.72200,79.40300,56.88700,-0.11500,56.77200,13.09000,43.68200,43.68200,,43.38100,79.80600,79.81800,0.54000,0.54000,0.16900,0.41740,42.21280,32.25590,0.01080,3.11600,4.05820,0.35210,2.58930,17.70010,1.0487,1.0368
2018-06-30,145.55500,13.73900,131.81600,74.52300,76.37000,55.44600,-2.28000,53.16600,13.53200,39.63400,39.63400,,39.35900,79.74500,79.75500,0.49000,0.49000,0.18280,0.63650,40.89190,30.27240,0.01050,2.87390,3.76770,0.32000,2.34860,17.42660,0.5442,0.5015
2018-03-31,137.68600,12.00500,125.68100,73.32300,75.22100,50.46000,-2.05400,48.40600,10.74800,37.65800,37.65800,,37.38100,79.20500,79.21500,0.47000,0.47000,0.19370,0.56060,39.71580,30.67010,0.00990,2.77560,3.66170,0.30710,2.23790,17.14740,0.91510,0.84040
2017-12-31,128.68500,9.24900,119.43600,68.48100,70.24100,49.19500,-6.84100,42.35400,54.27000,-11.91600,-11.91600,,-12.26000,73.24700,73.25900,-0.18000,-0.18000,0.08470,0.51810,35.82160,-10.36910,0.00990,-0.91430,-1.12530,-0.10000,-0.83690,16.79990,0.829,0.7458
