Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.03800,,1.03800,4.12800,2.84400,,-5.93400,-1.75400,-7.68800,-7.68800,-7.68800,-7.68800,-6.03600,-5.93400,74.74500,74.74500,-0.10000,-0.10000,4.49010,,,100.00000,-571.67630,-571.67630,-740.65510,-740.65520,0.03560,1.31730,68.32370,22.09900,22.09890,-26.36400,22.09890,-0.46540,-0.079,-0.0798
2024-06-30,0.09000,,0.09000,4.60300,3.07700,,-7.59000,-0.00400,-7.59400,-7.59400,-7.59400,-7.59400,-7.65500,-7.59000,74.73100,74.73100,-0.10000,-0.10000,5.06780,,,100.00000,-8433.33300,-8433.33300,-8437.77700,-8437.77700,0.00270,,,26.84820,26.84820,-22.37870,26.84820,-0.37850,-0.0687,-0.0743
2024-03-31,0.23000,,0.23000,5.61500,2.82400,,-8.20900,-3.55400,-11.76300,-11.76300,-11.76300,-11.76300,-8.18100,-8.20900,69.85300,69.85300,-0.17000,-0.17000,6.06970,,,100.00000,-3569.13000,-3569.13000,-5114.34800,-5114.34800,0.00570,,,53.93400,53.93400,-29.30350,53.93400,-0.29180,-0.11240,-0.11320
2023-12-31,6.34500,0.00000,6.34500,6.31300,2.94700,9.26000,-2.91500,-1.91700,-4.83200,-4.83200,-4.83200,-4.83200,-2.89500,-2.91500,61.80700,61.80700,-0.08000,-0.08000,4.42140,,,100.00000,-45.94170,-45.94170,-76.15450,-76.15450,0.18650,37.32350,2.41130,30.36700,30.36700,-14.20430,30.36700,-0.25320,0.0072,0.0051
2023-09-30,0.85900,0.14200,0.71700,5.13400,2.63700,7.77100,-7.05400,-2.21300,-9.26700,-9.26700,-9.26700,-9.26700,-7.03800,-7.05400,61.98400,61.98400,-0.15000,-0.15000,5.28110,,,83.46920,-821.18740,-821.18740,-1078.81300,-1078.81300,0.02500,0.97390,92.40980,72.12240,72.12230,-26.92330,72.12230,-0.20690,-0.097,-0.104
2023-06-30,1.01800,0.21300,0.80500,4.94800,3.12700,8.07500,-7.27000,-1.83600,-9.10600,-9.10600,-9.10600,-9.10600,-7.25400,-7.27000,61.65500,61.65500,-0.15000,-0.15000,6.84620,,,79.07660,-714.14540,-714.14540,-894.49900,-894.49900,0.02600,3.99220,22.54420,183.10910,183.10880,-23.23850,183.10880,-0.08060,-0.0856,-0.1035
2023-03-31,0.00400,,0.00400,4.45100,3.15800,,-7.60500,-1.67500,-9.28000,-9.28000,-9.28000,-9.28000,-7.59000,-7.60500,61.16900,61.16900,-0.15000,-0.15000,8.54070,,,100.00000,-190125.00000,-190125.00000,-232000.00000,-232000.00000,0.00010,,,-343.70210,-343.70360,-20.76300,-343.70370,0.04190,-0.11800,-0.11980
2022-12-31,0.33000,,0.33000,5.02700,3.16900,,-8.07000,-1.59300,-9.66300,-9.66300,-9.66300,-9.66300,-8.04800,-8.07000,60.20500,60.20500,-0.16000,-0.16000,8.54250,,,38.18180,-2445.45500,-2445.45500,-2928.18200,-2928.18200,0.00640,,,-91.10000,-91.10020,-18.83520,-91.10020,0.17490,-0.0931,-0.0946
2022-09-30,0.26600,,0.26600,4.63700,2.35300,,-6.72400,-1.10300,-7.82700,-7.82700,-7.82700,-7.82700,-6.68500,-6.72400,60.18900,60.18900,-0.13000,-0.13000,10.54230,,,100.00000,-2527.81900,-2527.81900,-2942.48100,-2942.48100,0.00480,2.16260,41.61650,-42.20320,-42.20320,-14.05590,-42.20320,0.30810,-0.1028,-0.1054
2022-06-30,0.38400,,0.38400,5.43000,2.79100,,-7.83700,0.02400,-7.81300,-7.81300,-7.81300,-7.81300,-7.79900,-7.83700,60.15000,60.15000,-0.13000,-0.13000,5.56070,,,100.00000,-2040.88500,-2040.88500,-2034.63500,-2034.63500,0.01250,3.12200,28.82810,-30.94500,-30.94500,-25.41140,-30.94500,0.41980,-0.0905,-0.0905
2022-03-31,0.34700,,0.34700,4.53600,3.45700,,-7.64600,0.00200,-7.64400,-7.64400,-7.64400,-7.64400,-7.60000,-7.64600,60.06400,60.06400,-0.13000,-0.13000,8.48750,,,100.00000,-2203.45800,-2203.45800,-2202.88200,-2202.88200,0.00960,,,-24.11130,-24.11130,-21.19860,-24.11130,0.52710,0.06440,0.06440
2021-12-31,25.68700,,25.68700,3.84000,3.14000,,18.70700,0.00200,18.70900,18.70900,18.70900,18.70900,18.75200,18.70700,58.49200,59.90700,0.33000,0.33000,9.08100,,,100.00000,72.82670,72.82670,72.83450,72.83450,0.59870,2.56870,35.03720,49.26660,49.26660,43.60770,49.26660,0.63590,0.0862,0.0862
2021-09-30,3.07400,,3.07400,5.14700,2.81600,,-4.88900,0.00200,-4.88700,-4.88700,-4.88700,-4.88700,-4.84500,-4.88900,59.47400,59.47400,-0.08000,-0.08000,2.89680,,,100.00000,-159.04360,-159.04360,-158.97850,-158.97850,0.11230,,,-27.38120,-27.38120,-17.85010,-27.38120,0.29930,-0.0488,-0.0488
2021-06-30,0.78000,,0.78000,4.06000,2.81600,,-6.09600,0.00100,-6.09500,-6.09500,-6.09500,-6.09500,-6.05200,-6.09600,57.74500,57.74500,-0.11000,-0.11000,3.14380,,,100.00000,-781.53850,-781.53850,-781.41030,-781.41030,0.02730,,,-31.51820,-31.51830,-21.31720,-31.51830,0.32510,-0.1191,-0.1191
2021-03-31,0.03400,,0.03400,5.49000,2.89300,,-8.34900,0.99800,-7.35100,-7.35100,-7.35100,-7.35100,-8.30400,-8.34900,57.03900,57.03900,-0.13000,-0.13000,2.59290,,,100.00000,-24555.88000,-24555.88000,-21620.58000,-21620.59000,0.00120,,,-43.27930,-43.27940,-26.42250,-43.27940,0.29500,-0.09750,-0.09750
2020-12-31,0.01100,,0.01100,4.47200,2.64900,,-7.11000,-0.00200,-7.11200,-7.11200,-7.11200,-7.11200,-7.06600,-7.11000,46.50700,46.50700,-0.14000,-0.14000,1.82220,,0.11310,100.00000,-64638.23000,-64638.22000,-64656.40000,-64656.41000,0.00060,,,-81.15940,-81.15940,-36.80780,-81.15940,0.16900,-0.0972,-0.0973
2020-09-30,3.43200,,3.43200,3.49000,2.37400,,-2.43200,-0.00100,-2.43300,-2.43300,-2.43300,-2.43300,-2.38600,-2.43200,46.97700,46.97700,-0.05000,-0.05000,1.95220,0.04520,0.12200,100.00000,-70.86250,-70.86250,-70.89160,-70.89160,0.19720,,,-29.94830,-29.94830,-13.97870,-28.59330,0.16850,-0.0517,-0.0516
2020-06-30,0.35400,,0.35400,3.30000,2.61100,,-5.55700,-0.19700,-5.75400,-5.75400,-5.75400,-5.75400,-5.40400,-5.55700,45.21500,45.21500,-0.13000,-0.13000,1.77060,0.06370,0.13600,100.00000,-1569.77400,-1569.77400,-1625.42400,-1625.42400,0.02000,,,-78.96250,-78.96250,-32.43880,-73.93040,0.15750,-0.0706,-0.0705
2020-03-31,4.09700,,4.09700,3.81100,3.12200,,-2.83600,-0.07500,-2.91100,-2.91100,-2.91100,-2.91100,-2.77000,-2.83600,44.75400,44.75400,-0.07000,-0.07000,1.70680,,0.49650,100.00000,-69.22140,-69.22140,-71.05200,-71.05200,0.16360,,,-27.88310,-27.88310,-11.62400,-27.88310,0.23270,-0.06260,-0.06390
2019-12-31,1.94200,,1.94200,1.30500,3.65000,,-3.01300,-0.08300,-3.09600,-3.09600,-3.09600,-3.09600,-2.94100,-3.01300,38.17100,38.17100,-0.04000,-0.04000,2.31300,0.25500,0.46180,100.00000,-155.14940,-155.14930,-159.42330,-159.42320,0.07250,,,-27.74940,-27.74940,-11.56260,-20.67310,0.25120,0.0395,0.0394
2019-09-30,0.14100,,0.14100,2.72800,3.78100,,-6.36800,-0.16800,-6.53600,-6.53600,-6.53600,-6.53600,-6.30000,-6.36800,38.41500,38.41500,-0.17000,-0.17000,2.22280,0.30730,1.04130,100.00000,-4516.31200,-4516.31200,-4635.46100,-4635.46000,0.00550,,,-66.97410,-66.97410,-25.26770,-46.39410,0.23720,-0.1452,-0.1451
2019-06-30,0.04500,,0.04500,0.65800,5.00400,,-5.61700,-0.11700,-5.73400,-5.73400,-5.73400,-5.73400,-5.55900,-5.61700,37.63600,37.63600,-0.15000,-0.15000,3.46880,0.37910,0.78280,100.00000,-12482.22000,-12482.22000,-12742.22000,-12742.22000,0.00150,,,-44.44620,-44.44620,-19.20680,-27.59650,0.34180,-0.2328,-0.233
2019-03-31,0.04500,,0.04500,10.96700,4.38400,,-15.30600,-0.09800,-15.40400,-15.40400,-15.40400,-15.40400,-15.34100,-15.30600,34.14400,34.14400,-0.45000,-0.45000,3.04030,0.34950,0.62370,100.00000,-34013.33000,-34013.33000,-34231.11000,-34231.11000,0.00120,,,-95.73050,-95.73050,-41.04010,-62.26860,0.43750,-0.37060,-0.37110
2018-12-31,,,,17.48600,4.17600,,-21.66200,-0.00600,-21.63800,-21.63800,-21.63800,-21.63800,-21.83100,-21.63200,30.73400,30.73400,-0.67000,-0.67000,4.09930,0.28510,0.42230,,,,,,,,,-91.60880,-91.60880,-49.04350,-65.49230,0.73540,-0.8614,-0.8631
2018-09-30,,,,20.08300,3.87300,,-23.95600,0.08400,-23.87200,-23.87200,-23.87200,-23.87200,-24.16300,-23.95600,32.02400,32.02400,-0.75000,-0.75000,4.58720,0.18360,0.22480,,,,,,,,,-54.15490,-54.15490,-34.40710,-44.21400,1.37650,-0.6142,-0.6153
2018-06-30,,,,17.34300,3.56100,,-20.90400,0.20300,-20.70100,-20.70100,-20.70100,-20.70100,-21.02800,-20.90400,31.97900,31.97900,-0.65000,-0.65000,7.93180,0.12870,0.14770,,,,,,,,,-31.04900,-31.04900,-23.51960,-27.05310,2.08190,-0.5177,-0.5177
2018-03-31,,,,13.37900,3.07400,,-16.45300,-0.15400,-16.60700,-16.60700,-16.60700,-16.60700,-16.40000,-16.45300,26.81800,26.81800,-0.62000,-0.62000,7.45710,0.04560,0.08500,,,,,,,,,-19.32600,-19.32600,-15.89770,-18.44440,2.68980,-0.58370,-0.58370
2017-12-31,0.05500,,0.05500,13.93500,2.44100,,-16.32100,-0.17200,-16.49300,-16.49300,-16.49300,-16.49300,-16.25700,-16.32100,25.31200,25.31200,-0.66000,-0.66000,2.89970,0.18340,0.37400,100.00000,-29674.55000,-29674.55000,-29987.28000,-29987.27000,0.00140,,,-77.01620,-77.01610,-40.73050,-62.89280,0.84460,-0.5977,-0.5977
