Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,1.00510,-1.00510,2.62520,1.62010,0.20690,1.41320,1.41320,1.41320,-1.00510,-1.00510,2.43800,2.43800,0.58000,0.58000,0.02440,-0.04150,-3.47970,-3.47970,1.76350,-3.47970,-16.65840,-0.0944,-0.0944
2024-03-31,0.86080,-0.86080,-8.54580,-9.40660,0.22470,-9.63130,-9.63130,-9.63130,-0.86080,-0.86080,2.43800,2.43800,-3.95000,-3.95000,0.00060,-0.03880,23.90400,23.90400,-11.93180,23.90400,-16.52650,-0.15680,-0.15680
2023-12-31,1.28190,-1.28190,-4.13970,-5.42160,0.22690,-5.64850,-5.64850,-5.64850,-1.28190,-1.28190,2.43800,2.43800,-2.31900,-2.31900,0.01050,-0.04100,19.52920,19.52920,-7.17050,19.52920,-11.86370,-0.6646,-0.6646
2023-09-30,0.34600,-0.34600,-2.94310,-3.28910,0.25480,-3.54390,-3.54390,-3.54390,-0.34600,-0.34600,2.43800,2.43800,-1.45000,-1.45000,0.05910,-0.04390,16.29350,16.29330,-3.56860,16.29350,-8.92140,-0.085,-0.085
2023-06-30,0.54300,-0.54300,-4.40460,-4.94770,0.21760,-5.16520,-5.16520,-5.16520,-0.54300,-0.54300,2.43800,2.43800,-2.12000,-2.12000,0.07350,-0.03550,31.64140,31.64140,-5.31970,31.64140,-6.69580,-0.1134,-0.1134
2023-03-31,0.80990,-0.80990,0.43890,-0.37100,0.21450,-0.58550,-0.58550,-0.58550,-0.80990,-0.80990,2.43800,2.43800,-0.24000,-0.24000,0.00280,-0.04270,6.24820,6.24820,-0.61620,6.24820,-3.84380,-0.14030,-0.14030
2022-12-31,1.03990,-1.03990,-1.98440,-3.02430,0.07060,-3.09480,-3.09480,-3.09480,-1.03990,-1.03990,2.28800,2.28800,-1.35500,-1.35500,0.00620,-0.01950,38.42320,38.42320,-3.28460,38.42320,-3.30380,-0.0618,-0.0618
2022-09-30,0.51560,-0.51560,0.47460,-0.04100,0.13970,-0.18070,-0.18070,-0.18070,-0.51560,-0.51560,2.43800,2.43800,-0.07000,-0.07000,0.07280,-0.01160,4.20790,4.20790,-0.19330,4.20790,-1.76160,-0.0795,-0.0795
2022-06-30,0.51590,-0.51590,0.08500,-0.43090,0.03020,-0.46110,-0.46110,-0.46110,-0.51590,-0.51590,2.23600,2.23600,-0.21000,-0.21000,0.46550,,11.73110,11.73110,-0.49420,11.73110,-1.61210,-0.1175,-0.1175
2022-03-31,0.02700,-0.02700,,-0.02700,,-0.02700,-0.02700,-0.02700,-0.02700,-0.02700,2.00000,2.00000,-0.01000,-0.01000,0.95990,-14.78780,123.32720,123.32720,-5.15850,123.32720,-0.00950,-0.01360,-0.01360
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
