Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,294.27800,219.86600,74.41200,49.06000,50.95900,23.45300,2.25100,25.70400,6.07600,19.62800,19.62800,19.62800,25.35200,23.45300,26.05200,26.62000,0.75000,0.74000,1.31260,,,25.28630,7.96970,7.96970,8.73460,6.66990,0.40550,1.14710,78.46000,9.11290,11.71360,2.70440,9.11290,8.30420,-0.0437,-0.169
2024-06-30,279.65100,211.75400,67.89700,45.57700,47.48900,20.40800,3.05200,23.46000,6.75900,16.70100,16.70100,16.70100,22.32000,20.40800,26.06700,26.76500,0.64000,0.62000,1.26630,,,24.27920,7.29770,7.29770,8.38900,5.97210,0.40610,1.31450,68.46900,8.39410,11.05000,2.42540,8.39410,7.66740,-1.9241,-2.1063
2024-03-31,265.78200,226.21500,39.56700,42.41400,44.26600,-4.69900,3.29600,-1.40300,-1.26700,-0.13600,-0.13600,-0.13600,-2.84700,-4.69900,26.28000,26.28000,-0.00500,-0.00500,1.22500,,,14.88700,-1.76800,-1.76800,-0.52790,-0.05120,0.35540,1.27720,70.46580,-0.07170,-0.09590,-0.01820,-0.07170,7.25170,0.34170,0.23590
2023-12-31,276.68200,211.06900,65.61310,45.57800,47.41500,18.19800,1.50700,19.70500,5.14700,14.55800,14.55800,14.55800,20.03500,18.19800,26.92400,27.39600,0.54000,0.52750,1.30370,,,23.71420,6.57720,6.57720,7.12190,5.26160,0.38350,1.54230,58.35390,7.31040,9.62070,2.01760,7.31040,7.57470,2.0858,1.9528
2023-09-30,273.32800,204.99900,68.32900,44.16000,46.02700,22.30200,2.37000,24.67200,6.45300,18.21900,18.21900,18.21900,24.16900,22.30200,26.79500,27.18200,0.68000,0.67000,1.25320,0.11440,0.23360,24.99890,8.15940,8.15940,9.02650,6.66560,0.39610,1.33190,67.57280,10.09670,13.73710,2.64040,8.94200,6.81750,1.2114,1.1283
2023-06-30,264.63000,197.58400,67.04600,43.80800,45.53700,21.50900,2.14800,23.65700,6.64100,17.01600,17.01600,17.01600,23.23800,21.50900,27.00500,27.50000,0.63000,0.62000,1.24370,,,25.33580,8.12800,8.12800,8.93970,6.43010,0.39390,1.33610,67.35800,9.56120,13.07430,2.53250,9.56120,6.65450,0.1055,0.0015
2023-03-31,254.66700,213.12300,41.54400,41.22600,42.90300,-1.35900,2.31300,0.95400,0.13500,0.81900,0.81900,0.81900,0.31800,-1.35900,27.46400,27.94000,0.03000,0.03000,1.32840,,,16.31310,-0.53360,-0.53360,0.37460,0.32160,0.37650,1.35450,66.44430,0.47210,0.65180,0.12110,0.47210,6.37790,-0.94900,-1.05620
2022-12-31,271.95010,211.24400,60.70610,44.20400,45.84710,14.85900,1.57000,16.42900,4.90100,11.52800,11.52800,11.52800,16.50200,14.85900,28.52000,28.90400,0.39750,0.39250,1.35740,,,22.32250,5.46390,5.46390,6.04120,4.23900,0.39590,1.65990,54.22110,6.48220,8.86620,1.67820,6.48220,6.47070,1.0683,0.9176
2022-09-30,273.82200,206.92100,66.90100,43.00100,44.55500,22.34600,1.56800,23.91400,6.47600,17.43800,17.43800,17.43800,23.90000,22.34600,28.14400,28.50800,0.62000,0.61250,1.34830,,,24.43230,8.16080,8.16080,8.73340,6.36840,0.39290,1.40760,63.94060,10.17610,14.11490,2.50190,10.17610,6.15350,1.1817,1.0694
2022-06-30,262.17900,195.29400,66.88500,42.27200,43.79500,23.09000,1.55400,24.64400,6.63000,18.01400,18.01400,18.01400,24.61300,23.09000,28.64800,29.02800,0.63000,0.62000,1.30980,,,25.51120,8.80700,8.80700,9.39970,6.87090,0.34670,0.98240,91.61030,10.32330,14.22030,2.38190,10.32330,5.96450,-0.2785,-0.3422
2022-03-31,246.37500,206.02200,40.35300,40.16500,41.67300,-1.32000,1.63600,0.31600,0.02800,0.28800,0.28800,0.28800,0.18800,-1.32000,29.62400,29.89600,0.01000,0.01000,1.31760,,,16.37870,-0.53580,-0.53580,0.12830,0.11690,0.31400,0.96130,93.62410,0.15510,0.20890,0.03670,0.15510,6.34780,-1.01050,-1.23640
2021-12-31,256.56800,200.63300,55.93500,41.32000,42.67890,13.25610,1.61600,14.87200,4.25800,10.61400,10.61400,10.61400,14.61510,13.25610,30.16000,30.48400,0.35250,0.35000,1.28960,,0.01680,21.80120,5.16670,5.16670,5.79650,4.13690,0.34350,1.64780,54.61960,5.08990,6.60440,1.42100,5.08990,7.03070,1.4748,1.4165
