Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,32.81000,9.45800,23.35200,4.46500,23.34500,27.81000,-4.45800,-0.39000,-4.84800,-4.84800,-4.84800,,-4.84800,-4.04300,-4.45800,152.83000,152.83000,-0.03000,-0.03000,2.28170,1.29750,-4.36130,71.17340,-13.58730,-13.58730,-14.77600,-14.77600,0.14860,0.20580,0.48940,183.89240,12.11850,12.11850,-2.19590,-3.60530,-0.26370,0.0224,0.0196
2024-06-30,36.02400,10.51800,25.50600,4.43200,27.51900,31.95100,-6.44500,-2.79000,-9.23500,-9.23500,-9.23500,,-9.23500,-6.23300,-6.44500,152.30500,152.30500,-0.06000,-0.06000,2.38020,1.27840,-4.59220,70.80280,-17.89090,-17.89090,-25.63570,-25.63570,0.16510,0.24540,0.48870,184.14720,24.34110,24.34110,-4.23360,-6.77600,-0.25030,-0.0298,-0.034
2024-03-31,34.67000,8.44400,26.22600,4.60800,26.41600,31.02400,-4.79800,1.63800,-3.16000,-3.16000,-3.16000,,-3.16000,-4.60700,-4.79800,151.19900,151.19900,-0.02000,-0.02000,2.46630,1.24080,-5.15280,75.64470,-13.83910,-13.83910,-9.11450,-9.11450,0.15910,0.19880,0.53080,169.56970,9.35860,9.35850,-1.45030,-2.25360,-0.22410,-0.06290,-0.06290
2023-12-31,34.23300,9.88500,24.34800,24.56600,10.00200,34.56800,-10.22000,-0.50400,-10.72400,-10.72400,-10.72400,,-10.72400,-9.90800,-10.22000,138.13500,138.13500,-0.01000,-0.01000,2.36900,1.24300,-5.11440,71.12440,-29.85420,-29.85420,-31.32650,-31.32650,0.15390,0.23470,0.56930,158.10270,31.56630,31.56620,-4.81960,-7.67210,-0.22610,-0.0032,-0.0054
2023-09-30,31.43400,18.20800,13.22600,9.28500,28.87000,38.15500,-24.92900,-0.07900,-25.00800,-25.00800,-25.00800,,-25.00800,-24.46700,-24.92900,144.99000,144.99000,-0.17000,-0.17000,2.43250,1.19070,-6.24280,42.07550,-79.30590,-79.30590,-79.55720,-79.55720,0.13710,0.43350,0.49270,182.65410,90.00200,90.00220,-10.91100,-17.16690,-0.19690,0.0125,0.0078
2023-06-30,31.76200,20.15800,11.60400,13.21000,40.79700,54.00700,-42.40300,0.34400,-42.05900,-42.05900,-42.05900,,-42.05900,-41.97300,-42.40300,119.71900,119.71900,-0.35000,-0.35000,1.90590,1.35680,-3.80270,36.53420,-133.50230,-133.50230,-132.41920,-132.41920,0.15780,0.45170,0.41410,217.31540,107.06400,107.06390,-20.90160,-38.19970,-0.32750,-0.2261,-0.2284
2023-03-31,29.61500,16.85400,12.76100,8.83600,36.98800,45.82400,-33.06300,0.29500,-32.76800,-32.76800,-32.76800,,-32.76800,-32.76800,-33.06300,119.24600,119.24600,-0.27000,-0.27000,2.28700,1.08290,-13.06630,43.08970,-111.64280,-111.64280,-110.64670,-110.64660,0.13410,0.32370,0.57560,156.35050,286.70960,286.70930,-14.83530,-23.76110,-0.09580,-0.20880,-0.21070
2022-12-31,30.02800,12.62700,17.40100,11.05700,26.69900,37.75600,-20.35500,0.48600,-19.86900,-19.86900,-19.86900,,-19.86900,-20.08800,-20.35500,108.87600,108.87600,-0.11000,-0.11000,2.49450,0.91670,10.99940,57.94920,-67.78680,-67.78680,-66.16820,-66.16820,0.11970,0.23140,0.57690,156.00140,-146.39620,-146.39690,-7.91750,-12.20030,0.11390,-0.3705,-0.3745
2022-09-30,26.55700,14.71700,11.84000,25.54500,28.17700,53.72200,-41.88200,-0.02600,-41.90800,-41.90800,-41.90800,,-41.90800,-41.37900,-41.88200,111.73500,111.73500,-0.38000,-0.38000,2.38400,0.86920,6.64740,44.58340,-157.70610,-157.70610,-157.80400,-157.80400,0.09770,0.28170,0.62950,142.97250,-186.67300,-186.67270,-15.41010,-24.41000,0.18900,-0.2728,-0.2706
2022-06-30,27.63000,16.17500,11.45500,28.83400,32.11900,60.95300,-49.49800,-6.86100,-56.35900,-56.35900,-56.35900,,-56.35900,-48.78800,-49.49800,102.40500,102.40500,-0.55000,-0.55000,1.77360,1.17060,-6.86340,41.45860,-179.14590,-179.14590,-203.97760,-203.97760,0.11330,0.26380,0.68560,131.28010,259.28900,259.28880,-23.10130,-44.22190,-0.21210,-0.2758,-0.279
