Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,154.33200,18.37100,135.96100,9.11400,-0.90000,61.51800,74.44300,-29.91500,44.52800,44.52800,44.52800,,42.51600,136.19600,74.44300,100.38320,101.71530,0.42000,0.42000,0.33570,0.50530,48.23560,48.23560,28.85210,27.54840,0.01890,0.86980,0.99910,0.54410,0.55870,51.14460,1.3562,-1.0262
2024-06-30,152.57500,17.62300,134.95200,9.70700,7.17600,52.98500,81.96700,-27.05400,54.91300,54.91300,54.91300,,52.86500,142.10400,81.96700,100.34990,100.45470,0.53000,0.52000,0.34080,0.51690,53.72240,53.72240,35.99080,34.64850,0.01910,1.10090,1.26960,0.68630,0.70110,51.31030,0.9641,-0.6658
2024-03-31,149.45300,18.48900,130.96400,9.51500,-2.48900,60.46700,70.49700,-25.48300,45.01400,45.01400,45.01400,,43.00000,128.52400,70.49700,100.28460,100.33660,0.43000,0.43000,0.32680,0.48550,47.17000,47.17000,30.11920,28.77160,0.01900,0.89950,1.03760,0.57210,0.58510,51.47100,1.02800,-0.22440
2023-12-31,144.16500,17.91500,126.25000,8.70300,-1.11500,57.07400,69.17600,-23.07500,46.10100,46.10100,46.10100,,44.09500,125.18300,69.17610,95.19140,95.43740,0.43000,0.43000,0.31680,0.46360,47.98390,47.98390,31.97800,30.58650,0.01850,0.91740,1.06080,0.59300,0.60570,51.73290,1.0874,-1.1371
2023-09-30,136.81200,16.05300,120.75900,8.84400,-3.21500,57.68400,63.07500,-21.41800,41.65700,41.65700,41.65700,,39.66300,118.23500,63.07500,97.25510,97.34950,0.41000,0.41000,0.29850,0.42560,46.10340,46.10340,30.44840,28.99090,0.01790,0.82160,0.94760,0.54470,0.55710,52.18270,1.0431,-2.9649
2023-06-30,129.90000,16.10500,113.79500,8.42000,-0.99600,52.16600,61.62900,-20.61400,41.01500,41.01500,41.01500,,39.00900,114.20200,61.62900,93.05390,93.13440,0.42000,0.42000,0.30100,0.43070,47.44340,47.44340,31.57430,30.03000,0.01790,0.85390,0.98780,0.56400,0.57590,51.70960,0.9327,-2.5333
2023-03-31,126.61800,16.64400,109.97400,8.82100,,49.46700,60.50700,-18.73300,41.77400,41.77400,41.77400,,39.75500,110.87700,60.50700,90.02830,90.54820,0.44000,0.44000,0.29800,0.42450,47.78700,47.78700,32.99220,31.39760,0.01810,0.90360,1.04590,0.59790,0.61120,51.48010,1.04000,-2.61630
2022-12-31,116.53100,13.37700,103.15400,7.85600,0.09600,45.66200,57.49200,-16.45300,41.03900,41.03900,41.03900,,39.06600,104.99700,57.49200,78.65930,79.16440,0.44000,0.44000,0.29530,0.41900,49.33620,49.33620,35.21720,33.52410,0.01740,0.92110,1.07130,0.61130,0.62460,51.34980,1.2371,-4.4881
2022-09-30,110.06500,13.48700,96.57800,6.99200,2.88500,39.26400,57.31400,-17.73700,39.57700,39.57700,39.57700,,37.56600,101.89800,57.31400,79.70110,80.58950,0.47000,0.46000,0.29060,0.40960,52.07290,52.07290,35.95780,34.13070,0.01680,0.90490,1.04560,0.60370,0.61720,51.35530,1.3511,-2.4616
2022-06-30,104.87600,12.92700,91.94900,7.65100,-0.00800,39.60900,52.34000,-16.21000,36.13000,36.13000,36.13000,,34.11400,93.42300,52.34000,75.03790,75.57010,0.45000,0.45000,0.32780,0.48760,49.90660,49.90660,34.45020,32.52790,0.01740,0.95100,1.11690,0.59840,0.61110,49.77570,1.1244,-3.5938
2022-03-31,98.34200,12.49000,85.85200,7.62200,1.27000,34.91300,50.93900,-14.65000,36.28900,36.28900,36.28900,,34.25400,88.73900,50.93900,71.22890,71.33610,0.48000,0.48000,0.33450,0.50270,51.79780,51.79780,36.90080,34.83150,0.01740,1.03660,1.22630,0.64360,0.65700,48.89610,0.86170,-5.28880
2021-12-31,91.41100,11.17100,80.24000,6.64900,-0.09300,33.30600,46.93400,-13.62700,33.30700,33.30700,33.30700,,31.29200,81.93200,46.93400,66.80220,67.13910,0.45000,0.44000,0.33050,0.49360,51.34390,51.34390,36.43660,34.23220,0.01750,1.02660,1.21240,0.63720,0.65220,47.96660,0.9965,-4.2919
2021-09-30,87.53700,10.54600,76.99100,5.68700,3.47000,26.70500,50.28600,-13.45600,36.83000,36.83000,36.83000,,36.37400,82.02200,50.28600,69.10300,69.59200,0.52000,0.52000,0.31370,0.45710,57.44540,57.44540,42.07360,41.55270,0.01750,1.16310,1.36610,0.73700,0.75640,47.88770,0.8628,-3.2234
2021-06-30,82.54600,9.76100,72.78500,6.24100,6.75300,22.67600,50.10900,-27.64800,22.46100,22.46100,22.46100,,22.34700,79.07800,50.10900,64.83600,65.18560,0.34000,0.34000,0.32860,0.48950,60.70430,60.70430,27.21030,27.07220,0.01730,0.71990,0.89180,0.47140,0.48330,45.27840,1.0818,-4.0418
2021-03-31,77.82900,9.58300,68.24600,6.87900,3.06200,25.30600,42.94000,-12.66200,30.27800,30.27800,30.27800,,30.11200,69.61000,42.94000,62.82890,62.94040,0.48000,0.48000,0.32760,0.48730,55.17220,55.17220,38.90320,38.69000,0.01820,1.08140,1.34300,0.70770,0.72710,43.64850,0.72760,-5.42010
2020-12-31,71.41400,9.41300,62.00100,6.79200,6.89300,19.59100,42.41000,-18.64800,23.76200,23.76200,23.76200,,23.61400,66.84900,42.41000,51.83820,52.39670,0.43000,0.42000,0.32540,0.48230,59.38610,59.38610,33.27360,33.06640,0.01840,0.94060,1.15760,0.61140,0.63460,42.08910,1.0629,-6.6134
2020-09-30,63.81000,7.94900,55.86100,4.75600,-1.89800,23.98100,31.88000,-10.46400,21.41600,21.41600,21.41600,,21.28000,53.55300,31.88000,53.72200,54.55600,0.39000,0.39000,0.33600,0.50600,49.96080,49.96080,33.56210,33.34900,0.01800,0.94540,1.16200,0.60370,0.62770,40.91320,0.393,-7.9149
2020-06-30,57.53500,7.02500,50.51000,4.58700,-1.12800,21.32200,29.18800,-3.76400,25.42400,25.42400,25.42400,,25.25800,48.89900,29.18800,52.72620,53.26670,0.47000,0.47000,0.26300,0.35680,50.73090,50.73090,44.18880,43.90020,0.01850,1.16310,1.39910,0.81710,0.85720,40.59300,0.6426,-3.6271
