Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,153.11510,108.05090,45.06420,6.04190,-16.30200,30.06290,15.00120,-8.94410,6.05710,6.05710,6.05710,5.11100,23.09100,15.00120,45.28000,46.01100,0.11000,0.11000,2.04600,0.42010,0.80570,29.43160,9.79740,9.79740,3.95590,3.33800,0.20440,4.04040,3.46750,25.95530,1.59900,1.61220,0.80850,0.92720,8.07670,0.6185,-0.4367
2024-06-30,131.49780,93.83590,37.66190,5.02970,-17.56430,30.04770,7.61420,-3.62070,3.99350,3.99350,3.99350,3.68280,15.29220,7.61420,45.27700,46.02900,0.08000,0.08000,2.15970,0.36380,0.66090,28.64070,5.79040,5.79040,3.03690,2.80060,0.18980,3.24810,3.18150,28.28870,1.05980,1.06860,0.57630,0.67420,8.03400,0.1941,-0.0001
2024-03-31,104.74860,64.25750,40.49100,7.27800,-14.74840,29.46290,11.02810,1.63750,12.66560,12.66560,12.66560,11.67420,18.70050,11.02810,45.21450,45.91480,0.26000,0.25000,1.96860,0.35190,0.67900,38.65550,10.52820,10.52820,12.09150,11.14500,0.14890,2.90080,2.49410,36.08450,3.33920,3.36670,1.80090,2.16430,8.09790,0.19600,0.19160
2023-12-31,131.87690,90.93540,40.94160,5.66590,-17.19640,30.38630,10.55520,-8.37730,2.17790,2.17790,2.17790,1.13620,18.35510,10.55520,44.77400,45.47500,0.03000,0.02000,1.82110,0.38280,0.76280,31.04530,8.00380,8.00380,1.65150,0.86160,0.18700,5.49250,2.75370,32.68380,0.58830,0.59330,0.30880,0.36310,7.96690,0.52,0.7257
2023-09-30,135.61620,84.54210,51.07410,5.50010,-17.77030,31.36290,19.71120,0.47890,20.19010,20.19010,20.19010,18.86830,28.06390,19.71120,44.77500,45.08200,0.42000,0.42000,1.72170,0.36550,0.73020,37.66080,14.53460,14.53460,14.88770,13.91300,0.18610,3.20880,2.53500,35.50370,5.35010,5.39450,2.77110,3.39440,8.12140,0.3619,0.3377
2023-06-30,118.07570,83.58530,34.49040,5.92320,-13.58540,26.63560,7.85480,-5.08790,2.76690,2.76690,2.76690,2.84450,15.24420,7.85480,44.77500,45.12800,0.06000,0.06000,1.68870,0.39300,0.78200,29.21040,6.65230,6.65230,2.34330,2.40910,0.16300,3.04480,2.75730,32.64020,0.76520,0.77190,0.38190,0.46450,7.78130,0.0444,-0.5531
2023-03-31,113.69910,79.40550,34.29360,5.69170,-14.77900,27.79760,6.49600,-3.09310,3.40290,3.40290,3.40290,3.47430,14.09260,6.49600,44.71230,45.11670,0.08000,0.08000,2.52240,0.41730,0.79830,30.16170,5.71330,5.71330,2.99290,3.05570,0.15570,2.97020,3.40010,26.46960,0.93690,0.93690,0.46600,0.54600,7.81610,0.25650,0.45280
2022-12-31,127.92340,82.37080,45.55260,3.90790,-15.38020,26.81750,18.73510,-2.92310,15.81210,15.81210,15.81210,15.50260,26.53600,18.73510,44.39900,45.06000,0.36000,0.33000,2.41300,0.42030,0.81220,35.60930,14.64560,14.64560,12.36060,12.11870,0.17100,2.83020,3.48040,25.85890,4.28830,4.28830,2.11320,2.48600,8.03350,0.7096,0.3458
2022-09-30,184.47710,125.46700,59.01010,5.77670,-15.36160,28.50390,30.50630,-10.74520,19.76100,19.76100,19.76100,18.78840,38.16750,30.50630,44.41600,44.64000,0.42000,0.42000,2.44440,0.42930,0.83370,31.98780,16.53660,16.53660,10.71190,10.18470,0.24970,4.09330,4.35670,20.65780,5.52610,5.52610,2.67430,3.15400,7.78690,0.7461,0.7143
2022-06-30,195.54400,133.62080,61.92310,5.13740,-13.24770,25.67860,36.24460,-8.75780,27.48670,27.48670,27.48670,25.03240,43.81140,36.24460,44.43000,45.07100,0.56000,0.56000,1.96950,0.44750,0.89500,31.66710,18.53530,18.53530,14.05660,12.80140,0.25910,2.52960,4.75770,18.91660,8.06410,8.06410,3.64240,4.45580,7.41120,0.8265,1.0063
