,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-08,2024-08-31,$-0.45,$-0.30
1,2024-06-27,2024-05-31,$-0.48,$-0.35
2,2024-04-25,2024-02-29,$-0.11,$-0.10
3,2024-01-08,2023-11-30,$-0.46,$-0.28
4,2023-10-04,2023-08-31,$-0.56,$-0.43
5,2023-06-29,2023-05-31,$-0.64,$-0.52
6,2023-04-27,2023-02-28,$-0.43,$-0.42
7,2023-01-09,2022-11-30,$-0.61,$-0.56
8,2022-10-06,2022-08-31,$-0.71,$-0.66
9,2022-06-30,2022-05-31,$-0.95,$-0.62
10,2022-04-28,2022-02-28,$-0.45,$-0.59
11,2022-01-10,2021-11-30,$-0.68,$-0.65
12,2021-10-07,2021-08-31,$-0.53,$-0.67
13,2021-07-08,2021-05-31,$-0.37,$-0.52
14,2021-05-05,2021-02-28,$-0.12,$-0.13
15,2021-01-07,2020-11-30,$-0.35,$-0.32
16,2020-10-14,2020-08-31,$-0.42,$-0.47
17,2020-08-13,2020-05-31,--,$-1.86
