Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.72700,1.51500,-0.78800,27.73100,19.58200,47.31300,-48.10100,6.89100,-41.21000,-41.21000,-41.21000,-41.21000,-47.93900,-48.10100,273.56500,273.56500,-0.15000,-0.15000,9.57030,0.01680,-108.39060,-6616.36900,-6616.36900,-5668.50000,-5668.50000,0.00130,0.17100,526.38240,-8.19750,-8.24310,-7.20990,-8.19750,1.49510,-0.0908,-0.0913
2024-06-30,1.43500,1.34700,0.08800,29.24700,16.15600,470.47300,-470.38500,7.89300,-462.49200,-462.49200,-462.49200,-462.49200,-470.14100,-470.38500,244.73800,244.73800,-1.89000,-1.89000,11.49180,0.04520,6.13240,-32779.45000,-32779.45000,-32229.41000,-32229.41000,0.00240,0.35770,251.62370,-179.82300,-181.89650,-77.75640,-179.82300,1.03450,-0.145,-0.145
2024-03-31,,,,12.84200,7.35700,,-20.19900,5.40700,-14.79200,-14.79200,-14.79200,-14.79200,-20.14100,-20.19900,219.04800,219.04800,-0.07000,-0.07000,38.57730,,,,,,,,,,-2.49010,-2.49010,-2.41260,-2.49010,2.71150,-0.07170,-0.07180
2023-12-31,,,,15.35100,5.48000,,-20.83100,7.04400,-13.78700,-13.78700,-13.78700,-13.78700,-20.77600,-20.83100,218.88000,218.88000,-0.07000,-0.07000,44.11290,,,,,,,,,,-2.27840,-2.27840,-2.21840,-2.27840,2.76250,-0.0688,-0.0687
2023-09-30,,,,18.56100,7.77800,,-26.33900,6.69000,-19.64900,-19.64900,-19.64900,-19.64900,-26.28400,-26.33900,218.93500,218.93500,-0.09000,-0.09000,38.73800,,,,,,,,,,-3.21280,-3.21280,-3.11460,-3.21280,2.79340,-0.0737,-0.0738
2023-06-30,,,,18.59000,7.54100,,-26.13100,5.49100,-20.64000,-20.64000,-20.64000,-20.64000,-26.07500,-26.13100,218.84800,218.84800,-0.09000,-0.09000,47.50810,,,,,,,,,,-3.30430,-3.30430,-3.21790,-3.30430,2.85350,-0.0798,-0.08
2023-03-31,,,,18.78700,7.73400,,-26.52100,4.79500,-21.72600,-21.72600,-21.72600,-21.72600,-26.46500,-26.52100,218.74100,218.74100,-0.10000,-0.10000,51.99300,,,,,,,,,,-3.38900,-3.38900,-3.30660,-3.38900,2.92990,-0.08840,-0.08840
2022-12-31,,,,16.87000,7.46400,,-24.33400,3.48900,-20.84500,-20.84500,-20.84500,-20.84500,-24.28500,-24.33400,216.72100,216.72100,-0.10000,-0.10000,50.70420,,,,,,,,,,-3.18210,-3.18210,-3.10130,-3.18210,2.99620,-0.0773,-0.0775
2022-09-30,,,,21.29400,8.04400,,-29.33800,2.13500,-27.20300,-27.20300,-27.20300,-27.20300,-29.28200,-29.33800,218.30000,218.30000,-0.12000,-0.12000,48.63240,,,,,,,,,,-4.07270,-4.07270,-3.96260,-4.07270,3.05840,-0.1268,-0.1273
2022-06-30,,,,28.92200,8.94800,,-37.87000,3.01200,-34.85800,-34.85800,-34.85800,-34.85800,-37.82200,-37.87000,216.60300,216.60300,-0.16000,-0.16000,33.57450,,,,,,,,,,-5.02940,-5.02940,-4.84320,-5.02940,3.17570,-0.1226,-0.1235
