Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,,20.72900,7.46300,,-28.19200,6.89900,-21.29300,-21.29300,-21.29300,-21.29300,-28.14600,-28.19200,213.41100,213.41100,-0.10000,-0.10000,34.88820,,,,,,,,,,-2.94280,-2.94280,-2.83230,-2.94280,3.31710,-0.11680,-0.11680
2021-12-31,,,,22.00200,7.60700,,-29.60900,4.47500,-25.13400,-25.13400,-25.13400,-25.13400,-29.56600,-29.60900,197.88700,197.88700,-0.12000,-0.12000,45.61730,,,,,,,,,,-3.36920,-3.36920,-3.23830,-3.36920,3.42280,-0.1287,-0.1294
2021-09-30,,,,17.12200,5.66900,,-22.79100,0.81200,-21.97900,-21.97900,-21.97900,-21.97900,-22.72100,-22.79100,207.10100,207.10100,-0.11000,-0.11000,59.85960,,,,,,,,,,-2.85680,-2.85680,-2.75500,-2.85680,3.53280,-0.0612,-0.0613
2021-06-30,,,,14.03400,6.40000,,-20.43400,1.10100,-19.33300,-19.33300,-19.33300,-19.33300,-20.39300,-20.43400,204.01700,204.01700,-0.09000,-0.09000,80.58240,,,,,,,,,,-2.45050,-2.45050,-2.37430,-2.45050,3.62300,-0.0679,-0.0678
2021-03-31,,,,15.87900,4.60500,,-20.48400,0.08200,-20.40200,-20.40200,-20.40200,-20.40200,-20.45400,-20.48400,169.65900,169.65900,-0.12000,-0.12000,83.19480,,,,,,,,,,-2.53020,-2.53020,-2.45200,-2.53020,3.70480,-0.08680,-0.08750
2020-12-31,,,,9.33600,4.43200,,-13.76800,0.48800,-13.28000,-13.28000,-13.28000,-13.28000,-13.74100,-13.76800,97.53000,97.53000,-0.11000,-0.11000,33.68690,,,,,,,,,,-6.17430,-6.17430,-5.98760,-6.17430,1.44310,-0.1174,-0.1176
2020-09-30,,,,8.62700,2.91900,,-11.54600,0.51200,-11.03400,-11.03400,-11.03400,-11.03400,-11.52000,-11.54600,91.77100,91.77100,-0.12000,-0.12000,1.79180,,,,,,,,,,-220.68000,-220.68000,-7.58360,-220.68000,1.11010,-0.0818,-0.082
2020-06-30,,,,7.34500,1.67200,,-9.01700,0.41800,-8.59900,-8.59900,-8.59900,-8.59900,-8.99100,-9.01700,88.74500,88.74500,-0.10000,-0.10000,1.16310,3.33330,,,,,,,,,-35829.16000,-35829.18000,-5025.27500,-35829.16000,0.00670,-0.0736,-0.0736
2020-03-31,,,,7.29500,1.92500,,-9.22000,0.47400,-8.74600,-8.74600,-8.74600,-8.74600,-9.19600,-9.22000,85.71400,85.71400,-0.10000,-0.10000,,,,,,,,,,,,,,,,-0.10170,-0.10280
2019-09-30,,,,,0.73870,,-0.73870,0.00340,-0.73530,-0.73530,-0.73530,-0.73530,-0.73870,-0.73870,3.59400,3.59400,-0.20000,-0.20000,,,,,,,,,,,,,,,,0,0
