Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.82600,0.55070,,-3.37670,,-3.37670,,-3.37670,-3.37670,-3.37670,-3.37670,-3.37670,36.20850,36.20850,-0.09000,-0.09000,0.74780,,-452.47270,-452.47220,-90.40440,-452.47230,0.02060,-0.06120,-0.06120
2024-06-30,3.52500,0.42440,,-3.94940,,-3.94940,,-3.95110,-3.95110,-3.95110,-3.94940,-3.94940,27.10400,27.10400,1.55000,1.55000,24.64950,,-92.45550,-92.45540,-88.70460,-92.45540,0.11780,-0.1486,-0.1486
2024-03-31,0.02500,0.44450,,-0.46950,,-0.46950,,-0.46950,-0.46950,-0.46950,-0.46950,-0.46950,35.51920,35.51920,-0.01000,-0.01000,62.33910,,-5.52720,-5.52720,-5.43850,-5.52720,0.23250,-0.1163,-0.1163
2023-12-31,0.07550,0.94520,,-1.02060,,-1.02060,,-1.02060,-1.02060,-1.02060,-1.02060,-1.02060,35.20120,35.20120,-0.03000,-0.03000,23.69320,,-11.27950,-11.27950,-10.80340,-11.27950,0.25710,-0.0665,-0.0665
2023-09-30,0.48350,1.38700,,-1.87050,,-1.87050,,-1.87050,-1.87050,-1.87050,-1.87050,-1.87050,1.05270,1.05270,-1.78000,-1.78000,1.58270,0.02980,-18.57650,-18.57650,-6.83920,-18.57650,0.28600,-0.26140,-0.26140
2023-06-30,2.61470,0.11680,-0.16920,-0.16920,0.11430,-0.05490,0.02110,-0.07600,-0.07600,-0.07600,-0.16920,-0.16920,1.41970,1.41970,-0.13000,-0.13000,0.28200,,0.64730,1.12720,-2.50970,1.12720,-6.89250,3.4893,3.4893
2023-03-31,2.62340,0.11770,,-2.74110,,-2.74110,,-2.74110,-2.74110,-2.74110,-2.73560,-2.74110,0.33730,0.33730,-8.13000,-8.13000,0.06740,-0.29070,108.39800,108.39800,-28.02400,108.39800,-1.78120,-3.8333,-3.8333
2022-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,13.0915,13.0915
2022-09-30,2.60520,0.28030,,-2.88540,,-2.88540,,-2.88540,-2.88540,-2.88540,-2.88540,-2.88540,0.08400,0.08400,-34.33000,-34.33000,0.21850,-0.25160,145.62000,145.62010,-6.32490,145.62000,-1.39570,-13.09150,-13.09150
2022-06-30,,,-0.42380,-0.42380,,-0.35960,,,,-0.35960,,,1.41970,1.41970,-0.06000,-0.06000,0.83300,,,,,,-1.06150,-0.1644,-0.1644
2022-03-31,,,-0.14490,-0.14490,0.00370,-0.14130,0.00000,-0.14130,-0.14130,-0.14130,-0.14490,-0.14490,1.41970,1.41970,-0.02000,-0.02000,14.17680,,12.31010,12.31010,-0.30960,12.31010,-0.80820,-0.1107,-0.1107
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0.0179,0.0179
2021-09-30,,,-0.10810,-0.10810,0.00060,-0.10750,,-0.10750,-0.10750,-0.10750,-0.10810,-0.10810,1.28010,1.28010,-0.99000,-0.99000,7.75480,,12.35610,12.35610,-0.23400,12.35610,-0.61310,-0.01790,-0.01790
2021-06-30,,,-0.00360,-0.00360,,-0.00360,,,,-0.00360,,,1.00000,1.00000,0.00000,0.00000,,,,,,,,-0.0061,-0.0061
2021-03-31,,,-0.00080,-0.00080,,-0.00080,,-0.00080,-0.00080,-0.00080,-0.00080,-0.00080,1.00000,1.00000,0.00000,0.00000,,,,,,,,-0.0008,-0.0008
