Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.39020,5.30130,,,-53.33860,9.12650,-44.21200,,-44.21200,-44.21200,-44.21200,-5.66770,-53.33860,156.56800,156.56800,-0.28000,-0.28000,0.08460,,0.02660,,,,,,,,-45.07430,219.81700,-36.28920,-45.07430,0.62230,-0.01290,-0.01290
2024-06-30,,,,0.43450,4.99860,,,-17.10430,1.37270,-15.73160,,-15.73160,-15.73160,-15.73160,-5.34730,-17.10430,96.24810,96.24810,-0.15000,-0.15000,0.06590,,0.01860,,,,,,,,-11.92000,57.45020,-9.64360,-11.92000,0.85130,-0.0344,-0.0346
2024-03-31,,,,1.08720,7.65240,,,-51.38080,0.16640,-51.21440,,-51.21440,-51.21440,-51.21440,-8.60910,-51.38080,107.48050,107.48050,-0.48000,-0.48000,0.05840,,0.05300,,,,,,,,-38.10440,126.24460,-28.75770,-38.10440,0.91130,0.0104,0.0105
2023-12-31,,,,0.62050,3.61640,,,-4.27010,-0.25900,-4.52910,,-4.52910,-4.52910,-4.52910,-4.04030,-4.27010,65.85250,65.85250,-0.07000,-0.07000,0.17470,,0.14930,,,,,,,,-10.38900,42.37530,-7.80640,-10.38900,0.64850,-0.0469,-0.0475
2023-09-30,,,,0.56660,8.29020,,,-8.88410,-0.29090,-9.17500,,-9.17500,-9.17500,-9.17500,-8.68910,-8.88410,64.48080,64.48080,-0.14000,-0.14000,0.18880,,0.07840,,,,,,,,-19.62730,121.64720,-15.93920,-19.62730,0.71150,-0.04310,-0.04310
2023-06-30,,,,0.99470,2.95220,,,-22.93500,-0.26330,-23.19830,,-23.19830,-23.19830,-23.19830,-3.82220,-22.93500,56.26540,56.26540,-0.41000,-0.41000,0.23270,,0.09950,,,,,,,,-49.88640,297.85020,-39.79060,-49.88650,0.73000,-0.0393,-0.0394
2023-03-31,,,,0.23910,3.79610,,,-4.06340,-0.26490,-4.32830,,-4.32830,-4.32830,-4.32830,-3.96060,-4.06340,55.97460,55.97460,-0.08000,-0.08000,0.33350,,0.09070,,,,,,,,-6.54530,60.75700,-5.49760,-6.54530,1.14050,-0.0582,-0.0582
2022-12-31,,,,0.32600,4.01310,,,-4.36790,-0.08990,-4.45770,,-4.45770,-4.45770,-4.45770,-4.26440,-4.36790,55.50920,55.50920,-0.08000,-0.08000,0.47730,0.01760,0.08860,,,,,,,,-6.66340,70.15960,-5.55320,-6.54590,1.20090,-0.0636,-0.064
2022-09-30,,,,2.60540,4.55680,,,-7.19060,-0.50910,-7.69980,,-7.69980,-7.69980,-7.69980,-7.08760,-7.19060,55.09950,55.09950,-0.14000,-0.14000,1.13600,0.06200,0.08320,,,,,,,,-10.94890,263.13990,-9.26890,-10.26960,1.26700,-0.04820,-0.04820
2022-06-30,,,,1.76780,3.16010,,,-98.20920,7.97220,-90.23700,,-90.23700,-90.23700,-90.23700,-4.85350,-98.20920,52.52800,52.52800,-1.71000,-1.71000,1.48270,0.05930,0.07960,,,,,,,,-124.26120,14178.65000,-106.62200,-116.89340,1.37000,-0.0586,-0.0586
2022-03-31,,,,1.21240,2.79050,,,-4.03460,-2.16690,-6.20150,,-6.20150,-6.20150,-6.20150,-3.92860,-4.03460,52.63880,52.63880,-0.12000,-0.12000,1.55700,,0.03720,,,,,,,,-3.84600,117.63250,-3.44330,-3.84600,3.05390,-0.0517,-0.0517
2021-12-31,,,,2.33720,3.96180,,,-6.33080,-0.25220,-6.58290,,-6.58290,-6.58290,-6.58290,-6.22470,-6.33080,52.32200,52.32200,-0.13000,-0.13000,2.35700,0.00720,0.03580,,,,,,,,-3.97470,731.46770,-3.59460,-3.94610,3.14670,-0.0882,-0.0882
2021-09-30,,,,3.05540,4.41750,,,-7.50470,-2.90730,-10.41190,0.00000,-10.41200,-10.41200,-10.41200,-7.39870,-7.50470,52.21970,52.21970,-0.20000,-0.20000,12.76730,0.03390,0.03510,,,,,,,,-6.23560,-2311.67000,-5.65670,-6.02450,3.19750,-0.10100,-0.10110
2021-06-30,,,,12.21620,1.93620,,,-14.18390,-3.17960,-17.36350,-0.00450,-17.35900,-17.35900,-17.36300,-13.85590,-14.18390,47.16730,47.16730,-0.37000,-0.37000,11.08180,0.03200,0.03310,,,,,,,,-9.93860,-213.43860,-9.15530,-9.62030,3.34480,-0.2749,-0.2757
2021-03-31,,,,1.11920,1.90390,,,-3.05390,-0.97760,-4.03160,0.00080,-4.03240,-4.03240,-4.03070,-3.17110,-3.05390,46.78330,46.78330,-0.09000,-0.09000,3.49450,0.03400,0.03510,,,,,,,,-2.48430,95.67890,-2.32150,-2.39990,3.39610,-0.0495,-0.0495
2020-12-31,,,,1.33450,1.94000,,,-3.30520,0.37080,-2.93450,0.00120,-2.93560,-2.93560,-2.93330,-3.20050,-3.30520,46.66030,46.66030,-0.06000,-0.06000,2.57160,0.03530,0.03660,,,,,,,,-1.81280,63.82750,-1.69800,-1.74870,3.46300,-0.0535,-0.0537
