Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,40.24010,33.18220,7.05790,5.92350,5.92350,1.13440,-0.36400,0.77040,0.10590,0.66450,0.66450,0.65530,1.88130,1.13440,12.29500,12.46000,0.05000,0.05000,3.14390,0.05630,17.53940,2.81910,2.81910,1.91460,1.62840,0.50080,1.64210,6.94610,12.95700,1.04720,1.05550,0.82710,1.04720,5.16130,0.3738,0.3359
2024-06-30,40.93570,36.29590,4.63990,5.46870,5.46860,-0.82880,-0.42620,-1.25500,0.11170,-1.36670,-1.36670,-1.34520,-0.06600,-0.82880,12.29500,12.29500,-0.11000,-0.11000,3.62560,0.03390,11.33450,-2.02470,-2.02470,-3.06570,-3.28620,0.53400,1.75110,4.35450,20.66820,-2.17190,-2.18920,-1.78280,-2.17190,5.11810,-0.17900,-0.19080
2024-03-31,21.57450,20.07400,1.50050,4.52110,4.52100,-3.02060,-0.13390,-3.15450,-0.01640,-3.13820,-3.13820,-3.08880,-2.20470,-3.02060,12.29500,12.29500,-0.25000,-0.25000,3.44540,,6.95500,-14.00070,-14.00070,-14.62150,-14.31670,0.26890,0.73690,3.98240,22.59970,-4.87060,-4.90860,-3.91070,-4.87060,5.24040,-0.4377,-0.5077
2023-12-31,27.52010,23.05780,4.46230,4.08650,4.08650,0.37580,-0.10510,0.27070,0.03850,0.23220,0.23220,0.22070,1.21900,0.37580,12.29500,12.29500,0.02000,0.02000,5.52830,,16.21460,1.36550,1.36550,0.98370,0.80200,0.35380,1.44680,3.19080,28.20620,0.34020,0.34270,0.29850,0.34020,5.55010,-0.0254,-0.0881
2023-09-30,33.35710,27.98510,5.37200,4.48400,4.48400,0.88800,-0.16670,0.72130,0.35230,0.36890,0.36890,0.36560,1.71450,0.88800,12.29500,12.29500,0.03000,0.03000,4.96440,,16.10460,2.66210,2.66210,2.16230,1.09610,0.42170,1.49540,6.41280,14.03450,0.54070,0.54470,0.46640,0.54070,5.54940,0.6632,0.5237
2023-06-30,34.73570,29.16810,5.56750,4.47570,4.47570,1.09180,-0.29870,0.79310,0.29800,0.49510,0.49510,0.49650,1.90570,1.09180,12.29500,12.29500,0.04000,0.04000,4.10870,0.04560,16.02830,3.14320,3.14320,2.28320,1.42940,0.42170,1.22550,5.41860,16.60950,0.72500,0.73030,0.60110,0.72500,5.55450,0.00200,-0.11970
2023-03-31,23.77400,21.32110,2.45300,4.28330,4.28330,-1.83030,-0.08630,-1.91660,0.06770,-1.98430,-1.98430,-1.98430,-0.94910,-1.83030,12.63600,12.67500,-0.16000,-0.16000,3.96530,,10.31780,-7.69890,-7.69890,-8.06190,-8.34660,0.28400,0.65290,10.21170,8.81340,-2.90810,-2.92960,-2.37020,-2.90810,5.54980,0.0584,-0.0773
2022-12-31,43.02710,37.23040,5.79660,4.47000,4.47000,1.32670,-0.11150,1.21520,0.32440,0.89080,0.89080,0.89080,2.13150,1.32670,12.41300,12.41300,0.07000,0.07000,3.48800,0.06200,13.47210,3.08330,3.08330,2.82430,2.07040,0.47210,1.39630,7.73190,11.64010,1.25340,1.26230,0.97750,1.25340,5.74160,0.0231,-0.0576
2022-09-30,37.82570,30.90790,6.91780,4.30810,4.30810,2.60970,-0.10580,2.50390,0.71220,1.79180,1.79180,1.79180,3.47370,2.60970,12.49800,12.49800,0.14000,0.14000,3.24810,0.01560,18.28860,6.89930,6.89930,6.61960,4.73690,0.40510,0.84850,9.33830,9.63780,2.52410,2.54190,1.91900,2.52410,5.71140,0.8089,0.7241
2022-06-30,33.43660,26.81420,6.62240,4.31350,4.31350,2.30880,-0.02760,2.28120,0.55990,1.72140,1.72140,1.72140,3.17860,2.30880,12.33700,12.50200,0.14000,0.14000,4.97310,0.01600,19.80580,6.90520,6.90520,6.82260,5.14820,0.38750,0.92550,3.01580,29.84290,2.43870,2.45610,1.99470,2.43870,5.63160,-0.03780,-0.19470
2022-03-31,30.94000,26.25460,4.68540,4.53090,4.53100,0.15440,0.11950,0.27390,0.40520,-0.13130,-0.13130,-0.13130,1.02590,0.15440,11.82200,11.89800,-0.03000,-0.02000,4.94310,,15.14340,0.49920,0.49920,0.88530,-0.42440,0.36270,0.92920,2.70850,33.22910,-0.18950,-0.19080,-0.15390,-0.18950,5.61900,-0.4206,-0.6587
