Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.70200,1.29400,-4.99600,0.04200,-4.95400,0.00200,-4.95600,-4.95600,-4.95600,-4.73600,-4.99600,34.33800,34.33800,-0.14000,-0.14000,3.35690,,-71.66000,-71.65990,-56.50440,-71.65990,0.20120,-0.1083,-0.1126
2024-06-30,3.20500,1.01500,-4.22000,0.08300,-4.13700,,-4.13700,-4.13700,-4.13700,-4.02400,-4.22000,33.88400,33.88400,-0.12000,-0.12000,4.02910,,-51.60930,-51.60930,-41.07430,-51.60930,0.24620,-0.10470,-0.12960
2024-03-31,3.33400,0.98500,-4.31900,0.03800,-4.28100,,-4.28100,-4.28100,-4.28100,-4.17600,-4.31900,22.37700,22.37700,-0.14000,-0.14000,6.66460,,-37.11320,-37.11320,-31.00600,-37.11320,0.35530,-0.1599,-0.1819
2023-12-31,3.61900,1.65000,-5.26900,,-5.26900,,-5.26900,-5.26900,-5.26900,-5.13900,-5.26900,22.54000,22.54000,-0.23000,-0.23000,1.62750,,-137.03490,-137.03510,-84.99760,-137.03510,0.18050,-0.1747,-0.1967
2023-09-30,3.15900,1.03100,-4.19000,0.00900,-4.18100,0.00200,-4.18300,-4.18300,-4.18300,-4.09500,-4.19000,22.44500,22.44500,-0.19000,-0.19000,5.81210,,-52.69590,-52.69590,-41.58470,-52.69590,0.37580,-0.1013,-0.1115
2023-06-30,2.76800,0.98300,-3.75100,0.01400,-3.73700,,-3.73700,-3.73700,-3.73700,-3.69300,-3.75100,17.09900,17.09900,-0.22000,-0.22000,10.13370,,-32.33820,-32.33820,-27.34520,-32.33820,0.54780,-0.18760,-0.20940
2023-03-31,2.25800,1.31400,-3.57200,,-3.57200,,-3.57200,-3.57200,-3.57200,-3.51300,-3.57200,12.10300,12.10300,-0.30000,-0.30000,4.13280,,-70.37040,-70.37040,-49.30300,-70.37040,0.46360,-0.243,-0.3316
2022-12-31,2.19700,1.16100,-3.35800,,-3.35800,,-3.35800,-3.35800,-3.35800,-3.32500,-3.35800,12.27400,12.27400,-0.27000,-0.27000,11.14380,,-41.85180,-41.85180,-38.42610,-41.85180,0.73400,-0.2162,-0.2563
2022-09-30,2.38500,1.06400,-3.44900,0.00100,-3.44800,0.00200,-3.45000,-3.45000,-3.45000,-3.41800,-3.44900,12.26300,12.26300,-0.28000,-0.28000,15.83220,,-32.11540,-32.11540,-30.16360,-32.11540,0.98320,-0.2198,-0.2198
2022-06-30,2.22200,1.27700,-3.49900,,-3.49900,,-3.49900,-3.49900,-3.49900,-3.47000,-3.49900,11.58800,11.58800,-0.30000,-0.30000,14.08710,,-26.01390,-26.01390,-24.22900,-26.01390,1.23240,-0.23080,-0.23740
2022-03-31,1.98630,2.04100,-4.02730,-0.54730,-4.57460,,-4.57460,-4.57460,-4.57460,-3.61130,-4.02730,6.80800,6.80800,-0.52000,-0.52000,9.68320,,-51.76770,-51.76770,-46.45950,-51.76770,0.84470,-0.3851,-0.3895
2021-12-31,1.84940,1.98170,-3.83110,-1.01020,-4.84130,,-4.84130,-4.84130,-4.84130,-3.17410,-3.83110,6.35400,6.35400,-0.76000,-0.76000,0.03010,-0.84710,58.70650,58.70650,-643.92870,58.70650,-1.29380,-0.3653,-0.3653
2021-09-30,2.10540,1.58900,-3.69440,-0.68570,-4.38020,0.00160,-4.38180,-4.38180,-4.38180,-3.17960,-3.69440,6.32400,6.32400,-0.69000,-0.69000,0.13280,-0.95190,85.90310,85.90310,-318.71080,85.90310,-0.26870,-0.4077,-0.4081
2021-06-30,1.78810,1.58550,-3.37360,-1.46150,-4.83510,,-4.83510,-4.83510,-4.83510,-3.01030,-3.37360,6.31810,6.31810,-0.77000,-0.77000,0.63320,-2.76290,305.73060,305.73050,-119.61200,305.73050,-0.08340,-0.34890,-0.35210
2021-03-31,0.93320,0.79960,-1.73280,-0.03980,-1.77250,,-1.77250,-1.77250,-1.77250,-1.69150,-1.73280,6.21160,6.21160,-0.70000,-0.70000,0.50020,-1.96230,139.00690,139.00690,-78.84390,139.00690,-0.20230,-0.2198,-0.2199
2020-12-31,1.08670,0.78390,-1.87060,0.00000,-1.87050,,-1.87050,-1.87050,-1.87050,-1.84090,-1.87060,6.24900,6.24900,-0.30000,-0.30000,0.78540,,,,-144.83220,,0.00000,-0.5685,-0.5811
2020-09-30,1.09270,0.76650,-1.85920,0.00000,-1.85910,0.00160,-1.86070,-1.86070,-1.86070,-1.83190,-1.85920,18.60020,18.60020,-0.10000,-0.10000,2.07590,0.18060,-205.04110,-205.04130,-84.60170,-205.04130,0.04880,-0.0807,-0.085
2020-06-30,0.97080,0.90340,-1.87420,0.00010,-1.87420,,-1.87420,-1.87420,-1.87420,-1.84920,-1.87420,18.33450,18.33450,-0.10000,-0.10000,4.36820,0.06640,-75.95010,-75.95010,-49.06010,-75.95020,0.13270,-0.08220,-0.08290
2020-03-31,1.08910,0.82750,-1.91660,0.00060,-1.91600,,-1.91760,-1.91760,-1.91760,-1.90500,-1.91660,17.86480,17.86480,-0.12000,-0.12000,4.81750,,-66.61950,-66.61960,-49.69720,-66.61960,0.16110,-0.0738,-0.0851
2019-12-31,0.60800,0.52780,-1.13580,0.00230,-1.13350,,-1.13350,-1.13350,-1.13350,-1.12640,-1.13580,17.87030,17.87030,-0.06000,-0.06000,13.73320,,-31.41410,-31.41410,-29.19170,-31.41410,0.20190,-0.0576,-0.0592
2019-09-30,0.63320,0.52410,-1.15730,0.00980,-1.14760,,-1.14760,-1.14760,-1.14760,-1.14970,-1.15730,17.87030,17.87030,-0.06000,-0.06000,14.49960,,-25.19310,-25.19310,-23.48840,-25.19310,0.25490,-0.0507,-0.052
2019-06-30,0.70380,0.43450,-1.13820,0.01600,-1.12220,,-1.12220,-1.12220,-1.12220,-1.13150,-1.13820,17.84770,17.84770,-0.06000,-0.06000,22.55110,,-20.23330,-20.23400,-19.34900,-20.23330,0.31040,-0.04710,-0.04750
2019-03-31,0.87420,0.14970,-1.02260,0.01720,-1.00540,,-1.00700,-1.00700,-1.00700,-1.01670,-1.02260,16.58960,16.58960,-0.06000,-0.06000,36.71490,,-15.55370,-15.55360,-15.13540,-15.55370,0.36290,-0.0433,-0.0446
2018-12-31,0.50480,0.24580,-0.75060,0.01140,-0.73920,,-0.73920,-0.73920,-0.73920,-0.74510,-0.75060,16.84820,16.84820,-0.04000,-0.04000,113.76880,,-10.31810,-10.31840,-10.22830,-10.31810,0.40250,-0.0297,-0.0309
2018-09-30,0.36760,0.18140,-0.54900,0.00520,-0.54380,,-0.54380,-0.54380,-0.54380,-0.54720,-0.54900,15.98330,15.98330,-0.03000,-0.03000,78.74390,,-14.72920,-14.73000,-14.54470,-14.72920,0.23100,-0.0212,-0.0229
2018-06-30,0.13580,0.11800,-0.25520,0.00560,-0.24960,,-0.24960,-0.24960,-0.24960,-0.25380,-0.25520,15.98330,15.98330,-0.02000,-0.02000,243.73170,,-6.13270,-6.13300,-6.10770,-6.13270,0.25460,-0.01480,-0.01520
2018-03-31,0.07850,0.11210,-0.19250,0.00460,-0.18760,-0.00150,-0.18610,-0.18530,-0.18530,-0.19140,-0.19250,13.33630,13.33630,-0.01500,-0.01500,278.81070,,-4.29040,-4.29060,-4.27510,-4.29040,0.27020,-0.0252,-0.0255
2017-12-31,0.17100,0.08980,-0.26090,0.00290,-0.25800,0.00080,-0.25880,-0.25880,-0.25880,-0.26040,-0.26090,15.98300,15.98300,-0.01600,-0.01600,,,,,,,,-0.0102,-0.0108
2017-09-30,0.08340,0.09260,-0.17600,0.00080,-0.17520,0.00080,-0.17600,-0.17600,-0.17600,-0.17580,-0.17600,13.88300,13.88300,-0.01300,-0.01300,,,,,,,,-0.0177,-0.0176
2017-06-30,,0.03750,-0.03750,0.00020,-0.03720,0.00150,-0.03870,-0.03870,-0.03870,-0.03730,-0.03750,7.58210,7.58210,-0.00500,-0.00500,,,,,,,,-0.00620,-0.00650
