Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0.1153,0.1153
2020-09-30,-0.36300,-0.36300,0.01390,-0.34920,-0.34920,-0.34920,-0.34920,-0.36300,-0.36300,2.11500,2.11500,-0.17000,-0.17000,0.03050,0.09640,0.40150,-6.98350,-6.98350,-0.64760,-6.31010,2.32670,-0.1153,-0.1153
2020-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,0.3011,0.3011
2020-03-31,-0.23700,-0.23700,0.23940,0.00240,0.00240,0.00240,0.00240,-0.23700,-0.23700,1.98400,1.98400,-0.11000,-0.11000,0.13030,0.09640,0.25000,0.04730,0.04730,0.00440,0.04270,2.43070,-0.30110,-0.30110
2019-12-31,-0.33080,-0.33080,,-0.07460,,,-0.07460,,,1.95400,1.95400,-0.16000,-0.16000,1.47630,0.08980,0.13000,,,,,2.52020,-0.1436,-0.1436
2019-09-30,-0.11780,-0.11780,0.31200,0.19420,0.19420,0.19420,0.19420,-0.11780,-0.11780,1.94500,1.94500,-0.05000,-0.05000,0.40900,,0.01000,3.88340,3.88340,0.34300,3.88340,2.55890,-0.0306,-0.0306
2019-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,0.2007,0.2007
2019-03-31,-0.09450,-0.09450,0.35160,0.25710,0.25710,0.25710,0.25710,-0.09450,-0.09450,1.92800,1.92800,-0.03000,-0.03000,43.22520,,,5.14240,5.14240,0.45790,5.14240,2.58530,-0.20070,-0.20070
2018-12-31,-0.09950,-0.09950,,0.21560,,,0.21560,,,1.92000,1.92000,-0.04000,-0.04000,44.94090,,,,,,,2.59340,-0.0302,-0.0302
2018-09-30,-0.11050,-0.11050,0.27160,0.16110,0.16110,0.16110,0.16110,-0.11050,-0.11050,1.89700,1.89700,-0.05000,-0.05000,128.36780,,,3.22230,3.22230,0.28940,3.22230,2.60420,-0.1114,-0.1114
2018-06-30,,,,,,,,,,,,,0.00000,0.14960,,6.30260,,,,,0.01380,0,0
