Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.85900,1.30800,0.55100,0.32900,1.65500,1.98400,-1.43300,0.27800,-1.15500,-1.15500,-1.15500,-1.15500,-1.34800,-1.43300,54.71500,54.71500,-0.02000,-0.02000,7.46340,,,29.63960,-77.08440,-77.08440,-62.13020,-62.13020,0.10880,2.48200,36.26140,-7.79190,-8.26890,-6.75680,-7.79190,0.29510,-0.0189,-0.019
2024-06-30,0.04500,0.00300,0.04200,0.40200,1.77700,2.17900,-2.13700,0.26500,-1.87200,-1.87200,-1.87200,-1.87200,-2.07000,-2.13700,47.31900,47.31900,-0.04000,-0.04000,9.29960,,,93.33330,-4748.88800,-4748.88800,-4160.00000,-4160.00000,0.00250,0.33330,270.00000,-11.78170,-12.45180,-10.50030,-11.78170,0.31650,-0.0276,-0.0279
2024-03-31,1.10200,0.66500,0.43700,0.28100,1.40800,1.68900,-1.25200,0.14400,-1.10800,-1.10800,-1.10800,-1.10800,-1.18500,-1.25200,38.84800,38.84800,-0.03000,-0.03000,2.76820,,,39.65520,-113.61160,-113.61160,-100.54450,-100.54450,0.16650,1.93670,46.47010,-24.83750,-30.52340,-16.73720,-24.83750,0.11430,-0.02580,-0.02580
2023-12-31,1.27400,0.71600,0.55800,0.29900,1.41000,1.70900,-1.15100,0.19600,-0.95500,-0.95500,-0.95500,-0.95500,-1.06300,-1.15100,38.50100,38.50100,-0.02000,-0.02000,2.88520,,,43.79910,-90.34540,-90.34540,-74.96080,-74.96080,0.16720,4.43900,20.27470,-18.39370,-21.92380,-12.53280,-18.39370,0.13420,-0.0378,-0.0377
2023-09-30,0.08500,0.06100,0.02400,0.09300,1.42800,1.52100,-1.49700,0.16500,-1.33200,-1.33200,-1.33200,-1.33200,-1.39200,-1.49700,38.56200,38.56200,-0.03000,-0.03000,2.72610,,,28.23530,-1761.17700,-1761.17700,-1567.05900,-1567.05900,0.00940,0.97700,92.11760,-22.40160,-25.72920,-14.80330,-22.40160,0.15420,-0.033,-0.0331
2023-06-30,0.15000,0.02100,0.12900,0.18700,1.57100,1.75800,-1.62900,0.15100,-1.47800,-1.47800,-1.47800,-1.47800,-1.50700,-1.62900,38.55000,38.55000,-0.04000,-0.04000,3.00820,,,86.00000,-1086.00000,-1086.00000,-985.33340,-985.33340,0.01440,3.84620,23.40000,-20.64820,-23.10820,-14.21430,-20.64820,0.18560,0.0013,0.0013
2023-03-31,0.89400,0.78800,0.10600,0.16000,1.65000,1.81000,-1.70400,0.27500,-1.42900,-1.42900,-1.42900,-1.42900,-1.58100,-1.70400,38.26300,38.26300,-0.04000,-0.04000,6.48130,,,11.85680,-190.60400,-190.60400,-159.84340,-159.84340,0.08790,17.88000,5.03360,-16.64150,-18.30880,-14.05530,-16.64140,0.22280,-0.01450,-0.01430
2022-12-31,0.05000,0.05700,-0.00700,0.11200,1.38600,1.49800,-1.50500,0.18700,-1.31800,-1.31800,-1.31800,-1.31800,-1.42300,-1.50500,35.33900,35.33900,-0.03000,-0.03000,8.48560,,,-14.00000,-3010.00000,-3010.00000,-2636.00000,-2636.00000,0.00460,0.63290,142.20000,-13.79820,-15.05600,-12.06410,-13.79820,0.25120,-0.0287,-0.0287
2022-09-30,0.32400,0.20100,0.12300,0.09700,1.46100,1.55800,-1.43500,0.12300,-1.31200,-1.31200,-1.31200,-1.31200,-1.27800,-1.43500,37.87100,37.87100,-0.03000,-0.03000,12.81160,,,37.96300,-442.90120,-442.90120,-404.93820,-404.93830,0.02730,8.52630,10.55560,-12.15270,-13.14890,-11.05960,-12.15270,0.28400,-0.0128,-0.0129
2022-06-30,,,,0.18800,1.47200,,-1.66000,0.02200,-1.63800,-1.63800,-1.63800,-1.63800,-1.65900,-1.66000,33.54100,33.54100,-0.05000,-0.05000,10.60710,,,,,,,,,,,-16.06990,-17.46080,-14.37220,-16.06990,0.28040,-0.0526,-0.0521
2022-03-31,,,,0.10800,1.40900,,-1.51700,0.02700,-1.49000,-1.49000,-1.49000,-1.49000,-1.44600,-1.51700,31.82600,31.82600,-0.05000,-0.05000,9.33720,,,,,,,,,,,-19.69860,-22.03490,-17.23740,-19.69860,0.23520,-0.04720,-0.04670
2021-12-31,0.05400,0.05100,0.00300,0.24400,0.98400,1.22800,-1.22500,-0.00200,-1.22700,-1.22700,-1.22700,-1.22700,-0.74400,-1.22500,31.23100,31.23100,-0.04000,-0.04000,10.97670,,,5.55560,-2268.51900,-2268.51800,-2272.22200,-2272.22300,0.00580,1.63640,55.00000,-14.81530,-16.39720,-13.10480,-14.81530,0.26220,-0.0388,-0.039
2021-09-30,0.19000,0.27800,-0.08800,1.13800,1.13100,2.26900,-2.35700,0.00400,-2.35300,-2.35300,-2.35300,-2.35300,-1.99800,-2.35700,31.49100,31.49100,-0.07000,-0.07000,8.59150,,,-46.31580,-1240.52600,-1240.52600,-1238.42100,-1238.42100,0.01740,,,-24.97880,-27.75420,-21.57730,-24.97880,0.29830,-0.0587,-0.06
2021-06-30,,0.50500,-0.50500,0.47200,1.56500,2.03700,-2.54200,0.25100,-2.29100,-2.29100,-2.29100,-2.29000,-2.49600,-2.54200,31.31500,31.31500,-0.07000,-0.07000,10.42160,,,,,,,,,,,-19.51280,-21.93390,-17.25280,-19.51280,0.37300,-0.0677,-0.0668
2021-03-31,0.36300,0.22500,0.13800,0.82600,1.33300,2.15900,-2.02100,,-2.02100,-2.02100,-2.02100,-2.02100,-1.97500,-2.02100,30.52700,30.52700,-0.07000,-0.07000,13.15420,0.02070,0.02110,38.01650,-556.74930,-556.74930,-556.74930,-556.74930,0.02690,2.92740,30.74380,-17.02900,-19.12020,-14.97700,-16.67630,0.38120,-0.04960,-0.05130
2020-12-31,,0.25200,-0.25200,0.43900,1.16500,1.60400,-1.85600,0.00100,-1.85500,-1.85500,-1.85500,-1.85400,-1.80400,-1.85600,27.83700,27.83700,-0.07000,-0.07000,8.68700,0.02560,0.02630,,,,,,,,,-19.44240,-22.51490,-16.68020,-18.94400,0.31720,-0.0654,-0.0659
2020-09-30,,0.18000,-0.18000,0.36200,1.13500,1.49700,-1.67700,,-1.67700,-1.67700,-1.67700,-1.67700,-1.62700,-1.67700,27.84000,27.84000,-0.06000,-0.06000,7.04100,0.02240,0.02290,,,,,,,,,-15.28580,-17.37820,-12.77910,-14.94390,0.36520,-0.0351,-0.0353
2020-06-30,,-0.15300,0.15300,0.41800,1.17100,1.58900,-1.43600,0.04500,-1.39100,-1.39100,-1.39100,-1.39000,-1.38600,-1.43600,26.71200,26.71200,-0.05000,-0.05000,5.20950,0.03810,0.03960,,,,,,,,,-21.93320,-27.73680,-17.10530,-21.09810,0.23730,-0.0617,-0.0617
2020-03-31,,,,0.81000,1.15300,,-1.96300,,-1.96300,-1.96300,-1.96300,-1.96300,-1.90500,-1.96300,26.70700,26.70700,-0.07000,-0.07000,5.34550,,,,,,,,,,,-25.78490,-31.22320,-20.91410,-25.78480,0.28500,-0.05200,-0.05200
2019-12-31,,,,0.49400,1.12700,,-1.62100,0.00200,-1.61900,-1.61900,-1.61900,-1.61600,-1.56600,-1.62100,26.70100,26.70100,-0.06000,-0.06000,6.91990,,,,,,,,,,,-17.54820,-20.38790,-14.79620,-17.54820,0.34550,-0.0541,-0.0543
