Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.00060,0.00150,-0.00100,1.68410,1.21460,2.89870,-2.89960,0.20930,-2.69030,-2.69030,-2.69030,,-2.69030,-2.79250,-2.89960,8.76700,8.76700,-0.31000,-0.31000,20.98000,,0.00400,,,,,,0.00000,0.02510,,,-13.30520,-15.27610,-11.90350,-13.30510,2.48320,-0.2401,-0.2545
2024-06-30,0.00130,0.01750,-0.01610,1.56270,1.30710,2.86980,-2.88600,0.22390,-2.66210,-2.66210,-2.66210,,-2.66210,-2.78450,-2.88600,8.51500,8.51500,-0.31000,-0.31000,23.25830,,,,,,,,0.00010,0.21940,,,-12.39690,-14.09450,-11.36680,-12.39690,2.79100,-0.1696,-0.1725
2024-03-31,0.07870,0.06850,0.01020,1.36690,1.17030,2.53720,-2.52700,0.05730,-2.46960,-2.46960,-2.46960,,-2.46960,-2.42970,-2.52700,6.31990,6.31990,-0.39000,-0.39000,21.65080,,,13.00630,-3209.27500,-3209.27500,-3136.47100,-3136.47100,0.00330,0.62630,0.56240,160.02240,-11.37530,-12.92380,-10.33700,-11.37530,2.94140,-0.29670,-0.30140
2023-12-31,0.06150,0.04640,0.01510,1.40600,1.09400,2.50000,-2.48490,0.07910,-2.40570,-2.40570,-2.40570,,-2.40570,-2.39110,-2.48490,6.19070,6.19070,-0.39000,-0.39000,9.78540,,0.00700,24.49130,-4041.59600,-4041.59500,-3912.86700,-3912.86700,0.00500,0.57000,0.87830,102.46740,-23.91470,-32.16400,-19.64190,-23.91470,1.67750,-0.3156,-0.3225
2023-09-30,0.00160,0.00280,-0.00120,1.69050,1.14800,2.83850,-2.83980,0.09930,-2.74050,-2.74050,-2.74050,,-2.74050,-2.75160,-2.83980,6.19200,6.19200,-0.44000,-0.44000,13.64870,,,,,,,,0.00010,,0.01560,5780.34700,-22.42700,-28.36150,-19.08550,-22.42700,2.05540,-0.2853,-0.2989
2023-06-30,0.13520,0.11070,0.02440,1.20670,1.20590,2.41260,-2.38820,0.10830,-2.27980,-2.27980,-2.27980,,-2.27980,-2.30450,-2.38820,6.18500,6.18500,-0.37000,-0.37000,16.90540,,,18.07390,-1766.81500,-1766.81500,-1686.65900,-1686.65900,0.00820,,0.66480,135.38190,-15.90490,-19.32920,-13.83640,-15.90490,2.41390,-0.2669,-0.2781
2023-03-31,0.00070,0.00070,,1.44000,1.19930,2.63930,-2.63930,0.11130,-2.52800,-2.52800,-2.52800,,-2.52800,-2.57090,-2.63930,6.17850,6.17850,-0.41000,-0.41000,29.96910,,,,,,,,0.00000,,0.01000,9027.10900,-15.80920,-18.09860,-14.42810,-15.80930,2.69560,-0.28420,-0.29140
2022-12-31,0.01660,0.01660,,1.02970,0.95960,1.98930,-1.98930,0.09840,-1.89090,-1.89090,-1.89090,,-1.89090,-1.87830,-1.98930,6.15790,6.15790,-0.31000,-0.31000,37.61910,,,,-11978.03000,-11978.03000,-11385.75000,-11385.75000,0.00090,,0.25190,357.31210,-10.55890,-11.91360,-9.74750,-10.55890,3.02250,-0.3039,-0.3144
2022-09-30,0.01070,0.01070,,0.78020,0.97640,1.75650,-1.75660,0.05280,-1.70380,-1.70380,-1.70380,,-1.70380,-1.71100,-1.75660,6.15800,6.15800,-0.28000,-0.28000,28.86130,,,,-16454.81000,-16454.81000,-15960.37000,-15960.37000,0.00050,,0.21640,415.88010,-8.67160,-9.67240,-7.95890,-8.67160,3.32790,-0.2324,-0.2496
2022-06-30,0.05100,0.05100,,0.72840,0.96780,1.69620,-1.69620,0.00620,-1.69000,-1.69000,-1.69000,,-1.69000,-1.65130,-1.69620,6.15800,6.15800,-0.27000,-0.27000,35.31660,,,,-3327.26300,-3327.26300,-3315.14400,-3315.14400,0.00220,,0.34640,259.80970,-8.00280,-8.85730,-7.40900,-8.00280,3.57740,-0.2702,-0.2704
