Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.80800,7.80800,24.68900,6.97100,,-23.85200,4.73000,-19.12200,0.00000,-19.12200,-19.12200,-19.12200,-24.90400,-23.85200,62.60300,62.60300,-0.31000,-0.31000,4.77320,,,100.00000,-305.48160,-305.48160,-244.90270,-244.90270,0.02530,67.60000,67.60000,-6.20100,67.60000,-0.50880,-0.1482,-0.1527
2024-06-30,6.88800,6.88800,23.79700,7.32500,-2.39800,-26.63200,3.65300,-22.97900,0.00000,-22.97900,-22.97900,-22.97900,-26.54600,-26.63200,51.58030,51.58030,-0.45000,-0.45000,5.69320,,,100.00000,-386.64340,-386.64340,-333.60920,-333.60920,0.02100,160.44540,160.44520,-6.99330,160.44550,-0.25890,-0.3724,-0.3723
2024-03-31,5.05000,5.05000,25.53400,7.71000,,-28.19400,3.17800,-25.01600,0.00000,-25.01600,-25.01600,-25.01600,-27.91300,-28.19400,42.42900,42.42900,-0.59000,-0.59000,4.06260,,,100.00000,-558.29700,-558.29700,-495.36630,-495.36630,0.01980,25.66110,25.66110,-9.81000,25.66110,-2.28920,-0.69160,-0.69400
2023-12-31,5.76900,5.76900,24.20500,7.02200,,-25.45800,3.33800,-22.12000,1.98600,-24.10600,-24.10600,-24.10600,-25.10100,-25.45800,41.97450,41.97450,-0.57000,-0.57000,4.11020,,,100.00000,-441.29000,-441.29000,-383.42870,-417.85420,0.02020,31.22940,31.22940,-8.43110,31.22940,-1.82560,-0.6588,-0.6597
2023-09-30,17.47800,17.47800,26.25100,8.30800,,-17.08100,3.47400,-13.60700,0.73800,-14.34500,-14.34500,-14.34500,-16.87200,-17.08100,42.02600,42.02600,-0.34000,-0.34000,5.10350,,,100.00000,-97.72860,-97.72860,-77.85220,-82.07460,0.05580,24.99650,24.99650,-4.57690,24.99650,-1.35940,-0.6403,-0.642
2023-06-30,5.59900,5.59900,29.24800,8.40100,,-32.05000,3.50500,-28.54500,0.94200,-29.48700,-29.48700,-29.48700,-31.90500,-32.05000,41.82560,41.82560,-0.70000,-0.70000,5.12900,,,100.00000,-572.42360,-572.42360,-509.82320,-526.64760,0.01650,59.75070,59.75080,-8.68350,59.75080,-1.17910,-0.769,-0.7803
2023-03-31,5.30900,5.30900,29.98500,8.64100,,-33.31700,3.38900,-29.92800,0.56000,-30.48800,-30.48800,-30.48800,-33.22800,-33.31700,41.81100,41.81100,-0.73000,-0.73000,5.74770,,,100.00000,-627.55700,-627.55700,-563.72200,-574.27010,0.01420,124.00550,124.00550,-8.17630,124.00550,-0.58780,-0.74570,-0.76090
2022-12-31,4.18400,4.18400,28.20800,7.86200,,-31.88600,3.00000,-28.88600,,-28.88600,-28.88600,-28.88600,-31.61200,-31.88600,41.59140,41.59140,-0.69000,-0.69000,6.36530,,,100.00000,-762.09330,-762.09320,-690.39200,-690.39200,0.01030,-25792.95000,-25791.19000,-7.13440,-25791.08000,0.00270,-0.685,-0.6915
2022-09-30,6.63400,6.63400,26.92800,7.96500,,-28.25900,2.49000,-25.76900,0.00000,-25.76900,-25.76900,-25.76900,-27.84300,-28.25900,41.67300,41.67300,-0.62000,-0.62000,6.84220,,,100.00000,-425.97230,-425.97230,-388.43840,-388.43840,0.01530,-105.94510,-105.94500,-5.93850,-105.94500,0.58190,-0.5016,-0.5095
2022-06-30,4.49000,4.49000,25.97400,7.70400,,-29.18800,1.87500,-27.31300,,-27.31300,-27.31300,-27.31300,-28.70100,-29.18800,41.51530,41.51530,-0.66000,-0.66000,8.34080,,,100.00000,-650.06690,-650.06690,-608.30740,-608.30740,0.00980,-57.34170,-57.34170,-5.97790,-57.34170,1.14420,-0.7218,-0.7305
