Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,3.92000,3.92000,24.50800,7.21600,,-27.80400,0.89000,-26.91400,,-26.91400,-26.91400,-26.91400,-26.95500,-27.80400,41.37020,41.37020,-0.65000,-0.65000,8.90960,,,100.00000,-709.28570,-709.28570,-686.58160,-686.58160,0.00800,-37.17350,-37.17350,-5.51170,-37.17350,1.74760,6.56350,6.55750
2021-12-31,0.71300,0.71300,22.46300,6.33200,,-28.08200,-1.06100,-29.14300,,-29.14300,-29.14300,-29.14300,-27.17500,-28.08200,37.17120,37.17120,-0.77000,-0.77000,9.43810,,,100.00000,-3938.56900,-3938.56800,-4087.37700,-4087.37700,0.00140,-30.08430,-30.08430,-5.60690,-30.08430,2.34550,0.3286,0.327
2021-09-30,0.04100,0.04100,20.49400,5.80800,,-26.26100,0.18100,-26.08000,,-26.08000,-26.08000,-26.08000,-25.30000,-26.26100,36.97180,36.97180,-0.71000,-0.71000,6.42380,0.19740,0.24590,100.00000,-64051.21000,-64051.21000,-63609.75000,-63609.75000,0.00020,-32.20470,-32.20470,-14.01630,-25.84840,2.18600,-0.5507,-0.5567
2021-06-30,0.27900,0.27900,18.64200,4.89800,,-23.26100,0.15000,-23.11100,,-23.11100,-23.11100,-23.11100,-22.48200,-23.26100,36.84740,36.84740,-0.63000,-0.63000,8.81390,0.16120,0.19320,100.00000,-8337.27600,-8337.27600,-8283.51200,-8283.51200,0.00130,-22.18160,-22.18160,-11.08300,-18.60580,2.82660,-0.5011,-0.5339
2021-03-31,0.28600,0.28600,18.72600,4.69000,,-23.13000,0.14400,-22.98600,,-22.98600,-22.98600,-22.98600,-22.37100,-23.13000,36.81730,36.81730,-0.62000,-0.62000,10.12220,0.13760,0.16030,100.00000,-8087.41200,-8087.41200,-8037.06300,-8037.06300,0.00120,-18.36470,-18.36470,-9.99890,-15.83840,3.39870,-0.62870,-0.67740
2020-12-31,0.25100,0.25100,16.47100,4.55900,,-20.77900,0.02100,-20.75800,,-20.75800,-20.75800,-20.75800,-20.21700,-20.77900,11.04680,11.04680,2.50000,2.50000,10.11820,0.11850,0.13440,100.00000,-8278.48600,-8278.48600,-8270.12100,-8270.12100,0.00100,-14.19960,-14.19960,-8.12150,-12.51680,3.97340,0.6742,0.7093
2020-09-30,0.17900,0.17900,16.11300,2.55500,,-18.48900,0.12200,-18.36700,,-18.36700,-18.36700,-18.36700,-18.23400,-18.48900,5.88400,5.88400,-3.12000,-3.12000,3.65070,0.16960,0.34330,100.00000,-10329.05000,-10329.05000,-10260.89000,-10260.89000,0.00130,13.77630,-42.63270,-12.89560,-35.40080,7.15510,0.804,-0.0702
2020-06-30,,,13.62800,1.91100,,-15.53900,-0.18400,-15.72300,,-15.72300,-15.72300,-15.72300,-15.28500,-15.53900,5.41880,5.41880,-2.90000,-2.90000,,,,,,,,,,,,,,,-2.2223,-2.6275
2020-03-31,,,11.50300,2.22100,,-13.72400,-0.22800,-13.95200,,-13.95200,-13.95200,-13.95200,-13.46900,-13.72400,5.15420,5.15420,-2.71000,-2.71000,,,,,,,,,,,,,,,-2.08800,-2.28610
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,7.7191,7.9138
2019-09-30,,,11.29200,1.80800,,-13.10000,0.00800,-13.09200,0.00000,-13.09200,-13.09200,-13.09200,-13.10000,-13.10000,4.29470,4.29470,-3.05000,-3.05000,,,,,,,,,,,,,,,-7.7191,-7.9138
