Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,198.42400,73.41700,125.00700,17.42400,65.52600,89.92000,35.08700,7.68800,42.77500,4.75100,38.02400,38.02400,23.46500,40.24900,35.08700,93.59440,95.17070,0.25000,0.25000,1.06820,62.99990,17.68280,17.68280,21.55740,11.82570,0.23110,310.52270,0.28980,21.00330,37.49680,4.42870,21.00330,1.29910,-0.4132,-0.4333
2024-06-30,186.74500,66.17800,120.56700,17.41100,66.37800,90.23000,30.33700,8.66300,39.00000,0.40900,38.59100,38.59100,24.11900,34.67100,30.33700,92.89130,93.51230,0.26000,0.26000,1.12710,64.56240,16.24520,16.24520,20.88410,12.91550,0.19010,166.14320,0.54170,16.90630,26.20230,3.92830,16.90630,1.59390,1.2245,1.177
2024-03-31,179.04900,64.65200,114.39700,20.10400,64.51200,90.70800,23.68900,10.36400,34.05300,1.96500,32.08800,32.08800,18.80600,27.53500,23.68900,92.73900,93.41300,0.20000,0.20000,1.19020,63.89150,13.23050,13.23050,19.01880,10.50330,0.17600,288.32370,0.31210,11.91640,17.21140,3.15500,11.91640,1.83820,0.86010,0.83040
2023-12-31,170.96500,65.10600,105.85900,18.40000,65.52600,90.15900,15.69990,7.44200,23.14200,-0.12200,23.26400,23.26400,13.97500,18.05090,15.69990,90.60200,91.61700,0.16000,0.16000,1.39490,61.91850,9.18310,9.18310,13.53610,8.17420,0.16360,325.02850,0.27690,6.30080,8.14450,2.22620,6.30080,2.44960,1.0157,0.977
2023-09-30,160.38700,58.22200,102.16500,11.79000,65.83600,82.88600,19.27900,8.33800,27.61700,0.75400,26.86300,26.86300,15.34600,22.28100,19.27900,90.09640,90.87580,0.17000,0.17000,1.63310,63.69910,12.02030,12.02030,17.21900,9.56810,0.15100,217.91710,0.41300,5.86050,7.18390,2.52960,5.86050,3.02890,-0.0468,-0.0921
2023-06-30,149.87100,55.42300,94.44800,22.31000,66.93200,94.23100,0.21700,8.02800,8.24500,0.21100,8.03400,8.03400,4.01100,1.84500,0.21700,90.47720,91.27970,0.04000,0.04000,1.62360,63.01950,0.14480,0.14480,5.50140,2.67630,0.13800,161.32510,0.55790,1.73970,2.10190,0.73980,1.73970,3.04280,0.8161,0.7252
2023-03-31,132.35600,52.71600,79.64000,21.94400,67.58700,94.69800,-15.05800,6.66600,-8.39200,-0.11900,-8.27300,-8.27300,-5.22400,-13.85500,-15.05800,90.52200,90.52200,-0.06000,-0.06000,1.68880,60.17110,-11.37690,-11.37690,-6.34050,-3.94690,0.12100,137.58420,0.65410,-1.65950,-1.97810,-0.75650,-1.65950,3.25490,0.67120,0.56720
2022-12-31,128.25300,46.64500,81.60800,20.44600,87.62400,113.61900,-32.01100,11.57000,-20.44100,-1.68100,-18.76000,-18.76000,-11.32700,-29.47300,-32.01110,82.12500,82.12500,-0.14000,-0.14000,1.86580,63.63050,-24.95930,-24.95930,-15.93800,-8.83180,0.12360,109.71170,0.82030,-3.67180,-4.36460,-1.80820,-3.67180,3.34470,0.9826,0.8773
2022-09-30,115.91900,41.66100,74.25800,16.50800,118.91900,139.95800,-65.70000,-0.39500,-66.09500,-0.53600,-65.55900,-65.55900,-36.76400,-61.43300,-65.70000,83.45600,83.45600,-0.44000,-0.44000,2.07430,64.06030,-56.67750,-56.67750,-57.01830,-31.71530,0.12950,55.14700,1.63200,-12.36220,-14.61850,-7.32670,-12.36220,3.52810,0.1241,0.0366
2022-06-30,102.72300,37.62600,65.09700,14.33300,59.55800,78.21900,-13.12200,0.65200,-12.47000,-0.14700,-12.32300,-12.32300,-7.15500,-8.52200,-13.12200,80.46200,80.46200,-0.09000,-0.09000,2.11630,63.37140,-12.77420,-12.77420,-12.13940,-6.96530,0.11490,34.05940,2.64240,-2.31820,-2.74130,-1.37860,-2.31820,3.54860,0.6219,0.5041
2022-03-31,90.53900,35.12200,55.41700,15.51200,53.75200,73.64800,-18.23100,-0.26100,-18.49200,0.30200,-18.79400,-18.79400,-10.32700,-13.36200,-18.23100,77.71470,77.71470,-0.13000,-0.13000,2.30140,61.20790,-20.13610,-20.13610,-20.42440,-11.40610,0.10600,12.03180,7.48020,-3.52990,-4.17830,-2.20060,-3.52990,3.55190,0.32080,0.24960
2021-12-31,80.65900,32.82800,47.83100,14.19700,62.00600,79.37100,-31.54000,0.33900,-31.20100,-0.04400,-31.15700,-31.15700,-4.03500,-27.89700,-31.54000,76.55700,76.55700,-0.21000,-0.21000,2.46830,59.30030,-39.10290,-39.10290,-38.68260,-5.00250,0.09920,15.13020,5.94840,-5.77550,-6.82160,-3.83350,-5.77550,3.62680,0.3926,0.3256
2021-09-30,67.55800,28.05400,39.50400,13.34700,54.76500,72.10000,-32.59600,-0.13100,-32.72700,0.06000,-32.78700,-32.78700,-16.91500,-28.05000,-32.59600,73.32710,73.32710,-0.23000,-0.23000,3.26120,58.47420,-48.24890,-48.24890,-48.44280,-25.03780,0.08740,17.22980,5.22350,-5.90780,-5.93200,-4.24030,-5.90780,3.78320,0.4651,0.4249
2021-06-30,55.17800,24.13600,31.04200,10.94100,55.18300,68.78800,-37.74600,-0.14200,-37.88800,0.21100,-38.09900,-38.09900,-2.00400,-35.08200,-37.74600,58.41400,58.41400,-0.03000,-0.03000,1.42950,56.25790,-68.40770,-68.40770,-68.66510,-3.63190,0.18160,38.31810,2.34880,-27.83670,-28.21120,-12.54100,-27.83670,0.94530,0.0528,-0.2076
2021-03-31,50.55800,19.91800,30.64000,9.00500,32.14800,43.69100,-13.05100,-0.07100,-13.12200,0.00600,-13.12800,-13.12800,-13.12800,-10.51300,-13.05100,,,,0.00000,1.49520,60.60370,-25.81390,-25.81390,-25.95440,-25.96620,0.16770,46.94340,1.91720,2.56920,2.56030,-4.35420,2.56920,-3.52910,0.00000,
2020-12-31,53.15500,16.50400,36.65100,8.68000,25.53800,36.69600,-0.04500,8.50100,8.45600,0.00200,8.45400,8.45400,8.45400,2.43300,-0.04500,,,,0.00000,1.17480,68.95120,-0.08470,-0.08470,15.90820,15.90440,0.22890,58.28400,1.54420,-1.73630,-1.73070,3.63980,-1.73630,,0,0
2020-09-30,56.37500,16.04900,40.32600,6.29700,21.02500,29.64400,10.68200,0.46500,11.14700,0.00400,11.14300,11.14300,11.14300,13.00400,10.68200,,,,0.00000,,71.53170,18.94810,18.94810,19.77300,19.76590,,,,,,,,,0,0
2020-06-30,59.97800,13.50700,46.47100,5.44500,16.42000,24.19400,22.27700,0.07900,22.35600,0.01000,22.34600,22.34600,22.34600,24.60600,22.27700,,,,0.00000,,77.48010,37.14200,37.14200,37.27370,37.25700,,,,,,,,,0,0
2020-03-31,61.28800,27.65500,33.63300,11.61600,71.56600,85.47600,-51.84300,0.59000,-51.25300,,-51.25300,-51.25300,-51.25300,-49.54900,-51.84300,,,,0.00000,,54.87700,-84.58920,-84.58920,-83.62650,-83.62650,,,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
