Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,3.58500,2.20600,,,-5.79100,0.73200,-5.05900,-5.05900,-5.05900,-5.05900,-5.76600,-5.79100,10.64450,10.64450,-0.48000,-0.48000,15.00880,,0.00330,,,,,,,,,-7.88250,-7.88250,-7.35600,-7.88250,3.58670,-0.43080,-0.43080
2024-06-30,,-0.00600,0.00600,3.51200,2.03600,,5.54800,-5.54200,0.82800,-4.72000,-4.72000,-4.72000,-5.33900,-5.51600,-5.54200,4.06000,4.06000,1.82000,1.82000,10.49430,,0.00600,,,,,,,,,-9.98980,-9.98980,-9.04040,-9.98980,4.68450,1.3792,1.4035
2024-03-31,,0.00300,-0.00300,2.56600,1.57800,,4.14400,-4.14700,-0.13800,-4.27900,-4.27900,-4.27900,-4.27900,-4.12200,-4.14700,2.61600,2.61600,-1.64000,-1.64000,4.17980,0.00540,0.03080,,,,,,,,,-37.20870,-37.20870,-28.52860,-37.00920,4.22020,-2.2988,-2.3672
2023-12-31,,0.00100,-0.00100,5.10200,1.82400,,6.92600,-6.92700,0.12900,-6.79800,-6.79800,-6.79800,-6.79800,-6.91000,-6.92700,2.57600,2.57600,-2.64000,-2.64000,3.61920,0.00880,0.02730,,,,,,,,,-43.94310,-43.94310,-31.83630,-43.55740,5.96840,-1.7376,-1.7376
2023-09-30,,-0.10600,0.10600,4.42900,1.55100,,5.98000,-5.87400,-0.08000,-5.95400,-5.95400,-5.95400,-5.95400,-5.85500,-5.87400,2.15710,2.15710,-3.05000,-3.05000,5.82530,0.00940,0.02200,,,,,,,,,-26.69000,-26.69000,-22.00870,-26.43990,8.75850,-2.12190,-2.12190
2023-06-30,0.00700,,0.00700,3.18600,1.37100,,,-4.55000,-0.11100,-4.66100,-4.66100,-4.66100,-4.66100,-4.52900,-4.55000,1.38600,1.38600,-0.13000,-0.13000,0.93740,0.58440,2.76730,100.00000,-64999.98000,-64999.98000,-66585.71000,-66585.73000,0.00160,0.12730,707.14270,-2307.45200,-2307.42500,-104.41310,-959.05360,0.12270,-4.5407,-4.5414
2023-03-31,0.05400,,0.05400,3.16700,1.22800,,,-4.34100,-0.05600,-4.39700,-4.39700,-4.39700,-4.39700,-4.30900,-4.34100,1.64600,1.64600,-2.67000,-2.67000,2.34540,0.06990,0.13220,100.00000,-8038.88900,-8038.88900,-8142.59200,-8142.59200,0.00660,0.96430,93.33330,-93.29500,-93.29510,-53.49150,-86.77720,2.86460,-2.3551,-2.3551
2022-12-31,0.01400,,0.01400,3.76100,1.86300,,,-5.61000,0.19900,-5.41100,-5.41100,-5.41100,-5.41100,-5.56900,-5.61000,1.62100,1.62100,-3.34000,-3.34000,4.40940,0.04480,0.07620,100.00000,-40071.43000,-40071.43000,-38650.00000,-38650.00000,0.00120,0.20590,437.14290,-60.16220,-60.16230,-45.45150,-57.46600,5.46650,0.2303,0.2303
2022-09-30,,,,2.66000,1.92000,,,-4.58000,-0.51300,-5.09300,-5.09300,-5.09300,-5.09300,-4.53800,-4.58000,0.63900,0.63900,-7.98000,-7.98000,5.67290,0.03250,0.05130,,,,,,,,,-34.85250,-34.85250,-28.11480,-33.71950,1925.80300,-6.33020,-6.33020
2022-06-30,0.00000,,0.00000,3.17500,1.55300,,,-4.73700,-0.33000,-5.06700,-5.06700,-5.06700,-5.06700,-4.73100,-4.73700,0.48070,0.48070,2087.80000,2087.80000,1.90360,0.16250,0.28140,,,,,,0.00000,0.00000,,-175.81550,-175.81540,-84.83180,-147.25370,5.99560,-10.091,-10.118
