Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.72600,0.72600,4.15300,4.21300,-7.64000,0.17300,-7.46700,,-7.46700,-7.46700,-7.46700,-7.64100,-7.64000,8.32750,8.32750,-0.90000,-0.90000,2.65550,,,100.00000,-1052.34100,-1052.34100,-1028.51200,-1028.51200,0.04160,4.17240,21.57030,-151.95370,-151.95360,-42.76390,-151.95360,0.56820,-0.5398,-0.5398
2024-06-30,0.48800,0.48800,4.62900,3.68200,-7.82300,0.27200,-7.55100,,-7.55100,-7.55100,-7.55100,-7.82100,-7.82300,8.11260,8.11260,-0.93000,-0.93000,4.23340,,,100.00000,-1603.07400,-1603.07400,-1547.33600,-1547.33600,0.02290,2.90480,30.98360,-73.48920,-73.48910,-35.35940,-73.48910,1.26490,-0.7849,-0.7849
2024-03-31,0.16500,0.16500,7.24800,3.77900,-10.86200,0.42100,-10.44100,,-10.44100,-10.44100,-10.44100,-10.86000,-10.86200,8.10490,8.10490,-1.29000,-1.29000,6.24010,,,100.00000,-6583.03100,-6583.03100,-6327.87800,-6327.87800,0.00590,0.91160,98.72730,-59.87160,-59.87160,-37.18570,-59.87160,2.15110,-1.59090,-1.59090
2023-12-31,0.82600,0.82600,6.65700,4.17300,-10.00400,0.54700,-9.45700,,-9.45700,-9.45700,-9.45700,-9.98600,-10.00400,8.14520,8.14520,-1.16000,-1.16000,5.69490,,,100.00000,-1211.13800,-1211.13800,-1144.91500,-1144.91500,0.02030,3.93330,22.88140,-34.63470,-34.63470,-23.27130,-34.63470,3.36970,-0.8468,-0.8468
2023-09-30,0.00700,0.00700,5.04600,3.89300,-8.93200,0.63200,-8.30000,,-8.30000,-8.30000,-8.30000,-8.92400,-8.93200,7.97850,7.97850,-1.04000,-1.04000,7.75780,,,100.00000,-127600.00000,-127600.00000,-118571.40000,-118571.40000,0.00010,0.04070,2211.42800,-23.38560,-23.38560,-17.38180,-23.38560,4.48410,-1.0256,-1.0256
2023-06-30,0.52700,0.52700,6.02400,4.14600,-9.64300,0.68300,-8.96000,-0.02900,-8.93100,-8.93100,-8.93100,-9.63400,-9.64300,8.16460,8.16460,-1.09000,-1.09000,8.55360,,,100.00000,-1829.79100,-1829.79100,-1700.19000,-1694.68700,0.00930,2.26180,39.79130,-20.45530,-20.45530,-15.84270,-20.45530,5.42980,-0.8291,-0.8291
2023-03-31,0.69100,0.69100,4.36900,4.35700,-8.03500,0.68900,-7.34600,,-7.34600,-7.34600,-7.34600,-8.02600,-8.03500,8.23990,8.23990,-0.89000,-0.89000,12.60770,,,100.00000,-1162.80800,-1162.80800,-1063.09700,-1063.09700,0.01080,3.45500,26.04920,-13.98730,-13.98730,-11.52770,-13.98730,6.41810,-1.11610,-1.11610
2022-12-31,0.51200,0.51200,4.86200,4.48500,-8.83500,0.57500,-8.26000,,-8.24700,-8.24700,-8.24700,-8.80000,-8.83500,8.37380,8.37380,-0.99000,-0.99000,10.73480,,,100.00000,-1725.58600,-1725.58600,-1613.28200,-1610.74200,0.00710,2.29600,39.19920,-13.84100,-13.84100,-11.40790,-13.84100,7.20660,-0.6999,-0.7024
2022-09-30,0.49700,0.49700,4.12900,3.91800,-7.55000,0.29900,-7.25100,,-7.25100,-7.25100,-7.25100,-7.54600,-7.55000,8.38800,8.38800,-0.86000,-0.86000,14.37750,,,100.00000,-1519.11500,-1519.11500,-1458.95400,-1458.95400,0.00630,2.95830,30.42250,-10.70940,-10.70940,-9.15430,-10.70940,8.08440,-0.6533,-0.6533
2022-06-30,0.40300,0.40300,4.64500,3.68200,-7.92400,0.08000,-7.84400,,-7.84400,-7.84400,-7.84400,-7.92600,-7.92400,8.36640,8.36640,-0.94000,-0.94000,17.58860,,,100.00000,-1966.25300,-1966.25300,-1946.40200,-1946.40200,0.00470,2.70470,33.27540,-10.52240,-10.52240,-9.17930,-10.52240,8.89780,-0.865,-0.865
2022-03-31,0.11100,0.11100,4.22100,3.62100,-7.73100,0.01100,-7.72000,,-7.72000,-7.72000,-7.72000,-7.71900,-7.73100,8.35800,8.35800,-0.92000,-0.92000,17.67360,,,100.00000,-6964.86400,-6964.86400,-6954.95500,-6954.95500,0.00120,,,-9.43570,-9.43570,-8.28420,-9.43570,9.78790,-0.96110,-0.96110
2021-12-31,0.22000,0.22000,3.36100,3.42800,-6.56900,0.29200,-6.27700,,-5.64100,-5.64100,-5.64100,-6.54300,-6.56900,8.33450,8.33450,-0.72000,-0.72000,19.43020,,,100.00000,-2985.90900,-2985.91000,-2853.18200,-2564.09200,0.00220,1.71880,52.36360,-6.33980,-6.33980,-5.62350,-6.33980,10.64700,-0.7051,-3.8197
2021-09-30,,,4.11200,3.38500,-7.49700,0.00900,-7.48800,,-7.48800,-7.48800,-7.48800,-7.49500,-7.49700,8.35740,8.35740,-0.90000,-0.90000,17.47130,,,,,,,,,,,-7.95550,-7.95550,-7.03330,-7.95550,11.26290,-0.9293,2.1817
2021-06-30,0.01000,0.01000,4.11300,4.56100,-8.66400,-0.00600,-8.67000,,-8.67000,-8.67000,-8.67000,-8.64500,-8.66400,8.73210,8.73210,-0.99000,-0.99000,16.74430,,,100.00000,-86640.00000,-86640.00000,-86699.99000,-86700.00000,0.00010,0.08000,1125.00000,-8.57380,-8.57380,-7.58740,-8.57380,12.10030,-0.671,-0.671
2021-03-31,,,4.66000,3.95700,-8.61700,-0.01400,-8.63100,,-8.63100,-8.63100,-8.63100,-8.44700,-8.61700,8.31690,8.31690,-1.04000,-1.04000,23.99700,,,,,,,,,,,-7.92040,-7.92040,-7.18880,-7.92040,13.07870,-1.25190,-1.25190
2020-12-31,0.04000,0.04000,2.46300,4.63100,-7.05400,-0.01300,-7.06700,-4.65200,-2.41500,-2.41500,-2.41500,-6.84500,-7.05400,6.77790,6.77790,-0.35000,-0.35000,19.88070,,,100.00000,-17635.01000,-17635.01000,-17667.50000,-6037.50100,0.00030,0.00150,,-2.07170,-2.07170,-1.87160,-2.07170,14.03640,-1.5056,3.287
2020-09-30,0.07400,0.07400,2.07500,5.15600,-7.15700,6.49000,-0.66700,-2.43200,1.76500,1.76500,1.76500,-7.00200,-7.15700,8.29330,8.48680,0.21000,0.21000,19.40490,,,100.00000,-9671.62200,-9671.62200,-901.35140,2385.13500,0.00050,0.00280,32047.30000,1.48900,1.48900,1.29600,1.48900,14.29340,0.0915,0.0911
2020-06-30,0.03300,0.03300,2.76300,4.14700,-6.87700,0.09800,-6.77900,-1.42600,-5.35300,-5.35300,-5.35300,-6.66600,-6.87700,8.29280,8.29280,-0.65000,-0.65000,4.01160,,0.00010,100.00000,-20839.39000,-20839.39000,-20542.42000,-16221.21000,0.00020,0.00670,13532.73000,-4.59620,-4.59620,-3.10860,-4.59620,14.04380,-0.4674,-0.4691
2020-03-31,0.02100,0.02100,1.90500,3.33100,-5.21500,0.09200,-5.12300,-5.46300,0.34000,0.34000,-0.31100,-5.20600,-5.21500,2.19000,2.19000,-0.14000,-0.14000,1.99200,,0.00020,100.00000,-24833.33000,-24833.33000,-24395.24000,-1480.95200,0.00010,0.00420,21514.29000,0.27970,0.27970,0.18580,0.27970,14.65550,-1.51140,-1.51140
2019-12-31,0.43300,0.43300,4.74100,4.38100,-8.68900,0.43000,-8.25900,-0.01200,-8.24700,-8.24700,-8.27100,-8.67500,-8.68900,4.14590,4.14590,-1.98020,-1.98020,4.01350,,,100.00000,-2006.69800,-2006.69800,-1907.39000,-1910.16200,0.07840,12.37140,7.27480,13.86910,-202.52940,-149.23990,-202.52940,4.06790,2.5409,2.5404
2019-09-30,,,1.20200,1.49600,-2.69800,0.02900,-2.66900,,-2.66900,-2.66900,-3.43500,-2.69500,-2.69800,1.34300,1.34300,-2.56000,-2.56000,7.31150,,0.00070,,,,,,,,,-3.08920,-3.08920,-2.50250,-3.08920,20.84070,-1.4092,-1.4092
2019-06-30,,,1.88100,0.71400,-2.59500,0.02600,-2.56900,,-2.56900,-2.56900,-3.32700,-2.58600,-2.59500,1.34500,1.34500,-2.47000,-2.47000,12.77210,0.00010,0.00070,,,,,,,,,-2.60320,-2.60320,-2.12650,-2.60290,23.81360,-1.6916,-1.6916
2019-03-31,,,1.45500,0.68300,-2.13800,0.03300,-2.10500,,-2.10500,-2.10500,-2.85500,-2.12700,-2.13800,1.33900,1.33900,-2.13000,-2.13000,13.33150,0.00030,0.00080,,,,,,,,,-1.96690,-1.96690,-1.62840,-1.96640,25.84150,-1.63260,-1.63260
2018-12-31,0.20200,0.20200,5.72200,5.42600,-10.94600,0.40000,-10.54600,-0.02300,-10.52300,-10.52300,-10.56900,-10.70200,-10.94600,4.13610,4.13610,-2.52030,-2.52030,14.36330,0.00040,0.00090,100.00000,-5418.81200,-5418.81200,-5220.79200,-5232.17800,0.00150,0.25310,355.54450,-9.13910,-9.13910,-8.03660,-9.13570,27.82180,-0.3149,-0.3134
2018-09-30,0.12000,0.12000,7.57000,7.58800,-15.03800,0.64400,-14.39400,-6.99100,-7.40300,-7.40300,-7.40300,-14.77400,-15.03800,4.13450,4.13450,-1.80020,-1.80020,13.33190,0.00050,0.00110,100.00000,-12531.67000,-12531.67000,-11995.00000,-6169.16700,0.00090,0.01480,6073.50000,-6.05830,-6.05840,-5.31390,-6.05540,29.55280,-3.6237,-3.6213
2018-06-30,2.25200,2.25200,12.08800,7.91200,-17.74800,0.43500,-17.31300,,-17.31300,-17.31300,-17.31300,-17.44500,-17.74800,4.12910,4.12910,-4.23040,-4.23040,8.94500,0.00060,0.00130,100.00000,-788.09940,-788.09940,-768.78330,-768.78330,0.01520,1.91330,47.03820,-13.85640,-13.85640,-11.69700,-13.84820,30.23350,-1.6787,-1.6744
2018-03-31,9.90000,9.90000,20.31400,8.29200,-18.70600,0.39600,-18.31000,,-18.31000,-18.31000,-18.31000,-18.37200,-18.70600,4.12790,4.12790,-4.41040,-4.41040,8.00270,0.00070,0.00150,100.00000,-188.94950,-188.94950,-184.94950,-184.94950,0.06000,0.95620,94.11820,-13.27250,-13.27250,-11.09450,-13.26390,33.41070,-3.55530,-3.53520
2017-12-31,10.09800,10.09800,17.46100,6.68800,-14.05100,0.23500,-13.81600,-0.13000,-13.68600,-13.68600,-13.68600,-13.70800,-14.05100,3.47790,3.47790,-2.88030,-2.88030,7.96450,0.00070,0.00180,100.00000,-139.14630,-139.14630,-136.81920,-135.53180,0.05590,0.95880,93.86810,-9.03030,-9.03030,-7.57400,-9.02370,36.75960,-4.5417,-4.5238
2017-09-30,5.48200,5.48200,18.48000,7.90700,-20.90500,0.16000,-20.74500,-0.11900,-20.62600,-20.62600,-20.62600,-20.54800,-20.90500,3.32630,3.32630,-6.21060,-6.21060,5.14300,0.00130,0.00310,100.00000,-381.33890,-381.33890,-378.42030,-376.24950,0.03920,0.50830,177.04490,-19.37370,-19.37370,-14.76300,-19.34860,30.59620,-1.9754,-1.9681
2017-06-30,10.37000,10.37000,18.20000,8.89700,-16.72700,0.00100,-16.72600,,-16.72600,-16.72600,-16.72600,-16.38000,-16.72700,3.24690,3.24690,-5.13050,-5.13050,4.95150,0.00170,0.00380,100.00000,-161.30180,-161.30180,-161.29220,-161.29220,0.07620,0.59110,152.27100,-16.30170,-16.30170,-12.28730,-16.27420,31.53990,-3.357,-3.3176
2017-03-31,2.76100,2.76100,15.72500,8.23400,-21.19800,-0.02500,-21.22300,-0.31000,-20.91300,-20.91300,-20.91300,-20.83800,-21.19800,3.24560,3.24560,-6.48060,-6.48060,5.11800,0.00200,0.00400,100.00000,-767.76530,-767.76530,-768.67080,-757.44300,0.01850,0.17330,519.33360,-18.28800,-18.28800,-13.97720,-18.25140,35.22550,-4.00820,-4.01220
2016-12-31,5.64600,5.64600,-3.94400,5.68300,3.90700,0.25300,4.16000,4.46200,-0.30200,-0.30200,-0.30200,3.77800,3.90700,3.47790,3.47790,1.62020,1.62020,4.42980,0.00220,0.00400,100.00000,69.19950,69.19940,73.68040,-5.34890,0.03230,0.18510,486.20080,-0.23330,-0.23330,-0.17280,-0.23280,39.95720,1.3137,2.0168
2016-09-30,15.34500,15.34500,24.46300,7.74900,-16.86700,0.01900,-16.84800,-1.30800,-15.54000,-15.54000,-15.54000,-16.53500,-16.86700,3.22010,3.22010,-4.86050,-4.86050,4.40780,0.00240,0.00420,100.00000,-109.91850,-109.91850,-109.79470,-101.27080,0.08230,0.76000,118.42810,-11.23830,-11.23830,-8.33940,-11.21130,42.78210,-4.0695,-4.0939
