Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.14120,-0.82650,-0.96760,-0.14940,-1.11700,-1.11700,-1.11700,-1.11700,-0.96760,-0.96760,5.49500,5.49500,-0.20520,-0.20520,0.13690,,0.09390,-12.32840,-12.32840,-9.18080,-12.32840,1.64860,0.0229,-0.0157
2024-06-30,0.05620,-0.72100,-0.77720,0.15120,-0.62630,-0.62630,-0.62630,-0.62630,-0.77720,-0.77720,5.38230,5.38230,-0.11690,-0.11690,0.45760,,0.08300,-6.24580,-6.24580,-5.00330,-6.24580,1.82830,-0.23860,-0.26640
2024-03-31,-1.24000,-2.04030,-0.78180,-0.33630,-1.11810,-1.11810,-1.11810,-1.11810,-0.78180,-0.80030,4.51800,4.51800,-0.22890,-0.22890,0.54360,,0.08620,-11.41820,-11.41820,-9.08670,-11.41820,1.88020,-0.1967,-0.3834
2023-12-31,0.71900,,-0.71900,0.23800,-0.48100,-0.48100,-0.48100,-0.48100,-0.71900,-0.71900,4.83800,4.83800,-0.09900,-0.09900,0.99890,,0.08730,-5.02000,-5.02000,-4.32760,-5.02000,1.96910,-0.0874,-0.0868
2023-09-30,1.37440,,-1.37440,0.11060,-1.26380,-1.26380,-1.26380,-1.26380,-1.37440,-1.37440,4.32800,4.32800,-0.29200,-0.29200,1.43200,,0.09290,-12.64000,-12.64000,-10.62100,-12.64000,2.07000,-0.3017,-0.4472
2023-06-30,0.02010,-0.42110,-0.45970,0.00730,-0.45240,-0.45240,-0.45240,-0.45240,-0.44120,-0.44120,3.97600,3.97600,-0.11400,-0.11400,0.09050,,0.12850,-6.09350,-6.09350,-4.63870,-6.09350,1.85920,-0.03680,-0.09590
2023-03-31,-0.43170,-0.49870,-0.14570,0.45830,0.31260,0.31260,0.31260,0.31260,-0.14570,-0.06700,3.83600,3.93300,0.17900,0.17400,0.27310,,0.12430,3.97850,3.97850,3.10720,3.97850,1.97940,-0.4814,-0.6359
2022-12-31,0.59280,-0.74480,-1.33760,2.92590,1.58830,1.58830,1.58830,1.58830,-1.33760,-1.33760,197.18400,201.48000,0.01000,0.01000,0.90470,,0.12330,20.15310,20.15310,15.92110,20.15310,0.03980,0.0096,0.0083
2022-09-30,0.23150,-0.44450,-0.67600,0.10010,-0.57590,-0.57590,-0.57590,-0.57590,-0.67600,-0.67600,190.75300,190.75300,0.00000,0.00000,0.20500,0.00530,0.16830,-10.05380,-10.05380,-7.24330,-10.00030,0.02910,-0.0023,-0.0065
2022-06-30,0.29080,-0.30410,-0.59480,-0.00660,-0.60140,-0.60140,-0.60140,-0.60140,-0.59480,-0.59480,181.00900,181.00900,0.00000,0.00000,0.26120,0.00800,0.17990,-10.71270,-10.71270,-7.83470,-10.62740,0.03090,-0.00220,-0.00830
2022-03-31,1.88730,-0.39470,-2.28200,-0.13840,-2.42040,-2.42040,-2.42040,-2.42040,-2.28200,-2.28200,163.83100,163.83100,,0.00000,0.39400,0.01090,0.02130,-45.00040,-45.00040,-38.31500,-44.50930,0.02980,-0.0031,-0.0047
2021-12-31,0.19310,-0.46310,-0.65610,0.06370,-0.59250,-0.59250,-0.59250,-0.59250,-0.65610,-0.65610,163.72800,163.72800,0.00000,0.00000,0.54340,0.01430,0.02520,-11.90520,-11.90520,-10.02140,-11.73550,0.02930,-0.0013,-0.0032
2021-09-30,0.00670,-0.09540,-0.10200,0.00420,-0.09780,-0.09780,-0.09780,-0.09780,-0.10200,-0.10200,158.37700,158.37700,0.00000,0.00000,0.30820,0.01640,0.02930,-2.10150,-2.10150,-1.83970,-2.06700,0.02930,-0.0006,-0.0017
2021-06-30,0.00990,-0.20000,-0.20980,0.00890,-0.20090,-0.20090,-0.20090,-0.20090,-0.20980,-0.20980,157.33100,157.33100,0.00000,0.00000,0.77570,0.02020,0.03140,-4.19060,-4.19060,-3.63660,-4.10570,0.03030,-0.00180,-0.00160
