Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5.04910,7.23200,,-12.28110,2.54690,-9.73420,0.22500,-9.95920,-9.95920,-9.95920,-12.18820,-12.28110,122.13440,122.13440,-0.08000,-0.08000,48.44740,,-3.78280,-3.78280,-3.38980,-3.78280,2.15630,-0.0336,-0.0343
2024-06-30,10.71910,7.05180,,-17.77100,-11.41140,-29.18240,0.16360,-29.34600,-29.34600,-517.28060,-17.77100,-17.77100,100.02150,100.02150,-5.17000,-5.17000,49.02830,,-10.89690,-10.89690,-9.80860,-10.89690,2.20570,-0.0838,-0.0855
2024-03-31,,,-1.01750,-1.01750,3.95230,2.93490,1.40650,1.52840,1.52840,1.52840,-1.01750,-1.01750,13.95000,13.95000,0.04000,0.04000,0.15400,,-18.31060,-18.31060,0.49590,-18.31060,-0.59830,-0.08660,-0.08660
2023-12-31,,,-3.11330,4.90340,21.99310,26.89650,4.97620,21.92030,21.92030,21.92030,4.90340,4.90340,13.95000,13.95000,0.34000,0.34000,4.43230,,-63.79320,-63.79320,147.27670,-63.79320,-0.49620,-0.6259,-0.625
2023-09-30,1.70750,2.95630,,-4.66380,-4.00420,-8.66800,,-8.66800,-8.66800,-8.66800,-4.65070,-4.66380,68.45090,68.45090,-0.13000,-0.13000,0.75230,,51.79080,51.79090,-1.66690,51.79080,-1.19970,-0.0524,-0.053
2023-06-30,1.83330,1.51970,,-3.35300,-1.12190,-4.47480,,-4.47480,-4.47480,-4.47480,-3.35300,-3.35300,68.84560,68.84560,-0.06000,-0.06000,0.54860,,30.27660,30.27640,-0.86580,30.27660,-1.05950,-0.0504,-0.0507
2023-03-31,,,-1.15740,-1.15740,5.36400,4.20660,1.11590,3.09070,3.09070,3.09070,-1.15740,-1.15740,13.95000,13.95000,0.05000,0.05000,0.97570,,-22.18990,-22.18980,0.60050,-22.18990,-0.99840,-0.04870,-0.04870
2022-12-31,,,-0.44700,-0.44700,4.08020,3.63320,0.84770,2.78550,2.78550,2.78550,-0.44700,-0.44700,13.95000,13.95000,0.05000,0.05000,2.69510,,-20.18090,-20.18090,0.54600,-20.18090,-0.98940,-0.0148,-0.0148
2022-09-30,,,-0.40260,-0.40260,2.41130,2.00870,0.53460,1.47410,1.47410,1.47410,-0.40260,-0.40260,13.95000,13.95000,0.02000,0.02000,3.42060,,-10.99260,-10.99260,0.29100,-10.99260,-0.96130,-0.0314,-0.0314
2022-06-30,,,-0.43070,-0.43070,0.57720,0.14650,0.09210,0.05440,0.05440,0.05440,-0.43070,-0.43070,13.95000,13.95000,0.00000,0.00000,6.14290,,-0.40210,-0.40210,0.01080,-0.40210,-0.96900,-0.0112,-0.0112
2022-03-31,,,-0.52910,-0.52910,0.14090,-0.38820,,-0.38820,-0.38820,-0.38820,-0.52910,-0.52910,13.95000,13.95000,-0.01000,-0.01000,8.48610,,2.86060,2.86050,-0.07700,2.86060,-0.97290,-0.01100,-0.01100
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0.1303,0.1303
2021-09-30,,,-0.56900,-0.56900,0.03380,-0.53520,,-0.53520,-0.53520,-0.53520,-0.56900,-0.56900,13.62360,13.62360,-0.01000,-0.01000,44.96200,,4.22580,4.22620,-0.10600,4.22620,-0.90780,-0.1303,-0.1303
2021-06-30,,,,,,,,,,,,,13.95000,13.95000,0.00000,0.00000,1.02670,20.83330,,,,,0.00190,0,0
2021-03-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0.00000,
