Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2012-03-31,409.00000,182.00000,227.00000,86.00000,109.00000,118.00000,-12.00000,106.00000,-48.00000,154.00000,154.00000,0.00000,154.00000,141.00000,118.00000,188.66100,191.90100,0.81170,0.79640,0.79610,0.48530,0.97140,55.50120,28.85090,28.85090,25.91690,37.65280,0.13320,45.50000,0.92120,97.70170,21.00960,47.23930,5.01630,10.81460,0.10420,0.05730
2011-12-31,451.00000,205.00000,246.00000,79.00000,102.00000,144.00000,-11.00000,133.00000,7.00000,126.00000,126.00000,0.00000,126.00000,167.00000,144.00000,188.70000,196.82600,0.67390,0.64320,0.67210,0.54690,1.24500,54.54550,31.92910,31.92910,29.49000,27.93790,0.15200,51.25000,1.22220,73.63640,22.70270,81.29030,4.24530,10.28570,0.9241,0.8091
2011-09-30,467.00000,197.00000,270.00000,36.00000,61.00000,209.00000,-15.00000,194.00000,16.00000,178.00000,178.00000,0.00000,178.00000,234.00000,209.00000,189.29500,192.11100,0.93420,0.91890,0.68190,0.59010,1.47230,57.81590,44.75380,44.75380,41.54180,38.11560,0.16010,49.25000,1.04010,86.53100,36.55030,179.79800,6.10220,14.98320,0.9229,1.5733
2011-06-30,454.00000,188.00000,266.00000,125.00000,150.00000,116.00000,-5.00000,111.00000,24.00000,87.00000,87.00000,0.00000,87.00000,141.00000,116.00000,189.35900,192.62400,0.45940,0.44410,0.57990,0.69130,2.39000,58.59030,25.55070,25.55070,24.44930,19.16300,0.15770,47.00000,1.06320,84.64760,24.23400,-621.42860,3.02290,7.48070,0.6022,0.5557
2011-03-31,396.00000,181.00000,215.00000,90.00000,116.00000,99.00000,-5.00000,94.00000,25.00000,69.00000,69.00000,0.00000,69.00000,125.00000,99.00000,188.05300,191.97100,0.36760,0.35220,0.57960,0.71600,2.57060,54.29290,25.00000,25.00000,23.73740,17.42420,0.13660,45.25000,0.95190,94.54550,19.88470,-405.88240,2.38100,5.64650,-0.01560,-0.06250
2010-12-31,435.00000,207.00000,228.00000,102.00000,128.00000,100.00000,-21.00000,79.00000,30.00000,49.00000,49.00000,0.00000,49.00000,126.00000,100.00000,,,,0.00000,0.50600,0.72730,2.72850,52.41380,22.98850,22.98850,18.16090,11.26440,0.15670,51.75000,1.17250,76.75860,16.83850,-73.13430,1.76510,4.59230,-1.7353,-2.0707
2010-09-30,421.00000,186.00000,235.00000,66.00000,93.00000,142.00000,-16.00000,126.00000,23.00000,103.00000,103.00000,0.00000,103.00000,169.00000,142.00000,187.86300,187.86300,0.55130,0.53600,0.46870,0.72220,2.69350,55.81950,33.72920,33.72920,29.92870,24.46560,0.14570,46.50000,1.01450,88.71730,33.22580,-223.91310,3.56520,9.22940,0.802,1.3075
2010-06-30,410.00000,182.00000,228.00000,59.00000,86.00000,142.00000,-16.00000,126.00000,39.00000,87.00000,87.00000,0.00000,87.00000,169.00000,142.00000,188.05300,193.93000,0.45940,0.44410,0.57290,0.84500,6.11310,55.60980,34.63420,34.63420,30.73170,21.21950,0.14240,45.50000,0.97390,92.41460,51.78570,-53.37420,3.02080,8.02580,0.7841,0.6193
2010-03-31,362.00000,178.00000,184.00000,74.00000,102.00000,82.00000,-16.00000,66.00000,14.00000,52.00000,50.00000,0.00000,50.00000,110.00000,82.00000,187.63300,187.63300,0.26040,0.26040,0.46640,0.83860,5.75000,50.82870,22.65190,22.65190,18.23200,13.81220,0.12680,44.50000,0.97050,92.73480,26.59580,-32.25810,1.75070,4.29180,0.14920,0.14390
2009-12-31,420.00000,319.00000,101.00000,124.00000,154.00000,-53.00000,-25.00000,-78.00000,-255.00000,177.00000,177.00000,-2.00000,175.00000,-23.00000,-53.00000,,,,0.00000,0.39790,0.86690,7.19230,24.04760,-12.61910,-12.61910,-18.57140,41.66670,0.14520,79.75000,1.25370,71.78570,113.46150,-88.50000,6.11820,15.10240,-1.7495,-1.2719
2009-09-30,401.00000,189.00000,212.00000,84.00000,112.00000,100.00000,-33.00000,67.00000,-1.00000,68.00000,68.00000,0.00000,68.00000,128.00000,100.00000,186.74700,192.62400,0.36760,0.35220,0.44040,1.03360,-31.35900,52.86780,24.93770,24.93770,16.70820,16.95760,0.13780,47.25000,1.00500,89.55110,-174.35900,-16.91540,2.33600,5.86210,1.2706,0.8719
2009-06-30,375.00000,176.00000,199.00000,79.00000,105.00000,94.00000,-176.00000,-82.00000,-24.00000,-58.00000,-58.00000,2.00000,-56.00000,120.00000,94.00000,186.09400,190.01200,-0.30630,-0.29100,0.54450,1.07360,-14.81440,53.06670,25.06670,25.06670,-21.86670,-14.93330,0.12190,44.00000,0.85810,104.88000,59.79380,12.18490,-1.88500,-4.40060,0.5273,0.4967
2009-03-31,342.00000,176.00000,166.00000,99.00000,124.00000,42.00000,-13.00000,29.00000,8.00000,21.00000,21.00000,6.00000,27.00000,67.00000,42.00000,185.44100,186.09400,0.15320,0.15320,0.74430,0.96860,31.28890,48.53800,12.28070,12.28070,8.47950,7.89470,0.10920,44.00000,0.87020,103.42110,46.66670,-5.28970,0.67050,1.46550,-0.04840,-0.09670
