Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-10-31,2396.66000,995.05400,1401.60600,909.82700,,910.94500,490.66090,13.74300,504.40400,152.53400,351.87000,351.87000,,351.87000,604.25990,490.66090,122.69700,122.80300,2.87000,2.87000,1.99900,,58.48160,20.47270,20.47270,21.04610,14.68170,0.33830,0.55250,16.71100,5.38570,8.82820,9.24140,4.96730,8.82820,32.62660,2.5248,1.0344
2024-07-31,2371.07800,958.89300,1412.18500,871.95900,,871.95900,540.22580,17.99400,558.22000,165.29800,392.92200,392.92200,,392.92200,643.79880,540.22580,124.72100,124.85700,3.15000,3.15000,2.43200,,59.55880,22.78400,22.78400,23.54290,16.57150,0.35160,0.67100,18.80000,4.78720,9.74590,9.80410,5.82610,9.74590,31.29140,3.5611,2.3869
2024-04-30,2208.89100,933.82300,1275.06800,842.42600,,842.42600,432.64210,23.28300,455.92500,134.50400,321.42100,321.42100,,321.42100,528.40110,432.64210,125.98900,126.33600,2.55000,2.54000,2.72350,,57.72440,19.58640,19.58640,20.64050,14.55120,0.32350,0.69420,17.48250,5.14800,7.61700,7.66050,4.70710,7.61700,33.60090,1.00940,-0.02500
2024-01-31,3205.10400,1301.67800,1903.42600,989.53510,,989.53500,913.89040,17.83000,931.72010,262.25200,669.46830,669.46800,,669.46790,1017.18000,913.89010,126.72600,127.06000,5.29000,5.28000,2.48920,,59.38730,28.51360,28.51360,29.06990,20.88760,0.45190,0.98340,25.68830,3.50350,15.81890,15.90940,9.43980,15.81890,33.52890,10.8768,9.2595
2023-10-31,2204.21800,947.55400,1256.66400,842.79500,,918.54900,338.11500,9.84200,347.95700,99.24300,248.71400,248.71400,,248.71400,436.08400,338.11500,126.46000,126.77000,1.97000,1.96000,2.32360,,57.01180,15.33950,15.33950,15.78600,11.28360,0.36600,0.56960,20.59940,4.36910,7.05400,7.10220,4.12990,7.05400,27.93020,3.0913,1.7976
2023-07-31,2209.16500,910.65400,1298.51100,817.37500,,819.25400,479.25710,7.36200,486.61900,145.01600,341.60300,341.60300,,341.60300,573.26610,479.25710,126.96900,127.26300,2.69000,2.68000,2.39760,,58.77840,21.69400,21.69400,22.02730,15.46300,0.36870,0.54830,20.79780,4.32740,9.66760,9.78500,5.70050,9.66760,27.88220,3.7469,2.6005
2023-04-30,2000.79200,849.98700,1150.80500,747.51300,,749.39100,401.41410,8.02500,409.43900,119.03400,290.40500,290.40500,,290.40500,485.53010,401.41410,127.24600,127.62100,2.28000,2.28000,2.42950,,57.51750,20.06280,20.06280,20.46390,14.51450,0.35910,0.53790,18.61760,4.83410,8.74690,8.86470,5.21230,8.74690,26.09820,0.35650,-0.71650
2023-01-31,2771.83800,1244.21900,1527.61900,803.10700,,1213.19300,314.42600,3.70900,318.13510,198.32400,119.81110,119.81100,,119.81100,394.58800,314.42610,127.66600,128.01700,0.95000,0.94000,2.11730,,55.11210,11.34360,11.34360,11.47740,4.32240,0.49430,0.85960,20.85560,4.31540,3.80500,3.86150,2.13680,3.80500,24.73120,8.1738,6.5621
2022-10-31,1856.88900,818.03700,1038.85200,684.23600,,686.42500,352.42700,0.33100,352.75800,97.28800,255.47000,255.47000,,255.47000,431.61500,352.42700,127.51100,127.82000,2.00000,2.00000,1.99130,,55.94580,18.97940,18.97940,18.99730,13.75800,0.34970,0.46970,19.30660,4.66160,8.40580,9.87140,4.81160,8.40580,23.83300,0.5142,-0.861
2022-07-31,1868.32800,812.85200,1055.47600,662.25300,10.18000,654.26800,401.20800,0.14500,401.35300,111.83200,289.52100,289.52100,,289.52100,469.17900,401.20800,127.61900,127.90600,2.27000,2.26000,1.97740,,56.49310,21.47420,21.47420,21.48190,15.49630,0.37970,0.55600,22.84470,3.93970,10.13090,12.04320,5.88370,10.13090,22.40760,0.7539,-0.3818
2022-04-30,1613.46300,743.07000,870.39300,607.85100,,610.04600,260.34700,-0.02200,260.32500,70.32700,189.99800,189.99800,,189.99800,324.81700,260.34700,128.07700,128.54100,1.48000,1.48000,1.90840,,53.94560,16.13590,16.13590,16.13460,11.77580,0.34350,0.58280,20.58230,4.37270,7.12120,8.58900,4.04490,7.12120,20.85470,-1.89240,-2.75870
2022-01-31,2129.11300,892.94090,1236.17200,641.95890,-1.46000,645.61610,590.55600,0.17600,590.73190,156.22800,434.50410,434.50410,,434.50410,652.67600,590.55590,129.76800,130.29500,3.36000,3.35000,1.86070,,58.06040,27.73720,27.73720,27.74540,20.40780,0.43080,0.92390,27.65050,3.25490,15.85760,19.04160,8.79120,15.85760,21.32330,5.6062,4.6292
