Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,136.60000,77.90000,58.70000,82.80000,-41.70000,124.50000,-65.80000,-65.80000,1.90000,-67.70000,-67.70000,-67.70000,-62.40000,-65.80000,71.13800,71.13800,-0.95000,-0.95000,0.11370,-48.16980,-48.16980,-48.16980,-49.56080,0.07490,-11.41650,-12.12830,-3.71370,-11.41650,8.30780,0.2326,0.202
2024-06-30,122.00000,70.50000,51.50000,66.60000,-40.00000,106.60000,-55.10000,-55.10000,2.10000,-57.20000,-57.20000,-57.20000,-51.40000,-55.10000,70.72100,70.72100,-0.81000,-0.81000,0.06910,-45.16390,-45.16390,-45.16390,-46.88530,0.07120,-9.00500,-9.56520,-3.33740,-9.00500,8.94610,-0.1628,-0.1838
2024-03-31,119.10000,65.90000,53.20000,60.20000,-38.20000,98.40000,-45.20000,-45.20000,2.10000,-47.30000,-47.30000,-47.30000,-41.50000,-45.20000,70.28400,70.28400,-0.67000,-0.67000,0.04180,-37.95130,-37.95130,-37.95130,-39.71450,0.07230,-6.99290,-7.42660,-2.87290,-6.99290,9.59730,-0.42400,-0.45960
2023-12-31,115.50000,65.00000,50.50000,53.50000,-36.60000,90.10000,-39.60000,-39.60000,2.80000,-42.40000,-42.40000,-42.40000,-36.10000,-39.60000,69.65900,69.65900,-0.60000,-0.60000,0.02100,-34.28570,-34.28570,-34.28570,-36.71000,0.07070,-5.98110,-6.35680,-2.59600,-5.98110,10.10350,-0.2332,-0.2677
2023-09-30,114.50000,75.90000,38.60000,61.30000,-36.90000,98.20000,-59.60000,-59.60000,1.90000,-61.50000,-61.50000,-61.50000,-55.90000,-59.60000,69.75400,69.75400,-0.88000,-0.88000,0.01060,-52.05240,-52.05240,-52.05240,-53.71180,0.06950,-8.46060,-9.00830,-3.73270,-8.46060,10.39780,-0.0859,-0.1173
2023-06-30,104.60000,75.90000,28.70000,55.50000,-39.10000,94.60000,-65.90000,-65.90000,1.30000,-67.20000,-67.20000,-67.20000,-61.00000,-65.90000,69.53500,69.53500,-0.97000,-0.97000,,-63.00190,-63.00190,-63.00190,-64.24470,0.06480,-8.71600,-9.27540,-4.16590,-8.71600,11.06680,-0.7215,-0.7486
2023-03-31,95.20000,63.60000,31.60000,60.90000,-35.40000,96.30000,-64.70000,-64.70000,1.10000,-65.80000,-65.80000,-65.80000,-59.40000,-64.70000,69.33400,69.33400,-0.95000,-0.95000,,-67.96220,-67.96220,-67.96220,-69.11770,0.05800,-8.00680,-8.51230,-4.00930,-8.00680,11.83310,-0.66920,-0.70820
2022-12-31,88.40000,61.50000,26.90000,58.40000,-36.60000,95.00000,-68.10000,-68.10000,-4.40000,-63.70000,-63.70000,-63.70000,-61.90000,-68.10000,64.92200,64.92200,-0.91000,-0.91000,,-77.03620,-77.03620,-77.03620,-72.05880,0.05230,-7.34890,-7.81310,-3.76770,-7.34890,12.51250,-0.501,-0.5445
2022-09-30,74.00000,53.30000,20.70000,76.30000,-33.50000,109.80000,-89.10000,-89.10000,2.30000,-91.40000,-91.40000,-91.40000,-84.10000,-89.10000,66.87700,66.87700,-1.37000,-1.37000,,-120.40540,-120.40540,-120.40540,-123.51350,0.04320,-10.07940,-10.62540,-5.33600,-10.07940,13.11920,-0.7204,-0.7581
2022-06-30,50.00000,28.10000,21.90000,59.40000,-27.50000,86.90000,-65.00000,-65.00000,2.90000,-67.90000,-67.90000,-67.90000,-61.30000,-65.00000,61.81600,61.81600,-1.10000,-1.10000,,-130.00000,-130.00000,-130.00000,-135.80000,0.03420,-7.99670,-8.00240,-4.64780,-7.99670,13.72440,-0.6491,-0.6781
