Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,225.00000,1238.00000,-1013.00000,276.00000,1694.00000,-1393.00000,380.00000,380.00000,22.00000,358.00000,358.00000,334.00000,414.00000,405.00000,76.05000,76.80900,4.74000,4.74000,0.30480,0.43850,168.88890,180.00000,168.88890,148.44440,0.00070,3.78880,3.58650,0.10580,2.49320,136.02980,18.7966,18.7966
2024-09-30,2121.00000,1226.00000,895.00000,277.00000,-1172.00000,1474.00000,-579.00000,-579.00000,-113.00000,-466.00000,-466.00000,-480.00000,-568.00000,-554.00000,75.37400,75.37400,-6.37000,-6.37000,0.28740,0.40330,-27.29840,-26.11980,-27.29840,-22.63080,0.00610,-4.49200,-4.27250,-0.13480,-3.04460,146.69610,18.9487,18.9487
2024-06-30,1247.00000,1160.00000,87.00000,277.00000,534.00000,-231.00000,318.00000,318.00000,36.00000,282.00000,282.00000,264.00000,330.00000,344.00000,76.60000,77.07900,3.45000,3.43000,0.28380,0.39620,25.50120,27.58620,25.50120,21.17080,0.00370,2.89200,2.74210,0.08350,1.96390,135.85210,19.5945,19.5945
2024-03-31,-322.00000,1179.00000,-1501.00000,278.00000,2707.00000,-2404.00000,903.00000,903.00000,101.00000,802.00000,802.00000,784.00000,914.00000,928.00000,78.06000,78.86700,10.04000,9.94000,0.28370,0.39600,-280.43480,-288.19880,-280.43480,-243.47830,-0.00090,8.16450,7.74430,0.23570,5.54750,135.15880,18.08110,18.08110
2023-12-31,882.00000,1232.00000,-350.00000,278.00000,-1302.00000,1605.00000,-1955.00000,-1955.00000,-395.00000,-1560.00000,-1560.00000,-1570.00000,-1934.00000,-1930.00000,81.80000,83.57700,-19.14000,-18.69000,0.28030,0.38950,-221.65530,-218.82090,-221.65530,-178.00450,0.00270,-15.91670,-15.09580,-0.47240,-10.86430,131.37550,19.1499,19.1499
2023-09-30,2585.00000,1142.00000,1443.00000,290.00000,2377.00000,-2059.00000,3502.00000,3502.00000,712.00000,2790.00000,2790.00000,2762.00000,3520.00000,3530.00000,82.06200,82.82200,33.66000,33.35000,0.31180,0.45310,135.47390,136.55710,135.47390,106.84720,0.00820,28.70370,27.21160,0.88700,18.72610,128.07920,14.333,14.333
2023-06-30,380.00000,1156.00000,-776.00000,291.00000,2560.00000,-2241.00000,1465.00000,1465.00000,245.00000,1220.00000,1220.00000,1204.00000,1486.00000,1493.00000,82.59500,84.75500,14.58000,14.21000,0.32940,0.49120,385.52630,392.89470,385.52630,316.84210,0.00120,13.72330,12.94700,0.37310,8.68200,115.03950,12.3735,12.3735
2023-03-31,-764.00000,1129.00000,-1893.00000,293.00000,160.00000,161.00000,-2054.00000,-2054.00000,-558.00000,-1496.00000,-1496.00000,-1497.00000,-2032.00000,-2026.00000,82.64600,82.64600,-18.11000,-18.11000,0.32930,0.49100,268.84810,265.18320,268.84810,195.94240,-0.00240,-16.74500,-15.80230,-0.46540,-10.59870,116.81310,17.67780,17.67780
2022-12-31,-2029.00000,1118.00000,-3147.00000,297.00000,1926.00000,-1604.00000,-1543.00000,-1543.00000,-385.00000,-1158.00000,-1158.00000,-1150.00000,-1526.00000,-1518.00000,85.51400,88.69100,-13.11000,-12.61000,0.31770,0.46570,76.04730,74.81520,76.04730,56.67820,-0.00640,-12.34810,-12.34810,-0.36760,-8.42490,113.41150,25.2382,25.2382
2022-09-30,2962.00000,1053.00000,1909.00000,305.00000,950.00000,-616.00000,2525.00000,2525.00000,657.00000,1868.00000,1868.00000,1879.00000,2560.00000,2554.00000,85.09800,87.89600,22.08000,21.38000,0.31100,0.45130,85.24650,86.22550,85.24650,63.43690,0.00980,19.25180,19.25180,0.61660,13.26520,115.97160,10.4475,10.4475
2022-06-30,6694.00000,1026.00000,5668.00000,307.00000,-1198.00000,1529.00000,4139.00000,4139.00000,845.00000,3294.00000,3294.00000,3263.00000,4168.00000,4163.00000,85.96900,89.16900,37.96000,36.59000,0.20350,0.25550,61.83150,62.19000,61.83150,48.74520,0.02120,31.94960,31.94960,1.04170,25.44810,121.48710,13.7528,13.7528
2022-03-31,2221.00000,1163.00000,1058.00000,317.00000,1892.00000,-1555.00000,2613.00000,2613.00000,388.00000,2225.00000,2225.00000,2194.00000,2641.00000,2633.00000,86.35300,89.96000,25.41000,24.39000,0.20420,0.25660,117.64970,118.55020,117.64970,98.78430,0.00630,21.62500,21.62500,0.63100,17.20940,120.67230,9.25970,9.25970
2021-12-31,-954.00000,1153.00000,-2107.00000,755.00000,,-3152.00000,1045.00000,1045.00000,150.00000,895.00000,895.00000,819.00000,1072.00000,1063.00000,93.99400,94.46500,8.86000,8.68000,0.26790,0.36600,-109.53880,-111.42560,-109.53880,-85.84910,-0.00250,8.08200,8.08200,0.23830,5.91660,124.86890,22.7276,22.7276
2021-09-30,1575.00000,1313.00000,262.00000,4.00000,,10.00000,252.00000,252.00000,-16.00000,268.00000,268.00000,206.00000,271.00000,258.00000,94.46400,94.46400,2.18000,2.18000,0.08960,0.24600,16.00000,16.38100,16.00000,13.07940,0.00430,2.46870,2.46870,0.07360,2.24750,114.92310,14.6829,14.6829
2021-06-30,232.00000,1027.00000,-795.00000,-264.00000,,-257.00000,-538.00000,-538.00000,-54.00000,-484.00000,-484.00000,-540.00000,-516.00000,-531.00000,94.46400,94.46400,-5.72000,-5.72000,,,-231.89650,-228.87930,-231.89650,-232.75860,0.00060,-4.40420,-4.40420,-0.13200,-4.40420,116.33640,8.5112,8.5112
2021-03-31,5507.00000,1103.00000,4404.00000,812.00000,,818.00000,3586.00000,3586.00000,586.00000,3000.00000,3000.00000,2932.00000,3604.00000,3592.00000,94.46400,94.46400,31.03000,31.03000,,,65.11710,65.22610,65.11710,53.24130,,,,,,,14.22760,14.22760
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,-26.4187,-26.4187
2020-09-30,111.10000,1034.00000,-922.90000,-398.80000,,-391.00000,-531.90000,-531.90000,-157.00000,-374.90000,-374.90000,-396.60000,-506.80000,-524.10000,92.63900,92.63900,-4.28000,-4.28000,,,-478.75790,-471.73720,-478.75790,-356.97570,,,,,,,-5.1247,-5.1247
2020-06-30,-2332.90000,1986.70000,-4319.60000,-731.00000,,-699.60000,-3620.00000,-3620.00000,-457.00000,-3163.00000,-3163.00000,-3109.30000,-3588.60000,-3588.60000,44.43400,44.43400,-69.98000,-69.98000,,,155.17170,153.82570,155.17170,133.28050,,,,,,,31.5434,31.5434
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
