Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.17730,,-0.17730,3.39800,3.22070,3.22070,3.22070,3.22070,-0.17730,-0.17730,30.66670,30.66670,0.11000,0.11000,14.96960,-36.81390,-36.81390,1.37110,-36.81390,-1.14110,0.0247,0.0247
2024-06-30,,-0.11140,-0.11140,0.24080,0.12950,0.12950,0.12950,0.12950,-0.11140,-0.11140,9.33330,9.33330,0.01400,0.01400,11.65450,-1.51060,-1.51060,0.05590,-1.51060,-1.11800,-0.042,-0.042
