Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.67600,2.67600,48.26500,18.25700,-63.84600,9.59600,-54.25000,-3.44800,-50.80200,-50.80200,-50.80200,-61.67400,-63.84600,68.98900,68.98900,-0.74000,-0.74000,17.12960,,,100.00000,-2385.87500,-2385.87500,-2027.27900,-1898.43000,0.00270,0.04620,1950.06700,-6.11310,-6.11310,-5.09680,-6.11310,12.04120,-0.0301,-0.0344
2024-06-30,9.36100,9.36100,40.05900,15.94900,-46.64700,6.95000,-39.69700,0.11500,-39.81200,-39.81200,-39.81200,-45.00700,-46.64700,51.99200,51.99200,-0.77000,-0.77000,14.77150,0.00960,0.03540,100.00000,-498.31210,-498.31210,-424.06790,-425.29640,0.00890,0.20060,448.75980,-4.55610,-4.55610,-3.76520,-4.51220,12.67480,-0.5562,-0.5643
2024-03-31,19.53000,19.53000,34.86400,16.38200,-31.71600,4.80300,-26.91300,-0.35000,-26.56300,-26.56300,-26.56300,-30.05800,-31.71600,42.56000,42.56000,-0.62000,-0.62000,10.42140,0.07960,0.08650,100.00000,-162.39630,-162.39630,-137.80340,-136.01130,0.03570,0.50000,180.00920,-7.46050,-7.46050,-4.85490,-6.86650,8.35150,-1.66520,-1.66540
2023-12-31,5.33100,5.33100,44.69700,14.86900,-54.23500,5.45600,-48.77900,0.32000,-49.09900,-49.09900,-49.09900,-52.58100,-54.23500,35.59200,35.59200,-1.11000,-1.11000,8.08010,0.07640,0.08280,100.00000,-1017.35100,-1017.35100,-915.00650,-921.00930,0.00900,0.22180,405.83560,-13.23670,-13.23670,-8.24720,-12.22490,8.74180,-1.3663,-1.3759
2023-09-30,5.35200,5.35200,39.86800,16.28100,-50.79700,3.17100,-47.62600,2.27200,-49.89800,-49.89800,-49.89800,-49.10700,-50.79700,39.57600,39.57600,-1.26000,-1.26000,8.64740,0.06850,0.07360,100.00000,-949.12180,-949.12180,-889.87290,-932.32430,0.00840,0.30980,290.53250,-11.99410,-11.99410,-7.81260,-11.17220,9.81530,0.0708,0.0768
2023-06-30,11.39700,11.39700,39.72000,14.78800,-43.11100,-0.00900,-43.12000,-0.51700,-42.60300,-42.60300,-42.60300,-41.46600,-43.11100,30.19170,30.19170,-1.41000,-1.41000,5.65180,0.12180,0.13860,100.00000,-378.26620,-378.26620,-378.34520,-373.80890,0.02510,0.19660,457.80990,-19.35650,-19.35650,-9.38040,-16.99970,7.19600,1.139,1.1303
2023-03-31,4.89600,4.89600,32.21100,14.48800,-41.80300,2.12100,-39.68200,-0.61800,-39.06400,-39.06400,-39.06400,-40.24600,-41.80300,30.00200,30.00200,-1.30000,-1.30000,7.19410,0.11120,0.12510,100.00000,-853.81940,-853.81940,-810.49840,-797.87590,0.01140,0.06400,1406.47100,-16.06500,-16.06500,-9.11010,-14.27880,8.09690,-1.54690,-1.61690
2022-12-31,3.18500,3.18500,24.71900,10.67700,-32.21100,1.81300,-30.39800,-0.42000,-29.97800,-29.97800,-29.97800,-30.82500,-32.21100,29.66100,29.66100,-1.01000,-1.01000,6.92480,0.10070,0.11200,100.00000,-1011.33400,-1011.33400,-954.41100,-941.22450,0.00780,0.15020,599.25580,-11.07090,-11.07090,-7.30090,-9.95620,9.06420,-1.0228,-1.0719
2022-09-30,3.04000,3.04000,22.75200,10.04700,-29.75900,1.17400,-28.58500,-0.23800,-28.34700,-28.34700,-28.34700,-28.49500,-29.75900,29.67600,29.67600,-0.96000,-0.96000,9.17610,0.09460,0.10440,100.00000,-978.91440,-978.91440,-940.29610,-932.46710,0.00730,0.26740,336.55260,-9.79260,-9.79260,-6.79540,-8.86660,9.75380,-0.1963,-0.2964
2022-06-30,4.37800,4.37800,19.85400,11.82400,-27.30000,0.02500,-27.27500,-0.44700,-26.82800,-26.82800,-26.82800,-26.68300,-27.30000,29.64900,29.64900,-0.90000,-0.90000,9.88110,0.08830,0.09680,100.00000,-623.57240,-623.57240,-623.00140,-612.79130,0.00980,0.16670,540.04120,-8.61550,-8.61550,-6.02220,-7.85510,10.49660,-0.7924,-1.1226
2022-03-31,3.86000,3.86000,14.28400,16.95900,-27.38300,-0.60000,-27.98300,-0.41900,-27.56400,-27.56400,-27.56400,-26.96100,-27.38300,29.60510,29.60510,-0.93000,-0.93000,12.13550,0.08330,0.09090,100.00000,-709.40410,-709.40410,-724.94820,-714.09330,0.00840,0.28960,310.75650,-8.34620,-8.34620,-5.99790,-7.65100,11.14080,-0.89170,-1.05240
2021-12-31,3.77100,3.77100,12.95200,8.84200,-18.02300,-0.76200,-18.78500,-0.74800,-18.03700,-18.03700,-18.03700,-17.61600,-18.02300,25.06200,25.06200,-0.61000,-0.61000,12.65400,0.07940,0.08630,100.00000,-477.93700,-477.93710,-498.14390,-478.30820,0.00790,0.31660,284.24830,-5.20920,-5.20920,-3.75930,-4.79550,11.70610,-0.4162,-0.4588
2021-09-30,4.33300,4.33300,10.51300,8.11400,-14.29400,-0.79900,-15.09300,-0.41500,-14.67800,-14.67800,-14.67800,-13.95700,-14.29400,25.04000,25.04000,-0.59000,-0.59000,9.04240,0.14830,0.17420,100.00000,-329.88690,-329.88690,-348.32680,-338.74910,0.01540,0.56240,160.01840,-8.59250,-8.59250,-5.21730,-7.31790,6.67410,0.9101,0.9047
2021-06-30,1.78500,1.78500,11.72200,7.34000,-17.27700,-0.79600,-18.07300,-0.16000,-17.91300,-17.91300,-17.91300,-16.93700,-17.27700,24.05200,24.05200,-0.74000,-0.74000,9.35800,0.17260,0.20860,100.00000,-967.89920,-967.89920,-1012.49300,-1003.52900,0.00790,0.12520,718.89080,-12.61040,-12.61040,-7.92440,-10.43410,5.88810,-0.464,-0.4688
2021-03-31,1.80800,1.80800,9.69300,8.13900,-16.02400,-0.50700,-16.53100,-0.34000,-16.19100,-16.19100,-16.19100,-15.69900,-16.02400,22.10000,22.10000,-0.73000,-0.73000,10.35250,0.17190,0.20760,100.00000,-886.28320,-886.28320,-914.32530,-895.51990,0.00810,0.13360,673.50660,-11.39480,-11.39480,-7.23320,-9.43590,6.04210,-0.62020,-0.64840
2020-12-31,3.84800,3.84800,10.05400,10.85300,-17.05900,-0.42900,-17.48800,-0.05500,-17.43300,-17.43300,-17.43300,-16.72600,-17.05900,19.14600,19.14600,-0.84000,-0.84000,6.73280,0.13190,0.15190,100.00000,-443.32120,-443.32110,-454.46980,-453.04050,0.02390,0.26300,342.24790,-18.26210,-18.26210,-10.81770,-15.85320,4.52520,-0.8688,-0.8946
2020-09-30,3.84200,3.84200,7.36300,7.15400,-10.67500,0.07200,-10.60300,-0.46500,-10.13800,-10.13800,-10.13800,-10.34600,-10.67500,19.42680,19.42680,-0.52000,-0.52000,9.62970,0.11640,0.13170,100.00000,-277.85010,-277.85010,-275.97600,-263.87300,0.02260,0.43670,206.09580,-9.25410,-9.25410,-5.96150,-8.17730,5.23270,-0.5478,-0.5503
2020-06-30,1.57100,1.57100,7.95800,6.19600,-12.58300,0.37100,-12.21200,-0.09700,-12.11500,-12.11500,-12.11500,-12.27300,-12.58300,18.07800,18.07800,-0.67000,-0.67000,6.62800,,,100.00000,-800.95480,-800.95480,-777.33930,-771.16490,0.01320,0.13900,647.53030,-17.05710,-17.05710,-10.21480,-17.05710,3.92580,-0.6883,-0.7049
2020-03-31,1.12900,1.12900,7.77400,4.99800,-11.64300,0.21200,-11.43100,-0.10700,-11.32400,-11.32400,-11.32400,-11.33800,-11.64300,17.99800,17.99800,-0.63000,-0.63000,7.61810,,,100.00000,-1031.26700,-1031.26700,-1012.48900,-1003.01200,0.00870,0.11880,757.70600,-13.84130,-13.84130,-8.75910,-13.84130,4.54110,1.17580,1.15800
2019-12-31,5.28100,5.28100,6.64900,3.39600,-4.76400,0.22000,-4.54400,-0.13800,-4.40600,-4.40600,-4.40600,-4.49000,-4.76400,11.04500,11.04500,6.96000,6.96000,11.80660,,,100.00000,-90.21030,-90.21030,-86.04430,-83.43120,0.04790,0.73910,121.76670,-4.72760,-4.72760,-3.99840,-4.72760,5.17940,-1.267,-1.3428
2019-09-30,0.61400,0.61400,6.07800,4.78900,-10.25300,0.44000,-9.81300,-0.33100,-9.48200,-9.48200,-9.48200,-10.01000,-10.25300,17.90100,17.90100,-0.53000,-0.53000,12.47880,,,100.00000,-1669.87000,-1669.87000,-1598.20800,-1544.30000,0.00530,0.05710,1577.19800,-9.94700,-9.94700,-8.16990,-9.94700,5.32450,0.4315,0.4873
2019-06-30,1.52200,1.52200,6.53700,2.97300,-7.98800,-2.09400,-10.08200,0.13500,-10.21700,-10.21700,-10.21700,-7.75800,-7.98800,7.29800,7.29800,-1.40000,-1.40000,12.75980,,,100.00000,-524.83580,-524.83580,-662.41790,-671.28780,0.01210,0.15380,585.11820,-9.77150,-9.77150,-8.09290,-9.77150,5.84100,4.4808,4.8612
2019-03-31,6.38400,6.38400,6.27600,3.40200,-3.29400,-3.12900,-6.42300,0.08000,-6.50300,-6.50300,-6.50300,-3.08100,-3.29400,0.83400,0.83400,-7.80000,-7.80000,8.30490,,,100.00000,-51.59770,-51.59770,-100.61090,-101.86400,0.08210,0.76630,117.44830,8.67380,8.67380,-8.35930,8.67380,-89.03790,-6.23590,-6.73710
2018-12-31,1.05700,1.05700,6.49300,2.10600,-7.54200,0.90100,-6.64100,0.00000,-6.64100,-6.64100,-6.64100,-7.35800,-7.54200,0.43890,0.43890,-13.82000,-13.82000,8.59770,,,100.00000,-713.52880,-713.52880,-628.28750,-628.28750,0.01290,0.09340,963.26390,9.51080,9.51080,-8.13590,9.51080,-85.70470,-19.7165,-20.63
2018-09-30,1.61000,1.61000,5.64200,2.32500,-6.35700,-1.33500,-7.69200,,-7.69200,-7.69200,-7.69200,-6.18400,-6.35700,0.43380,0.43380,-17.73000,-17.73000,,,,100.00000,-394.84470,-394.84470,-477.76400,-477.76400,,,,,,,,,-9.7908,-10.0323
