Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.25640,-0.25640,0.17930,-0.07720,-0.07720,-0.07720,-0.06350,-0.25640,-0.25640,5.62500,5.62500,-0.01000,-0.01000,0.00760,-0.24480,1.87840,1.87840,-0.56150,1.87840,-0.73050,-0.0512,-0.0512
2024-06-30,-0.52950,-0.52950,0.17400,-0.35550,-0.35550,-0.35550,-0.35550,-0.52950,-0.52950,5.62500,5.62500,-0.05000,-0.05000,0.01130,-0.18460,9.22840,9.22840,-2.61800,9.22840,-0.68490,-0.0598,-0.0598
2024-03-31,-0.40100,-0.40100,0.30990,-0.09110,-0.09110,-0.09110,-0.09110,-0.40100,-0.40100,5.62500,5.62500,-0.01600,-0.01600,0.00810,-0.18060,2.74060,2.74060,-0.68020,2.74060,-0.59070,-0.02140,-0.02140
2023-12-31,0.19620,0.19620,0.28940,0.48560,0.48560,0.48560,0.73410,0.19620,0.19620,5.62500,5.62500,0.31030,0.31030,0.04680,-0.20530,-16.61890,-16.61890,1.98000,-16.61890,-0.51950,0.1897,0.1897
2023-09-30,-0.85010,-0.85010,1.19810,0.34800,0.34800,0.34800,0.09950,-0.85010,-0.85010,2.25000,2.25000,0.04000,0.04000,0.05800,-0.12830,-11.15940,-11.15940,1.43290,-11.15940,-0.55430,-0.3313,-0.3313
2023-06-30,-1.21260,-1.21260,2.68540,1.47280,1.47280,1.47280,1.47280,-1.21260,-1.21260,23.48900,23.48900,0.06000,0.06000,0.16060,,-64.93730,-64.93730,6.30980,-64.93730,-0.40320,0.0294,0.0294
2023-03-31,-1.21870,-1.21870,2.32890,1.11020,1.11020,1.11020,1.11020,-1.21870,-1.21870,5.62500,5.62500,0.19700,0.19700,0.34610,,-12.43210,-12.43210,0.47700,-12.43210,-1.58760,-0.05020,-0.05020
2022-12-31,-0.45240,-0.45240,2.05160,1.59920,1.59920,1.59920,1.91310,-0.45240,-0.45240,5.59400,5.59400,0.27500,0.27400,1.06930,,979.57540,979.64430,0.69300,979.57540,0.02900,-0.0127,-0.0127
2022-09-30,-0.21860,-0.21860,0.61090,0.39240,0.39240,0.39240,0.07850,-0.21860,-0.21860,5.62500,5.62500,0.01000,0.01000,1.59360,,-5.40470,-5.40470,0.17110,-5.40470,-1.29060,-0.0507,-0.0507
2022-06-30,-0.35580,-0.35580,0.30120,-0.05460,-0.05460,-0.05460,-0.05460,-0.35580,-0.35580,28.12500,28.12500,0.00000,0.00000,1.73780,,0.77560,0.77560,-0.02390,0.77560,-1.25180,-0.0034,-0.0034
2022-03-31,-0.42590,-0.42590,-0.00850,-0.43440,-0.43440,-0.43440,-0.43440,-0.42590,-0.42590,27.50000,27.50000,-0.01600,-0.01500,,,,,,,,-0.00720,-0.00720
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,,,,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,0,0
2021-06-30,,,,,,,,,,5.00000,5.00000,,0.00000,,,,,,,,0,0
