Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4654.00000,3130.00000,1524.00000,221.00000,426.00000,659.00000,865.00000,-505.00000,360.00000,75.00000,285.00000,,310.00000,,306.00000,1020.00000,865.00000,1251.00000,1254.00000,0.24000,0.24000,13.20820,0.77970,3.53990,32.74600,18.58620,18.58620,7.73530,6.57500,0.10570,0.52780,0.18960,474.71420,4.01970,10.89250,0.70400,0.88540,6.17460,0.6288,0.3952
2024-06-30,5488.00000,3702.00000,1786.00000,237.00000,461.00000,749.00000,1037.00000,-583.00000,454.00000,95.00000,359.00000,,438.00000,,433.00000,1188.00000,1037.00000,1256.00000,1260.00000,0.34000,0.34000,10.92600,0.77910,3.52640,32.54370,18.89580,18.89580,8.27260,7.88990,0.12480,0.62210,0.22540,399.22740,5.76160,15.89260,0.99640,1.27290,6.06330,0.293,0.119
2024-03-31,4818.00000,3195.00000,1623.00000,228.00000,411.00000,670.00000,953.00000,-551.00000,402.00000,77.00000,325.00000,,402.00000,,401.00000,1101.00000,953.00000,1260.00000,1274.00000,0.32000,0.31000,9.87550,0.77740,3.49210,33.68620,19.78000,19.78000,8.34370,8.32300,0.10540,0.51620,0.19660,457.75220,5.05340,13.02240,0.87910,1.12490,6.32610,-0.70170,-0.86030
2023-12-31,6792.00000,4705.00000,2087.00000,275.00000,478.00000,812.00000,1275.00000,-698.00000,577.00000,58.00000,519.00000,,647.00000,,646.00000,1423.00000,1275.00000,1332.00000,1350.00000,0.49000,0.49000,9.32280,0.77140,3.37520,30.72730,18.77210,18.77210,8.49530,9.51120,0.14680,0.84850,0.27430,328.11840,7.99160,20.28210,1.39840,1.82650,6.27140,1.1219,0.8288
2023-09-30,5986.00000,4059.00000,1927.00000,266.00000,462.00000,733.00000,1194.00000,-532.00000,662.00000,171.00000,491.00000,,540.00000,,537.00000,1340.00000,1194.00000,1332.00000,1351.00000,0.40000,0.40000,8.36310,0.75600,3.09770,32.19180,19.94650,19.94650,11.05910,8.97090,0.13910,0.62960,0.26410,340.81520,6.70220,16.21620,1.25460,1.63560,6.05570,0.1699,-0.0709
2023-06-30,6567.00000,4463.00000,2104.00000,269.00000,485.00000,756.00000,1348.00000,-510.00000,838.00000,192.00000,646.00000,,710.00000,,706.00000,1486.00000,1348.00000,1338.00000,1355.00000,0.53000,0.52000,7.46950,0.76650,3.28320,32.03900,20.52690,20.52690,12.76080,10.75070,0.15380,0.69610,0.29860,301.39790,9.37290,24.85990,1.66330,2.18830,5.67690,-0.1041,-0.2986
2023-03-31,5342.00000,3611.00000,1731.00000,231.00000,438.00000,670.00000,1061.00000,-435.00000,626.00000,173.00000,453.00000,,486.00000,,482.00000,1193.00000,1061.00000,1342.00000,1359.00000,0.36000,0.35000,7.27570,0.76090,3.18310,32.40360,19.86150,19.86150,11.71850,9.02280,0.13170,0.60350,0.26200,343.48930,6.56850,18.09380,1.19800,1.57020,5.52290,-0.51580,-0.66080
2022-12-31,6943.00000,4978.00000,1965.00000,257.00000,528.00000,797.00000,1168.00000,-443.00000,725.00000,168.00000,557.00000,,592.00000,,592.00000,1296.00000,1168.00000,1351.00000,1362.00000,0.45000,0.44000,7.52470,0.76820,3.31490,28.30190,16.82270,16.82270,10.44220,8.52660,0.17630,1.03470,0.35190,255.75400,8.54630,23.90950,1.50330,1.98070,5.15310,1.0629,0.8345
2022-09-30,5881.00000,4156.00000,1725.00000,213.00000,422.00000,646.00000,1079.00000,-349.00000,730.00000,192.00000,538.00000,,559.00000,,556.00000,1214.00000,1079.00000,1350.00000,1355.00000,0.41000,0.41000,6.70400,0.76700,3.29120,29.33180,18.34720,18.34720,12.41290,9.45420,0.16410,0.77510,0.33950,265.13350,8.79350,28.43340,1.55950,2.04920,4.71930,0.1976,0.0497
2022-06-30,6082.00000,4377.00000,1705.00000,212.00000,424.00000,642.00000,1063.00000,-310.00000,753.00000,228.00000,525.00000,,552.00000,,548.00000,1198.00000,1063.00000,1355.00000,1360.00000,0.40000,0.40000,4.60940,0.76730,3.29790,28.03350,17.47780,17.47780,12.38080,9.01020,0.16710,0.79110,0.34470,261.12130,8.58740,42.89040,1.51640,1.99800,4.74960,-0.2003,-0.357
2022-03-31,4645.00000,3286.00000,1359.00000,184.00000,378.00000,564.00000,795.00000,-321.00000,474.00000,159.00000,315.00000,,336.00000,,333.00000,932.00000,795.00000,1356.00000,1362.00000,0.24000,0.24000,6.92510,0.79180,3.80370,29.25730,17.11520,17.11520,10.20450,7.16900,0.12730,0.60550,0.27980,321.61680,5.99040,27.67710,0.92090,1.24700,4.17100,-0.65120,-0.78050
2021-12-31,5485.00000,3786.00000,1699.00000,178.00000,431.00000,621.00000,1078.00000,-736.00000,342.00000,-112.00000,454.00000,,502.00000,-62.00000,436.00000,1214.00000,1078.00000,1354.00000,1361.00000,0.32000,0.32000,5.90800,0.75430,3.06950,30.97540,19.65360,19.65360,6.23520,7.94900,0.11100,0.89800,0.35230,255.44580,7.37370,20.99540,1.01590,1.81190,5.02040,1.6091,1.3328
2021-09-30,4746.00000,3452.00000,1294.00000,157.00000,349.00000,521.00000,773.00000,-251.00000,522.00000,79.00000,443.00000,,460.00000,-131.00000,323.00000,906.00000,773.00000,1354.00000,1361.00000,0.24000,0.24000,5.41730,0.79180,3.80290,27.26510,16.28740,16.28740,10.99870,6.80570,0.09950,0.44910,0.25820,348.58410,,12.95410,0.96450,1.53360,4.59190,0.3461,0.0764
2021-06-30,5169.00000,3975.00000,1194.00000,175.00000,355.00000,537.00000,657.00000,-35.00000,622.00000,146.00000,476.00000,,476.00000,90.00000,556.00000,791.00000,657.00000,1354.00000,1361.00000,0.41000,0.41000,4.97060,0.80260,4.06500,23.09930,12.71040,12.71040,12.03330,10.75640,0.10500,0.53210,0.26850,335.18860,7.89390,14.24300,0.96700,1.55850,4.45270,0.7704,0.6749
2021-03-31,4096.00000,2896.00000,1200.00000,132.00000,319.00000,452.00000,748.00000,-295.00000,453.00000,116.00000,337.00000,,363.00000,62.00000,408.00000,882.00000,748.00000,1354.00000,1359.00000,0.30000,0.30000,5.11830,0.81330,4.35590,29.29690,18.26170,18.26170,11.05960,9.96090,0.08770,0.42090,0.22450,400.84720,6.64230,13.01080,0.77720,1.24020,4.03550,0.27370,0.24650
2020-12-31,8501.00000,6621.00000,1880.00000,289.00000,644.00000,963.00000,917.00000,-687.00000,230.00000,28.00000,202.00000,,187.00000,,164.00000,1239.00000,917.00000,1351.00000,1351.00000,0.13000,0.13000,5.44500,0.83930,5.22210,22.11510,10.78700,10.78700,2.70560,1.92920,0.17450,1.09950,0.44830,200.76110,3.74820,8.15530,0.38380,0.60240,3.68490,2.0393,1.4057
2020-09-30,6492.00000,5178.00000,1314.00000,226.00000,501.00000,734.00000,580.00000,-1549.00000,-969.00000,-15.00000,-954.00000,,-932.00000,,-942.00000,864.00000,580.00000,1345.71400,1345.71400,-0.70000,-0.70000,6.14160,0.83720,5.14070,20.24030,8.93410,8.93410,-14.92610,-14.51020,0.14400,0.76780,0.37060,242.86970,-19.42070,-43.49040,-2.06790,-3.16260,3.55130,1.6558,1.3747
2020-06-30,5578.00000,5114.00000,464.00000,203.00000,484.00000,694.00000,-230.00000,540.00000,310.00000,-40.00000,350.00000,,361.00000,,350.00000,53.00000,-230.00000,1346.15400,1346.15400,0.26000,0.26000,6.74110,0.80490,4.12640,8.31840,-4.12330,-4.12330,5.55750,6.27470,0.12390,0.74190,0.31240,288.11940,6.09280,11.00270,0.80190,1.18850,4.38850,0.7915,0.5717
2020-03-31,5461.00000,4414.00000,1047.00000,214.00000,526.00000,745.00000,302.00000,-378.00000,-76.00000,-23.00000,-53.00000,,-54.00000,,-65.00000,585.00000,302.00000,1350.00000,1350.00000,-0.05000,-0.05000,6.12780,0.80710,4.18320,19.17230,5.53010,5.53010,-1.39170,-1.19030,0.12440,0.59370,0.30460,295.49530,-0.96050,-2.32960,-0.12300,-0.18530,4.16390,-0.39410,-0.62670
2019-12-31,7695.00000,6100.00000,1595.00000,275.00000,582.00000,888.00000,707.00000,-600.00000,107.00000,-10.00000,117.00000,,120.00000,,114.00000,1009.00000,707.00000,1352.00000,1354.00000,0.08000,0.08000,5.80590,0.80240,4.06040,20.72780,9.18780,9.18780,1.39050,1.48150,0.16250,0.86130,0.38780,232.09360,1.96050,4.32120,0.25340,0.38740,4.53360,1.4551,0.9823
2019-09-30,6360.00000,5015.00000,1345.00000,238.00000,540.00000,820.00000,525.00000,-365.00000,160.00000,-486.00000,646.00000,,643.00000,,637.00000,824.00000,525.00000,1351.00000,1352.00000,0.47000,0.47000,6.02820,0.79600,3.90240,21.14780,8.25470,8.25470,2.51570,10.01570,0.13970,0.61790,0.33690,267.15560,10.49630,22.06590,1.41280,2.14100,4.53330,0.2644,-0.0731
2019-06-30,7567.00000,5751.00000,1816.00000,273.00000,555.00000,856.00000,960.00000,-406.00000,554.00000,135.00000,419.00000,,427.00000,,414.00000,1261.00000,960.00000,1353.00000,1356.00000,0.31000,0.31000,,,,23.99890,12.68670,12.68670,7.32130,5.47110,,,,,,,,,,0.1843,-0.1403
2019-03-31,6457.00000,4966.00000,1491.00000,244.00000,539.00000,791.00000,700.00000,-351.00000,349.00000,90.00000,259.00000,,264.00000,,257.00000,1013.00000,700.00000,1352.63200,1352.63200,0.19000,0.19000,5.32940,0.81540,4.41610,23.09120,10.84100,10.84100,5.40500,3.98020,0.14060,0.64040,0.33060,272.20220,,12.21090,0.57480,0.90420,,-0.55520,-0.82430
2018-12-31,8202.00000,6352.00000,1850.00000,318.00000,645.00000,1008.00000,842.00000,-476.00000,366.00000,105.00000,261.00000,,258.00000,,254.00000,1163.00000,842.00000,1357.00000,1361.00000,0.20000,0.19000,5.45000,0.82830,4.82340,22.55550,10.26580,10.26580,4.46230,3.09680,0.17790,0.94440,0.41920,214.69640,5.09080,14.12150,0.55970,0.87420,3.74340,1.0146,0.5224
2018-09-30,6686.00000,5162.00000,1524.00000,254.00000,523.00000,785.00000,739.00000,-388.00000,351.00000,131.00000,220.00000,,231.00000,,222.00000,1068.00000,739.00000,1387.50000,1387.50000,0.16000,0.16000,5.51080,0.83490,5.05560,22.79390,11.05300,11.05300,5.24980,3.32040,0.14790,0.70340,0.35480,253.65840,4.86620,15.11780,0.51090,0.80360,3.50640,0.3263,-0.0205
2018-06-30,8045.00000,6188.00000,1857.00000,262.00000,593.00000,860.00000,997.00000,-494.00000,503.00000,118.00000,385.00000,,408.00000,,396.00000,1331.00000,997.00000,1357.00000,1357.00000,0.29000,0.29000,5.05600,0.84170,5.31840,23.08270,12.39280,12.39280,6.25230,4.92230,0.17350,0.86780,0.41250,218.20390,8.91020,30.06630,0.88000,1.41020,3.40030,0.5898,0.3039
2018-03-31,6773.00000,5256.00000,1517.00000,227.00000,590.00000,820.00000,697.00000,-451.00000,246.00000,63.00000,183.00000,,202.00000,,196.00000,1050.00000,697.00000,1368.00000,1368.00000,0.14000,0.14000,5.05460,0.85760,6.02100,22.39780,10.29090,10.29090,3.63210,2.89380,0.14350,0.70830,0.33810,266.15980,4.93410,23.99050,0.42800,0.70280,3.01580,-0.05410,-0.32160
2017-12-31,8224.00000,6468.00000,1756.00000,295.00000,650.00000,961.00000,795.00000,-635.00000,160.00000,234.00000,-74.00000,,-52.00000,,-58.00000,1605.00000,795.00000,1364.00000,1367.00000,-0.04000,-0.04000,5.43610,0.85950,6.11890,21.35210,9.66680,9.66680,1.94550,-0.70530,0.17030,1.00250,0.40530,222.05620,-1.22870,-5.37190,-0.10770,-0.17260,3.10360,1.2394,0.6619
2017-09-30,6689.00000,5229.00000,1460.00000,243.00000,555.00000,851.00000,609.00000,-508.00000,101.00000,62.00000,39.00000,,60.00000,,56.00000,515.00000,609.00000,1400.00000,1400.00000,0.04000,0.04000,5.42070,0.85130,5.72670,21.82690,9.10450,9.10450,1.50990,0.83720,0.14070,0.71800,0.33890,265.58680,1.34650,4.95050,0.12620,0.20020,3.26760,0.3843,0.0819
2017-06-30,7003.00000,5393.00000,1610.00000,228.00000,571.00000,811.00000,799.00000,-480.00000,319.00000,110.00000,209.00000,,236.00000,,231.00000,1117.00000,799.00000,1364.00000,1364.00000,0.17000,0.17000,5.19680,0.85110,5.71550,22.99020,11.40940,11.40940,4.55520,3.29860,0.14820,0.77430,0.35740,251.82780,5.29500,19.37600,0.49930,0.78850,3.26730,0.4619,0.0597
2017-03-31,5785.00000,4482.00000,1303.00000,191.00000,539.00000,742.00000,561.00000,-482.00000,79.00000,51.00000,28.00000,,46.00000,,43.00000,877.00000,561.00000,1366.00000,1366.00000,0.03000,0.03000,5.51670,0.84350,5.38820,22.52380,9.69750,9.69750,1.36560,0.74330,0.12850,0.69270,0.30390,296.12100,1.01170,3.49540,0.10210,0.15840,3.33610,0.01020,-0.33020
2016-12-31,5372.00000,4238.00000,1134.00000,183.00000,546.00000,744.00000,390.00000,-860.00000,-470.00000,40.00000,-510.00000,,-513.00000,,-512.00000,-243.00000,390.00000,1347.36800,1347.36800,-0.38000,-0.38000,5.93020,0.85030,5.67870,21.10950,7.25990,7.25990,-8.74910,-9.53090,0.11790,0.75560,0.27860,323.09190,-11.52550,-42.22220,-1.12630,-1.72570,3.26890,-0.8682,-0.3091
2016-09-30,5749.00000,4524.00000,1225.00000,211.00000,546.00000,763.00000,462.00000,-404.00000,58.00000,32.00000,26.00000,,39.00000,,39.00000,776.00000,462.00000,1300.00000,1300.00000,0.03000,0.03000,6.10130,0.85510,5.89940,21.30810,8.03620,8.03620,1.00890,0.67840,0.12210,0.67960,0.29750,302.53090,0.87350,3.19150,0.08290,0.12660,3.27920,0.4821,0.1608
2016-06-30,6753.00000,5252.00000,1501.00000,225.00000,595.00000,830.00000,671.00000,-430.00000,241.00000,107.00000,134.00000,,129.00000,,126.00000,990.00000,671.00000,1260.00000,1260.00000,0.10000,0.10000,5.61470,0.85590,5.94130,22.22720,9.93630,9.93630,3.56880,1.86580,0.14250,0.78720,0.34010,264.65570,2.91330,10.95080,0.27220,0.41970,3.25230,0.386,0.1462
2016-03-31,5372.00000,4238.00000,1134.00000,183.00000,546.00000,744.00000,390.00000,-860.00000,-470.00000,40.00000,-510.00000,,-513.00000,,-512.00000,700.00000,390.00000,1364.00000,1364.00000,-0.38000,-0.38000,5.56950,0.85470,5.88150,21.10950,7.25990,7.25990,-8.74910,-9.53090,0.11570,0.63920,0.27600,326.05730,,-46.09160,-1.10480,-1.70160,,-0.00660,-0.17160
2015-12-31,7144.00000,5586.00000,1558.00000,218.00000,591.00000,809.00000,749.00000,-409.00000,324.00000,101.00000,223.00000,-9.00000,231.00000,0.00000,231.00000,1054.00000,749.00000,1362.00000,1362.00000,0.17000,0.17000,5.91200,0.84450,5.43070,24.69210,10.48430,10.48430,4.53530,3.23350,0.15310,0.98170,0.36480,246.68110,4.76980,14.56490,0.49490,0.74170,3.55570,1.2957,0.8497
2015-09-30,5850.00000,4599.00000,1251.00000,207.00000,565.00000,790.00000,461.00000,-544.00000,-83.00000,56.00000,-139.00000,,-128.00000,,-124.00000,758.00000,461.00000,1377.78000,1377.78000,-0.09000,-0.09000,2.70470,0.79060,3.77550,21.38460,7.88030,7.88030,-1.41880,-2.11970,0.11950,0.65940,0.29110,309.21540,-1.84440,-10.72930,-0.26150,-0.38620,,0.4464,0.1139
2015-06-30,6958.00000,5456.00000,1502.00000,225.00000,626.00000,873.00000,629.00000,-394.00000,235.00000,126.00000,109.00000,,122.00000,,124.00000,897.00000,629.00000,1377.77800,1377.77800,0.09000,0.09000,3.99020,0.84920,5.63010,21.58670,9.04000,9.04000,3.37740,1.78210,0.14220,0.75570,0.33200,271.09950,2.51240,7.70690,0.24930,0.37890,,0.7572,0.4483
