Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,78.51200,17.95000,60.56200,5.66100,-1.17900,21.61400,38.94800,-30.65700,8.29100,0.16700,8.12400,8.12400,8.14900,38.94800,38.94800,0.43550,0.50140,1.30750,77.13730,49.60770,49.60770,10.56020,10.37930,0.03790,19.74700,5.83730,15.41800,0.99850,1.00850,0.39180,0.49780,15.14960
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,83.63300,17.59400,66.03900,6.05900,-1.43900,21.94200,44.09700,-7.15200,36.94500,0.13300,36.81200,36.81200,36.57400,59.42200,44.09700,0.44630,0.51060,1.26840,78.96290,52.72680,52.72680,44.17510,43.73150,0.04090,56.93850,5.45800,16.48950,4.47830,4.52820,1.79930,2.19170,15.30670
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,88.38300,18.55600,69.82700,5.93600,-1.13700,21.49100,48.33600,-9.11900,39.21700,0.04700,39.17000,39.17000,38.83000,63.66500,48.33600,0.65060,0.52630,1.29730,79.00500,54.68930,54.68930,44.37170,43.93380,0.04290,4.69530,8.43110,10.67480,4.86130,4.91400,1.90170,2.30300,15.00820
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,94.54400,18.58800,75.95600,6.64300,-1.49900,23.93400,52.02200,18.16600,70.18800,0.05600,70.13200,70.13200,68.84500,69.35300,52.02200,,,,80.33930,55.02410,55.02410,74.23850,72.81800,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,58.39700,11.40900,46.98800,3.69600,-0.85500,10.56400,36.42400,0.48900,36.91300,0.14100,36.77200,36.77200,35.68100,36.42400,36.42400,,,,80.46300,62.37310,62.37310,63.21040,61.10070,,,,,,,,,
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
