Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2016-03-31,19.38600,12.34100,7.04500,9.33100,9.33100,-2.28600,-1.85900,-4.14500,0.92200,-5.06700,-5.06700,,-4.98700,-2.28600,-2.28600,4.39740,4.39740,-1.10000,-1.10000,0.98870,0.29180,1.23730,36.34070,-11.79200,-11.79200,-21.38140,-25.72480,0.03590,22.11650,0.60290,149.27580,-2.33560,-2.41200,-0.93940,-1.65400,0.00000,
2015-12-31,20.86100,12.33000,8.53100,14.47000,14.47000,-5.93900,-5.26000,-13.59000,12.64000,-26.23000,-25.74500,0.00000,-25.74500,-5.93900,-5.93900,4.46030,4.46030,-5.80000,-5.80000,0.99610,0.29680,1.06140,29.33700,-28.46940,-28.46940,-65.14550,-123.41210,0.03750,20.55000,0.61920,145.34780,-11.63200,-11.99450,-4.63070,-8.18000,-6.0601,-7.6766
2015-09-30,24.27800,14.53000,9.74800,9.81000,9.81000,-0.06200,1.08000,0.99000,-2.54000,3.53000,3.50300,0.00000,3.50300,-0.06200,-0.06200,4.49330,4.50760,0.80000,0.80000,1.00270,0.17310,0.60930,40.07740,-0.25540,-0.25540,4.07780,14.42870,0.04770,24.62710,0.59010,152.50840,1.19470,1.22590,0.68880,0.98780,0,0
2015-06-30,28.15300,15.37000,12.78300,9.60000,9.60000,3.18300,5.10000,8.27000,2.39000,5.88000,5.89300,0.00000,5.89300,3.18300,3.18300,4.49450,4.51380,1.30000,1.30000,1.60330,0.15710,0.56040,45.39480,11.30610,11.30610,29.37520,20.93210,0.05580,20.22370,0.60510,148.74790,1.95540,2.01240,1.16850,1.64830,0,0
2015-03-31,24.30900,12.31000,11.99900,7.63000,7.63000,4.36900,-0.84000,3.52000,-1.07000,4.59000,4.60200,0.00000,4.60200,4.36900,4.36900,4.49450,4.51150,1.10000,1.10000,1.98670,0.14220,0.45940,49.32330,17.97280,17.97280,14.48020,18.93130,0.05200,21.59650,0.49600,181.45130,1.55680,1.60650,0.98420,1.33540,0.00000,
2014-12-31,25.82800,-39.69000,65.51800,3.81000,3.81000,61.70800,0.14000,3.96000,5.38000,-1.42000,1.00100,3.53500,4.53600,61.70800,61.70800,4.49450,4.50640,1.00000,1.00000,1.90130,0.15710,0.50210,29.50290,238.91900,238.91900,15.33220,17.56230,0.05420,-82.68750,0.60470,148.82680,0.34500,0.35720,0.20990,0.29080,17.5373,16.6896
2014-09-30,43.28600,28.85000,14.43600,5.23000,5.23000,9.20600,-0.56000,8.64000,2.60000,6.04000,5.62100,0.00000,5.62100,9.20600,9.20600,4.49450,4.80060,1.30000,1.20000,1.07680,0.15580,0.52840,33.31330,21.26780,21.26780,19.96030,12.98570,0.06760,8.58630,0.87090,103.33600,1.64760,2.02320,0.87840,1.39090,0,0
2014-06-30,45.99000,28.24000,17.75000,7.33000,7.33000,10.42000,-1.12000,9.28000,2.98000,6.30000,5.64000,0.00000,5.64000,10.42000,10.42000,4.49450,4.50840,1.30000,1.30000,1.13090,0.12020,0.45290,38.57360,22.65710,22.65710,20.17830,12.26350,0.07220,11.29600,0.87600,102.73970,1.52170,1.83560,0.88590,1.33870,0,0
2014-03-31,40.64000,26.85000,13.79000,7.59000,7.59000,6.20000,0.25000,6.43000,2.07000,4.36000,4.28700,0.00000,4.28700,6.20000,6.20000,4.49450,4.65230,1.00000,1.00000,1.03520,0.13920,0.48950,33.90750,15.25590,15.25590,15.82190,10.54870,0.06380,10.48830,0.80960,111.17130,1.18000,1.43510,0.67250,1.01570,0.00000,
