Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,38.41600,38.41600,14.40700,6.97200,22.83500,5.62800,28.46300,0.90100,27.56200,27.56200,27.91300,32.69000,22.83500,125.70580,125.90550,0.22000,0.22000,0.70080,2.34230,59.44140,59.44140,74.09150,72.65980,0.00710,1.80060,1.80060,0.51240,0.53870,11.98050,1.3423,1.4036
2024-06-30,34.31700,34.31700,13.72100,4.86600,17.04900,13.98700,31.03600,-1.08900,32.12500,32.12500,32.34900,26.67600,17.04900,125.73100,125.84000,0.26000,0.26000,0.68850,2.21010,49.68090,49.68090,90.43910,94.26520,0.00680,2.10170,2.10170,0.63640,0.65470,11.95390,0.3612,0.7302
2024-03-31,37.14100,37.14100,20.78900,4.33000,12.38000,5.97500,18.35500,1.92500,16.43000,16.43000,16.60900,29.05000,12.38000,125.31580,125.52040,0.13000,0.13000,0.70640,2.40640,33.33240,33.33240,49.41980,44.71880,0.00700,1.07820,1.07820,0.30870,0.31650,11.91580,-0.16230,-0.17330
2023-12-31,39.82200,39.82200,13.00700,4.09600,23.14100,-4.78700,18.35400,-0.66900,19.02300,19.02300,19.23500,31.65900,23.14100,124.66790,124.88240,0.15000,0.15000,0.71180,2.46960,58.11110,58.11110,46.09010,48.30240,0.00720,1.24150,1.24160,0.34510,0.35780,12.07290,0.4683,0.4545
2023-09-30,38.83100,38.83100,14.28500,3.05700,20.45900,13.88300,34.34200,3.14700,31.19500,31.19500,31.31900,30.06200,20.45900,124.73030,124.96850,0.25000,0.25000,0.71150,2.46650,52.68730,52.68730,88.43960,80.65460,0.00710,2.02810,2.02810,0.56690,0.58510,12.11980,0.6247,0.7227
2023-06-30,40.48700,40.48700,14.24200,4.25300,23.02700,5.11100,28.13800,0.04600,28.09200,28.09200,28.16300,30.88300,23.02700,124.73100,124.82800,0.23000,0.23000,0.72100,2.58450,56.87510,56.87510,69.49890,69.56060,0.00720,1.83430,1.83430,0.49910,0.51170,12.06550,-0.5405,-0.5475
2023-03-31,43.04700,43.04700,22.08400,3.35800,16.79200,7.11900,23.91100,1.72000,22.19100,22.19100,22.40800,28.93500,16.79200,124.49310,124.65610,0.18000,0.18000,0.72760,2.67080,39.00850,39.00850,55.54630,52.05470,0.00730,1.45180,1.45180,0.37870,0.39550,12.04070,0.89370,0.88870
2022-12-31,37.29700,37.29700,16.67100,8.16100,20.87800,54.38700,75.26500,1.01100,74.25400,74.25400,59.55400,29.17600,20.87800,124.30140,125.82370,0.48000,0.47000,0.73460,2.76850,55.97770,55.97770,201.79910,159.67500,0.00630,4.84190,4.84190,1.24770,1.28480,12.12280,0.4309,2.8453
2022-09-30,28.88800,28.88800,13.80600,10.96600,18.18400,13.11400,31.29800,2.61300,28.68500,28.68500,28.58300,27.27700,18.18400,124.27900,125.17200,0.23000,0.23000,0.73810,2.81850,62.94660,62.94660,108.34260,98.94420,0.00490,1.90770,1.90770,0.48870,0.49960,11.88030,0.3059,-0.9712
2022-06-30,22.56300,22.56300,15.49500,15.13000,14.64000,31.16600,45.80600,2.59400,43.21200,43.21200,35.04800,23.35300,14.64000,124.59320,125.26570,0.28000,0.28000,0.73590,2.78600,64.88500,64.88500,203.01380,155.33400,0.00390,2.86230,2.86230,0.73960,0.75600,11.90300,0.3507,0.9987
2022-03-31,9.17000,9.17000,29.86400,10.98000,-19.05600,36.90100,17.84500,-1.30900,19.15400,19.15400,19.03200,10.58200,-19.05600,124.30590,125.47800,0.15000,0.15000,0.74210,2.87800,-207.80810,-207.80810,194.60200,207.54630,0.00150,1.26920,1.26920,0.32060,0.32730,11.86230,-0.23940,0.38800
2021-12-31,10.58900,10.58900,10.91200,7.60500,-2.19900,31.50700,29.30800,2.23600,27.07200,27.07200,27.10900,10.27600,-2.19900,123.76380,124.56300,0.22850,0.21850,0.73600,2.78780,-20.76690,-20.76690,276.77780,256.01100,0.00180,1.78860,1.78860,0.46270,0.47220,12.06520,0.4324,-0.9826
2021-09-30,-3.10400,-3.10400,9.42500,24.54900,2.70000,16.02000,18.72000,-0.21200,18.93200,18.93200,18.92700,17.55000,2.70000,123.72990,124.49970,0.15000,0.15000,0.71380,2.49460,-86.98460,-86.98460,-603.09280,-609.76160,-0.00060,1.25410,1.25410,0.34960,0.35890,12.03180,0.286,1.1321
2021-06-30,-7.64900,-7.64900,8.47700,16.33200,-9.25800,19.39700,10.13900,-0.31800,10.45700,10.45700,10.29400,5.75800,-9.25800,124.04900,124.48000,0.08000,0.08000,0.72340,2.61580,121.03540,121.03540,-132.55330,-134.57970,-0.00140,0.68800,0.68800,0.18620,0.19030,12.03930,0.2723,1.8286
2021-03-31,-6.68600,-6.68600,9.53300,17.95800,-7.79700,7.45100,-0.34600,-0.77800,0.43200,0.43200,0.19200,7.78300,-7.79700,123.97500,124.32470,0.00150,0.00150,0.71110,2.46130,116.61680,116.61680,5.17500,-2.87170,-0.00120,0.02820,0.02820,0.00800,0.00820,12.11660,-0.35060,-0.00890
2020-12-31,-0.70700,-0.70700,26.22100,10.80800,-25.55700,9.25900,-16.29800,-4.71200,-11.58600,-11.58600,-11.71600,6.24700,-25.55700,112.40960,112.40960,-0.09000,-0.08000,0.73110,2.71880,3614.85700,3614.85800,2305.23700,1657.14600,-0.00010,-0.74820,-0.74820,-0.19700,-0.20120,12.25220,0.2549,0.278
2020-09-30,-1.77700,-1.77700,7.85800,24.03800,4.58600,16.81000,21.39600,0.01400,21.38200,21.38200,17.18800,20.90100,4.58600,117.48180,118.79190,0.15000,0.14000,0.75600,3.09800,-258.07550,-258.07550,-1204.05200,-967.24820,-0.00030,1.40520,1.40510,0.33620,0.34290,12.65350,0.3341,0.7574
2020-06-30,-6.32900,-6.32900,7.00100,12.24400,-10.90200,5.15900,-5.74300,-0.55000,-5.19300,-5.19300,-4.18900,0.97700,-10.90200,106.81000,106.81000,-0.04000,-0.04000,0.76660,3.28400,172.25470,172.25470,90.74100,66.18740,-0.00100,-0.34430,-0.34430,-0.07860,-0.08040,12.52850,0.7933,0.7859
2020-03-31,21.18800,21.18800,17.02100,-13.99500,-19.83700,1.23500,-18.60200,-4.54100,-14.06100,-14.06100,-15.72800,2.30400,-19.83700,106.33000,106.33000,-0.15000,-0.15000,0.79100,3.78530,-93.62370,-93.62370,-87.79500,-74.23070,0.00290,-0.93690,-0.93690,-0.19180,-0.19580,12.45530,-0.38650,-0.34900
2019-12-31,26.85700,26.85700,14.96800,11.84700,14.41700,33.20200,47.61900,2.16900,45.45000,45.45000,40.65000,25.62300,14.41700,105.45580,106.39980,0.38000,0.38000,0.74780,2.96520,53.68060,53.68060,177.30570,151.35720,0.00400,2.77310,2.77310,0.68150,0.69940,13.69590,1.1192,-14.2417
2019-09-30,30.85400,30.85400,14.31900,12.82100,20.32600,11.73400,32.06000,1.11200,30.94800,30.94800,27.57600,30.73200,20.32600,106.00420,106.60370,0.26000,0.26000,0.74780,2.96520,65.87800,65.87800,103.90870,89.37580,0.00470,1.88790,1.88790,0.46750,0.47610,13.69100,-0.649,-0.7286
2019-06-30,32.95300,32.95300,14.90700,15.43600,23.54700,14.74500,38.29200,2.21900,36.07300,36.07300,32.24400,34.41400,23.54700,105.51100,105.89200,0.31000,0.30000,0.73680,2.79910,71.45630,71.45630,116.20190,97.84850,0.00510,2.18880,2.18880,0.56300,0.57610,13.76720,1.4615,1.4935
2019-03-31,35.21800,35.21800,23.57400,17.74400,19.16100,2.51500,21.67600,-2.85400,24.53000,24.53000,22.17500,37.38600,19.16100,104.26000,105.00600,0.21000,0.21000,0.74150,2.86850,54.40680,54.40680,61.54810,62.96500,0.00540,1.49190,1.49190,0.37590,0.38560,13.72950,-0.20980,-0.22530
2018-12-31,41.30900,41.30900,13.36300,15.49100,33.37400,-5.56300,27.81100,0.96400,26.84700,26.84700,24.10400,41.92800,33.37400,97.22600,97.65200,0.23000,0.24000,0.73040,2.70900,80.79110,80.79110,67.32440,58.35050,0.00660,1.63340,1.63340,0.42800,0.44040,14.04120,2.5165,2.4747
2018-09-30,38.91000,38.91000,15.79200,2.08100,14.78200,69.88600,84.66800,1.20400,83.46400,83.46400,66.63000,25.60900,14.78200,96.93600,110.65000,0.69000,0.67000,0.75380,3.06220,37.99020,37.99020,217.59960,171.24130,0.00610,5.37210,5.37210,1.29890,1.32250,13.96410,-2.2507,-1.6628
2018-06-30,36.81300,36.81300,13.86600,12.43800,24.72900,19.41100,44.14000,0.57300,43.56700,43.56700,38.40600,36.46400,24.72900,96.81000,97.16600,0.40000,0.40000,0.75660,3.10910,67.17460,67.17460,119.90330,104.32730,0.00580,2.88050,2.88050,0.68190,0.70100,13.59460,2.4694,1.5498
2018-03-31,33.49300,33.49300,17.09600,10.77200,16.34600,55.35400,71.70000,3.90200,67.79800,67.79800,50.87500,27.46800,16.34600,95.18700,95.38900,0.53000,0.53000,0.75470,3.07630,48.80420,48.80420,214.07460,151.89740,0.00540,4.51000,4.51000,1.08800,1.10640,13.50990,-0.68270,-0.03760
2017-12-31,31.79500,31.79500,26.67700,18.25200,12.36100,36.06600,48.42700,3.05700,45.37000,45.37000,36.10600,31.32500,12.36100,81.90300,109.70500,0.42000,0.41000,0.74640,2.94310,38.87720,38.87720,152.31010,113.55870,0.00530,3.04880,3.04880,0.75300,0.77320,13.36960,3.8106,4.3733
2017-09-30,29.34800,29.34800,13.25500,8.78300,14.27000,14.97500,29.24500,-0.57600,29.82100,29.82100,23.58700,25.04700,14.27000,85.13600,85.47600,0.28000,0.28000,0.74120,2.86350,48.62340,48.62340,99.64900,80.37000,0.00460,2.03480,2.03480,0.46510,0.52670,13.23290,-3.4897,-4.4292
2017-06-30,30.30900,30.30900,14.48900,8.30200,13.99700,23.66700,37.66400,6.60600,31.05800,31.05800,22.11300,26.61300,13.99700,80.10800,110.05500,0.28000,0.26000,0.73150,2.72460,46.18100,46.18100,124.26670,72.95850,0.00490,2.11610,2.11610,0.49950,0.56820,13.25240,2.0125,0.4319
2017-03-31,26.09700,26.09700,16.04200,6.69700,8.16000,10.09500,18.25500,-1.37500,19.63000,19.63000,13.47000,25.20600,8.16000,72.87200,109.33500,0.18000,0.18000,0.74720,2.95530,31.26800,31.26800,69.95060,51.61510,0.00440,1.32520,1.32520,0.33040,0.33500,13.37750,-2.22420,-2.20880
2016-12-31,28.51700,28.51700,20.92700,6.97800,3.91000,68.48400,72.39400,0.77300,71.62100,71.62100,41.85600,-31.34400,3.91000,61.99800,107.63900,0.68000,0.66000,0.72310,2.61150,13.71110,13.71110,253.86260,146.77560,0.00510,4.74450,4.74450,1.28390,1.31370,13.77480,5.3539,1.3842
2016-09-30,29.59900,29.59900,17.29600,6.68300,9.25300,49.06600,58.31900,8.72100,49.59800,49.59800,27.60800,42.79400,9.25300,62.14800,63.34800,0.44000,0.44000,0.75410,3.06590,31.26120,31.26120,197.03030,93.27340,0.00480,3.30500,3.30500,0.79790,0.81290,13.69400,-2.2526,1.3146
