Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,38.38200,38.38200,1.52100,-8.85600,21.97900,21.97900,0.56800,21.41100,16.47700,16.47700,28.53000,28.00500,33.38000,33.38000,0.49000,0.49000,0.14010,0.71560,100.00000,57.26380,72.96390,57.26380,42.92900,0.03310,2.68090,33.57120,2.50120,2.50120,1.41910,2.50120,19.42390,0.2251,0.2251
2024-06-30,35.66400,35.66400,1.90300,-10.61500,17.08400,17.08400,0.13400,16.95000,24.09900,24.09900,23.65900,23.14600,32.24600,32.24600,0.75000,0.75000,0.13530,0.71890,100.00000,47.90270,64.90020,47.90270,67.57230,0.03110,2.05970,43.69530,3.72610,3.72610,2.10300,3.72610,19.50380,0.0324,0.0324
2024-03-31,34.65100,34.65100,1.70300,-9.32900,17.60700,17.60700,-0.02000,17.62700,20.12300,20.12300,24.16500,23.61900,30.77700,30.77700,0.65000,0.65000,0.09220,0.74760,100.00000,50.81240,68.16250,50.81240,58.07340,0.03170,2.20590,40.79880,3.30790,3.30790,1.84150,3.30790,19.35790,-2.52860,-2.52860
2023-12-31,36.31100,36.31100,1.80100,-10.61900,17.90300,17.90300,0.96400,16.93900,26.43000,26.43000,24.46500,23.89100,26.36500,26.36500,0.96000,0.96000,0.26520,0.79140,100.00000,49.30460,65.79550,49.30460,72.78790,0.03330,3.03480,29.65630,4.48370,4.48370,2.42280,4.48370,19.36580,0.1152,0.1152
2023-09-30,34.18500,34.18500,1.43700,-10.09500,16.66800,16.66800,0.00800,16.66000,24.29900,24.29900,23.23400,22.65300,26.61900,26.61900,0.91000,0.91000,0.20220,0.81100,100.00000,48.75820,66.26590,48.75820,71.08090,0.03340,2.49000,36.14480,4.42910,4.42910,2.37590,4.42910,19.28180,1.0867,1.0867
2023-06-30,30.55800,30.55800,1.52300,-6.63900,16.80500,16.80500,0.02100,16.78400,10.91500,10.91500,22.92800,22.39600,25.02800,25.02800,0.44000,0.44000,0.10760,0.97060,100.00000,54.99380,73.29010,54.99380,35.71900,0.03110,2.21230,40.68230,2.25820,2.25820,1.11100,2.25820,19.13040,-0.6579,-0.6579
2023-03-31,29.05600,29.05600,1.52900,-7.58200,14.76000,14.76000,0.03700,14.72300,15.48900,15.48900,20.46400,19.94500,24.80400,24.80400,0.62000,0.62000,0.11130,0.90190,100.00000,50.79850,68.64330,50.79850,53.30740,0.03060,2.12010,42.45080,3.19590,3.19590,1.63210,3.19590,19.39520,-1.66130,-1.66130
2022-12-31,27.47400,27.47400,1.68200,-6.96600,13.89800,13.89800,1.41400,12.48400,4.72300,4.72300,19.34500,18.82600,24.46800,24.46800,0.18000,0.18000,0.16600,0.85380,100.00000,50.58600,68.52300,50.58600,17.19080,0.02940,2.32320,38.73990,0.98330,0.98330,0.50460,0.98330,19.42510,0.4889,0.4889
2022-09-30,24.99200,24.99200,1.12200,-6.47600,12.70800,12.70800,-0.01100,12.71900,11.42800,11.42800,17.92400,17.39400,24.43740,24.43740,0.47000,0.47000,0.12140,0.82250,100.00000,50.84830,69.59830,50.84830,45.72660,0.02750,2.14650,41.92820,2.40900,2.40900,1.25620,2.40900,19.41230,-0.9922,-0.9922
2022-06-30,21.15300,21.15300,1.33100,-4.12000,11.06300,11.06300,0.05500,11.00800,7.98100,7.98100,16.23600,15.70200,24.43700,24.43700,0.33000,0.33000,0.23190,0.79940,100.00000,52.29990,74.23060,52.29990,37.72990,0.02330,0.84600,106.38490,1.64910,1.64910,0.87790,1.64910,19.80500,-0.1006,-0.1006
2022-03-31,20.51800,20.51800,1.22400,-4.59000,10.29200,10.29200,-0.04600,10.33800,11.69000,11.69000,15.22800,14.70400,24.43700,24.43700,0.48000,0.48000,0.22960,0.79560,100.00000,50.16080,71.66390,50.16080,56.97440,0.02260,1.98860,45.25880,2.40290,2.40290,1.28600,2.40290,19.90840,-3.70940,-3.70940
