Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9553.00000,6281.00000,3272.00000,192.00000,139.00000,734.00000,-403.00000,3675.00000,-948.00000,2727.00000,336.00000,2391.00000,,2391.00000,,2412.00000,4423.00000,3675.00000,4269.49500,4274.50800,0.56000,0.56000,0.90950,0.28190,0.41780,34.25100,38.46960,38.46960,28.54600,25.24860,0.10750,1.26990,2.57150,34.99950,6.02090,8.48750,2.69000,4.32340,9.30230,0.3914,0.0635
2024-06-30,9920.00000,6349.00000,3571.00000,189.00000,137.00000,630.00000,-304.00000,3875.00000,-1140.00000,2735.00000,-34.00000,2769.00000,,2769.00000,,2769.00000,4668.00000,3875.00000,4274.76900,4279.78200,0.65000,0.65000,1.07900,0.30050,0.45800,35.99800,39.06250,39.06250,27.57060,27.91330,0.11450,1.32460,3.31660,27.13610,7.21340,9.82190,3.19690,5.04550,8.98800,0.2849,-0.0261
2024-03-31,8459.00000,5367.00000,3092.00000,156.00000,140.00000,-348.00000,644.00000,2448.00000,-313.00000,2135.00000,448.00000,1687.00000,,1687.00000,,1679.00000,3162.00000,2448.00000,4285.86500,4289.63100,0.39000,0.39000,1.11810,0.28850,0.44330,36.55280,28.93960,28.93960,25.23940,19.84870,0.09230,1.03310,2.75270,32.69540,4.32420,6.07820,1.84020,3.07680,9.11450,0.83360,0.50840
2023-12-31,13054.00000,6891.00000,6163.00000,231.00000,146.00000,-609.00000,986.00000,5177.00000,-2026.00000,3151.00000,709.00000,2442.00000,,2442.00000,,2418.00000,6032.00000,5177.00000,4366.13000,4369.96100,0.56000,0.56000,1.27600,0.27800,0.40990,47.21160,39.65830,39.65830,24.13820,18.52310,0.13860,1.47120,2.56110,35.14100,5.95890,8.32030,2.59270,4.30260,9.53080,1.073,0.5987
2023-09-30,10623.00000,6309.00000,4314.00000,188.00000,150.00000,-701.00000,1039.00000,3275.00000,-291.00000,2984.00000,127.00000,2857.00000,,2857.00000,,2836.00000,4055.00000,3275.00000,4314.55600,4318.38800,0.66000,0.66000,1.07540,0.28140,0.41640,40.61000,30.82930,30.82930,28.09000,26.69680,0.11940,1.23370,2.25880,39.84470,7.23530,9.88440,3.21050,5.19910,9.17690,0.6875,0.3384
2023-06-30,9673.00000,5940.00000,3733.00000,165.00000,139.00000,-557.00000,861.00000,2872.00000,-152.00000,2720.00000,1792.00000,928.00000,,928.00000,,892.00000,3651.00000,2872.00000,4396.77800,4400.60900,0.20000,0.20000,1.14690,0.27850,0.40870,38.59200,29.69090,29.69090,28.11950,9.22150,0.10570,1.14380,2.16450,41.58070,2.30320,3.16830,1.01400,1.66180,9.27640,0.4421,0.1644
2023-03-31,8434.00000,4949.00000,3485.00000,139.00000,118.00000,-347.00000,604.00000,2881.00000,-585.00000,2296.00000,418.00000,1878.00000,,1878.00000,,1837.00000,3537.00000,2881.00000,4453.11000,4456.94100,0.41000,0.41000,1.11800,0.28220,0.40710,41.32090,34.15940,34.15940,27.22310,21.78090,0.09630,0.99140,2.09180,43.02590,4.83010,6.60500,2.14510,3.46700,8.56600,0.81000,0.55640
2022-12-31,11941.00000,7155.00000,4786.00000,218.00000,148.00000,-926.00000,1292.00000,3494.00000,-586.00000,2908.00000,-835.00000,3743.00000,,3743.00000,,3724.00000,4394.00000,3494.00000,4637.79400,4637.79400,0.82000,0.82000,1.11770,0.28580,0.41320,40.08040,29.26050,29.26050,24.35310,31.18670,0.13740,1.59640,2.13580,42.13970,10.01930,13.80160,4.30750,7.15600,8.33310,0.3742,0.0034
2022-09-30,9929.00000,6301.00000,3628.00000,170.00000,119.00000,-516.00000,805.00000,2823.00000,2425.00000,5248.00000,804.00000,4444.00000,,4444.00000,,4455.00000,3598.00000,2823.00000,4549.20500,4553.84300,0.98000,0.98000,1.07140,0.29370,0.42870,36.53940,28.43190,28.43190,52.85530,44.86860,0.12320,1.19610,3.30090,27.26560,12.81730,17.54580,5.51290,9.05310,7.63260,0.7807,0.4969
2022-06-30,11157.00000,5950.00000,5207.00000,151.00000,127.00000,-638.00000,916.00000,4291.00000,765.00000,5056.00000,911.00000,4145.00000,,4145.00000,2058.00000,6151.00000,5101.00000,4291.00000,4668.73900,4673.37700,1.32000,1.32000,1.32230,0.28710,0.42800,46.67030,38.46020,38.46020,45.31680,55.13130,0.13230,1.15440,3.85790,23.32890,11.20820,15.05410,4.91360,7.99050,8.05490,0.7797,0.4961
