Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.05000,0.84500,-0.79500,3.40400,3.18000,6.58400,-7.37900,0.17800,-7.20100,-7.20100,-7.20100,-7.20100,-7.33000,-7.37900,6.81600,6.81600,-1.06000,-1.06000,3.31070,,,-1590.00000,-14758.00000,-14758.00000,-14402.00000,-14402.00000,0.00330,0.41560,-70.24690,-70.24680,-47.79320,-70.24680,1.54520,-0.7845,-0.7841
2024-06-30,,0.38000,-0.38000,2.90700,3.11000,6.01700,-6.39700,0.20700,-6.19000,-6.19000,-6.19000,-6.19000,-6.37000,-6.39700,6.63920,6.63920,-0.89960,-0.89960,5.75530,,,,,,,,,0.21230,-36.89360,-36.89360,-29.72250,-36.89360,2.54220,-0.7476,-0.7469
2024-03-31,0.85200,1.21500,-0.36300,2.88700,2.50400,5.39100,-5.75400,0.03400,-5.72000,-5.72000,-5.72000,-5.72000,-5.70200,-5.75400,3.73670,3.73670,-1.49930,-1.49930,0.67670,,,-42.60560,-675.35210,-675.35210,-671.36150,-671.36150,0.16590,1.14190,387.00630,387.00960,-111.39240,387.00950,-0.39480,-1.10550,-1.10710
2023-12-31,,,,3.19200,2.83200,,-6.02400,0.06600,-5.95800,-5.95800,-5.95800,-5.95800,-5.98400,-6.02400,3.08120,3.08120,-1.39800,-1.39800,1.44480,,,,,,,,,,-172.74580,-172.74570,-63.24170,-172.74570,0.92640,-2.3058,-2.3115
2023-09-30,,,,5.63600,3.44300,,-9.07900,0.11700,-8.96200,-8.96200,-8.96200,-8.96200,-9.03900,-9.07900,3.38100,3.38100,-2.65000,-2.65000,1.65860,,,,,,,,,,-181.27020,-181.27020,-84.60310,-181.27020,1.45890,-1.3276,-1.3291
2023-06-30,,,,4.17100,3.21300,,-7.38400,0.11700,-7.26700,-7.26700,-7.26700,-7.26700,-7.34400,-7.38400,2.87190,2.87190,-2.54870,-2.54870,3.53310,,,,,,,,,,-56.64950,-56.64950,-41.35320,-56.64950,3.79730,-2.4342,-2.4426
2023-03-31,,,,3.89400,3.30900,,-7.20300,0.10700,-7.09600,-7.09600,-7.09600,-7.09600,-7.16500,-7.20300,2.50400,2.50400,-2.84860,-2.84860,2.85150,,,,,,,,,,-63.67550,-63.67550,-42.35410,-63.67550,4.03780,-2.42810,-2.43330
2022-12-31,,,,5.14500,2.87600,,-8.02100,0.09400,-7.92700,-7.92700,-7.92700,-7.92700,-7.98100,-8.02100,2.20280,2.20280,-3.59820,-3.59820,2.33950,,,,,,,,,,-100.15160,-100.15160,-59.85810,-100.15160,3.52550,-2.8459,-2.8554
2022-09-30,,,,5.14600,3.51100,,-8.65700,0.05500,-8.60200,-8.60200,-8.60200,-8.60200,-8.61300,-8.65700,2.19780,2.19780,-3.89810,-3.89810,4.14200,,,,,,,,,,-58.68870,-58.68870,-44.21940,-58.68870,6.56110,-2.9026,-2.9124
2022-06-30,,,,4.11200,2.73400,,-6.84600,-0.02200,-6.86800,-6.86800,-6.86800,-6.86800,-6.77700,-6.84600,2.18740,2.18740,-3.14840,-3.14840,6.78010,,,,,,,,,,-33.50730,-33.50730,-28.15680,-33.50730,9.36380,-2.9086,-2.9178
2022-03-31,,,,4.59100,2.34700,,-6.93800,0.00600,-6.93200,-6.93200,-6.93200,-6.93200,-6.84100,-6.93800,2.18400,2.18400,-3.14840,-3.14840,10.73550,,,,,,,,,,-26.12500,-26.12500,-23.38970,-26.12500,12.13880,-2.64740,-2.66660
