Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi
2024-09-30,16.00700,,16.00700,,,16.00700,16.00700,,16.00700,0.62600,0.62600,6.71900,6.71900,0.09000,0.09000,,,100.00000,3.91080,,,,,
2024-06-30,15.17200,,15.17200,,,15.17200,15.17200,,15.17200,0.92800,0.92800,6.71900,6.71900,0.14000,0.14000,,,100.00000,6.11650,,,,,
2024-03-31,15.42500,,15.42500,,,15.42500,15.42500,,15.42500,1.39500,1.39500,6.69800,6.69800,0.21000,0.21000,,,100.00000,9.04380,,,,,
2023-12-31,15.33300,,15.33300,,,15.33300,15.33300,,15.33300,1.90100,1.90100,6.69800,6.69800,0.28000,0.28000,,,100.00000,12.39810,,,,,
2023-09-30,16.42700,,16.42700,,,16.42700,16.42700,,16.42700,1.82100,1.82100,6.69700,6.70500,0.27000,0.27000,,,100.00000,11.08540,,,,,
2023-06-30,17.07400,,17.07400,,,17.07400,17.07400,,17.07400,2.98500,2.98500,6.69700,6.70000,0.45000,0.45000,,,100.00000,17.48270,,,,,
2023-03-31,16.60800,,16.60800,,,16.60800,16.60800,,16.60800,4.11500,4.11500,6.68800,6.68800,0.62000,0.62000,,,100.00000,24.77720,,,,,
2022-12-31,16.32000,,16.32000,,,16.32000,16.32000,,16.32000,4.55300,4.55300,6.68800,6.68800,0.68000,0.68000,,,100.00000,27.89830,,,,,
2022-09-30,13.59600,,13.59600,,,13.59600,13.59600,,13.59600,3.97900,3.97900,6.68800,6.68800,0.59000,0.59000,,,100.00000,29.26600,,,,,
2022-06-30,13.70000,,13.70000,,,13.70000,13.70000,,13.70000,4.50100,4.50100,6.68700,6.68700,0.67000,0.67000,,,100.00000,32.85400,,,,,
2022-03-31,12.83400,,12.83400,,,12.83400,12.83400,,12.83400,3.93500,3.93500,6.68500,6.68500,0.59000,0.59000,,,100.00000,30.66080,,,,,
2021-12-31,12.13100,,12.13100,,,12.13100,12.13100,,12.13100,3.68600,3.68600,6.68500,6.68500,0.55000,0.55000,,,100.00000,30.38500,,,,,
2021-09-30,11.96100,,11.96100,,,11.96100,11.96100,,11.96100,3.73800,3.73800,6.68030,6.68030,0.57270,0.57270,,,100.00000,31.25160,,,,,
2021-06-30,11.68000,,11.68000,,,11.68000,11.68000,,11.68000,3.89900,3.89900,6.67700,6.68250,0.58180,0.58180,,,100.00000,33.38190,,,,,
2021-03-31,11.10300,,11.10300,,,11.10300,11.10300,,11.10300,3.31700,3.31700,6.67700,6.68250,0.50000,0.50000,,,100.00000,29.87480,,,,,
2020-12-31,10.78400,,10.78400,,,10.78400,10.78400,,10.78400,2.93000,2.93000,6.67700,6.68140,0.43640,0.43640,,,100.00000,27.16990,,,,,
2020-09-30,10.35700,,10.35700,,,10.35700,10.35700,,10.35700,2.95300,2.95300,6.67700,6.68140,0.44550,0.44550,,,100.00000,28.51210,,,,,
2020-06-30,9.50900,,9.50900,,,9.50900,9.50900,,9.50900,2.21800,2.21800,6.67700,6.68140,0.33640,0.33640,,,100.00000,23.32530,,,,,
2020-03-31,10.22100,,10.22100,,,10.22100,10.22100,,10.22100,2.41500,2.41500,6.67700,6.68140,0.36360,0.36360,,,100.00000,23.62780,,,,,
2019-12-31,8.82200,,8.82200,,,8.82200,8.82200,,8.82200,1.83400,1.83400,6.67700,6.68140,0.27270,0.27270,,,100.00000,20.78890,,,,,
2019-09-30,8.62000,,8.62000,,,8.62000,8.62000,,8.62000,2.04500,2.04500,6.67590,6.68140,0.30910,0.30910,,,100.00000,23.72390,,,,,
2019-06-30,7.53100,,7.53100,,,7.53100,7.53100,,7.53100,1.17200,1.17200,6.67590,6.68250,0.17270,0.17270,,,100.00000,15.56230,,,,,
2019-03-31,7.69000,,7.69000,,,7.69000,7.69000,,7.69000,1.42500,1.42500,6.67370,6.68030,0.20910,0.20910,,,100.00000,18.53060,,,,,
2018-12-31,7.40000,,7.40000,,,7.40000,7.40000,,7.40000,1.12200,1.12200,6.67260,6.68140,0.16360,0.16360,,,100.00000,15.16220,,,,,
2018-09-30,7.00400,,7.00400,,,7.00400,7.00400,,7.00400,1.50500,1.50500,6.67260,6.68140,0.22730,0.22730,,,100.00000,21.48770,,,,,
2018-06-30,6.66100,,6.66100,,,6.66100,6.66100,,6.66100,1.46100,1.46100,6.67260,6.68140,0.21820,0.21820,,,100.00000,21.93360,,,,,
2018-03-31,6.81700,,6.81700,,,6.81700,6.81700,,6.81700,1.74000,1.74000,6.66490,6.67260,0.26360,0.26360,,,100.00000,25.52440,,,,,
2017-12-31,6.39000,,6.39000,,,6.39000,6.39000,,6.39000,0.47800,0.47800,6.64510,6.67040,0.07270,0.07270,,,100.00000,7.48040,,,,,
2017-09-30,5.57800,,5.57800,,,5.57800,5.57800,,5.57800,1.00100,1.00100,6.63960,6.66380,0.15460,0.15460,,,100.00000,17.94550,,,,,
