Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1530.37400,1148.73200,381.64200,-86.86100,86.86100,294.78100,-7.71700,287.06400,56.20800,230.85600,230.85600,230.85600,313.88700,294.78100,55.37100,55.37600,4.17000,4.17000,0.23560,0.30820,19.26200,19.26200,18.75780,15.08490,0.18770,12.39640,12.74330,2.83160,9.47560,33.63300,5.7447,5.7583
2024-06-30,1304.99400,1140.39600,164.59800,-81.70200,81.70200,82.89600,-7.79900,75.09700,12.52900,62.56800,62.56800,62.56800,100.29700,82.89600,55.37100,55.37500,1.13000,1.13000,0.25820,0.34800,6.35220,6.35220,5.75460,4.79450,0.16890,3.79430,3.91520,0.80970,2.81460,29.78120,5.0209,4.8117
2024-03-31,1274.08500,1100.00500,174.08000,-77.08700,77.08700,96.99290,-7.77300,89.22000,15.75800,73.46200,73.46200,73.46200,114.32990,96.99290,55.37100,55.37200,1.33000,1.33000,0.26350,0.35770,7.61280,7.61280,7.00270,5.76590,0.17230,4.57980,4.73070,0.99330,3.37310,28.96870,3.47880,3.29330
2023-12-31,1374.63300,1056.48400,318.14880,-72.43300,72.43300,245.71570,-7.77100,237.94500,46.55100,191.39400,191.39400,191.39400,263.80170,245.71570,55.37100,55.37100,3.46000,3.46000,0.27040,0.37060,17.87500,17.87500,17.30970,13.92330,0.19350,12.36280,12.78500,2.69440,9.02000,27.95950,4.0694,3.8921
2023-09-30,1065.19200,1005.31100,59.88100,-69.19200,69.19200,-9.31100,-5.91800,-15.22900,-7.00200,-8.22700,-8.22700,-8.22700,8.92600,-9.31100,55.37100,55.37100,-0.15000,-0.15000,0.29450,0.41740,-0.87410,-0.87410,-1.42970,-0.77230,0.15390,-0.59860,-0.62190,-0.11880,-0.42230,24.82040,2.2086,2.0656
2023-06-30,1083.22700,1070.54700,12.68010,-68.34100,68.34100,-55.66090,-5.54900,-61.21000,-19.66700,-41.54300,-41.54300,-41.54300,-37.15490,-55.66090,55.37100,55.37100,-0.75000,-0.75000,0.24260,0.32030,-5.13840,-5.13840,-5.65070,-3.83510,0.16190,-2.96710,-3.08050,-0.62090,-2.24720,25.28650,1.5748,1.9084
2023-03-31,1106.57900,1094.03600,12.54300,-69.69000,69.69000,-57.14710,-4.93100,-62.07800,-16.79000,-45.28800,-45.28800,-45.28800,-39.73610,-57.14710,55.37100,55.37100,-0.82000,-0.82000,0.23510,0.30730,-5.16430,-5.16430,-5.60990,-4.09260,0.16790,-3.10350,-3.21770,-0.68730,-2.37400,26.35430,0.32820,0.18960
2022-12-31,1151.69300,1093.21300,58.47990,-71.41300,71.41300,-12.93310,-4.41000,-17.34300,-10.57200,-6.77100,-6.77100,-6.77100,4.80990,-12.93290,55.37100,55.37100,-0.12000,-0.12000,0.20740,0.26170,-1.12300,-1.12290,-1.50590,-0.58790,0.17680,-0.44480,-0.46060,-0.10390,-0.35260,27.48970,1.223,1.0438
2022-09-30,900.28700,956.33200,-56.04500,-68.58500,68.58500,-124.63000,-4.27300,-128.90300,-30.60000,-98.30300,-98.30300,-98.30300,-105.68200,-124.63000,55.37100,55.37100,-1.78000,-1.78000,0.19440,0.24130,-13.84340,-13.84340,-14.31800,-10.91910,0.13950,-6.35660,-6.57880,-1.52300,-5.12070,27.92940,1.6248,1.471
2022-06-30,785.62500,983.26100,-197.63600,-69.43000,69.43000,-267.06600,-4.27400,-271.34000,-60.65900,-210.68100,-210.68100,-210.68100,-243.62000,-267.06600,55.37100,55.37100,-3.80000,-3.80000,0.18330,0.22450,-33.99410,-33.99410,-34.53810,-26.81700,0.12090,-12.67360,-13.08700,-3.24140,-10.35040,30.02230,1.5952,1.4363
