Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,939.90000,319.20000,620.70000,74.80000,-164.40000,411.60000,209.10000,-88.70000,120.40000,-8.00000,128.40000,176.80000,305.20000,,288.70000,209.10000,209.10000,124.00000,124.00000,2.31000,2.31000,0.48300,0.93440,22.24710,22.24710,12.80990,30.71600,0.05500,3.89320,4.52410,1.78640,2.01260,61.53380,1.5149,2.8865
2024-06-30,864.00000,296.90000,567.10000,65.30000,-168.40000,406.50000,160.60000,-101.40000,59.20000,1.60000,57.60000,0.80000,58.40000,,52.10000,160.60000,160.60000,123.70000,123.70000,0.42000,0.42000,0.52070,1.08620,18.58800,18.58800,6.85180,6.03010,0.05080,0.80780,0.95060,0.34330,0.38720,57.97510,2.5615,1.1787
2024-03-31,671.30000,242.90000,428.40000,78.50000,-123.10000,366.90000,61.50000,-111.00000,-49.50000,-3.60000,-45.90000,20.40000,-25.50000,,-27.40000,61.50000,61.50000,123.60000,126.60000,-0.22000,-0.22000,0.51940,1.08080,9.16130,9.16130,-7.37380,-4.08160,0.03920,-0.35010,-0.41190,-0.14900,-0.16830,58.45350,1.91550,1.07110
2023-12-31,726.70000,247.50000,479.20000,76.40000,-152.80000,406.90000,72.30000,-86.50000,-14.19990,-7.70000,-6.49990,-88.70000,-84.19990,,-80.90000,72.30000,72.30000,123.40000,123.80000,-0.65000,-0.65000,0.51130,1.04620,9.94910,9.94910,-1.95400,-11.13250,0.04290,-1.13260,-1.32990,-0.49700,-0.55350,59.75800,0.9367,-1.0893
2023-09-30,983.30000,309.90000,673.40000,67.00000,-170.30000,444.70000,228.70000,-86.10000,142.59990,2.30000,140.29990,-4.70000,135.59990,,120.10000,228.70000,228.70000,123.50000,123.50000,0.97000,0.97000,0.48500,0.94160,23.25840,23.25840,14.50220,12.21400,0.05590,1.66580,2.02950,0.77020,0.85790,65.43650,1.8808,0.1631
2023-06-30,863.40000,296.00000,567.40000,62.70000,-165.10000,701.60010,-134.20010,-86.60000,-220.80010,-2.30000,-218.50010,6.30000,-212.20010,,-207.60000,-134.20010,-134.20010,123.40000,126.10000,-1.67000,-1.68000,0.48490,0.94160,-15.54320,-15.54320,-25.57330,-24.04450,0.04920,-2.62410,-3.21660,-1.20830,-1.35150,65.00480,2.0266,0.0882
2023-03-31,651.20000,249.90000,401.30000,64.10000,-103.60000,338.70000,62.60000,-80.00000,-17.40000,-0.70000,-16.70000,-31.60000,-48.30000,,-44.90000,62.60000,62.60000,123.30000,126.20000,-0.36000,-0.36000,0.48050,0.92480,9.61300,9.61300,-2.67200,-6.89500,0.03750,-0.59860,-0.73360,-0.27820,-0.31100,64.86330,1.54120,-0.72580
2022-12-31,674.30000,258.80000,415.50010,-5.90000,-191.10000,338.69980,76.80030,-70.00000,6.80000,-2.50000,9.30000,-17.50000,4.00000,,4.70000,76.80030,76.80010,120.20000,122.90000,0.06000,0.06000,0.47080,0.88950,11.38960,11.38960,1.00850,0.69700,0.03950,0.04940,0.06000,0.02340,0.02620,65.25320,0.3624,-19.6349
2022-09-30,932.60000,310.50000,622.10000,69.10000,-165.50000,384.30000,237.80000,-68.30000,169.50000,3.70000,165.80000,11.20000,177.00000,,162.60000,237.80000,237.80000,122.40000,122.80000,1.32000,1.32000,0.45220,0.82550,25.49860,25.49860,18.17500,17.43510,0.05660,2.17710,2.62400,1.07370,1.19260,65.61740,1.184,-0.4565
2022-06-30,814.30000,281.00000,533.30000,62.20000,-157.80000,370.10000,163.20000,-56.60000,106.60000,3.60000,103.00000,-21.70000,81.30000,,74.00000,163.20000,163.20000,120.00000,120.00000,0.61000,0.61000,0.46950,0.88500,20.04180,20.04180,13.09100,9.08760,0.04970,1.03810,1.25490,0.49580,0.55070,64.40380,2.4859,1.1492
2022-03-31,548.50000,196.10000,352.40000,131.40000,-0.50000,280.40000,72.00000,-46.50000,25.50000,1.30000,24.20000,-22.70000,1.50000,,0.70000,72.00000,72.00000,115.30000,115.90000,0.01000,0.01000,0.46710,0.87640,13.12670,13.12670,4.64900,0.12760,0.03940,0.02160,0.02460,0.01080,0.01150,59.66870,1.94740,0.58500
2021-12-31,542.40000,195.90000,346.50000,9.20000,-128.20000,282.00000,64.50010,-43.00000,21.50000,26.30000,-4.80000,-88.40000,14.90010,,14.40000,64.50010,64.50010,112.60000,115.10000,0.15000,0.15000,0.44690,0.80800,11.89160,11.89160,3.96390,2.65490,0.04020,0.21230,0.23970,0.11040,0.11740,60.52550,0.9928,-14.7999
2021-09-30,684.30000,232.10000,452.20000,43.20000,-94.80000,265.10000,187.10000,-40.10000,147.00000,1.60000,145.40000,104.70000,250.10000,,230.20000,187.10000,187.10000,115.10000,118.10000,2.00000,2.00000,0.39790,0.66100,27.34180,27.34180,21.48180,33.64020,0.05440,3.52510,3.94750,1.98760,2.12230,61.18390,1.3557,6.9691
2021-06-30,603.90000,205.80000,398.10000,45.30000,-84.90000,257.30000,140.80000,-46.80000,94.00000,-26.30000,120.30000,0.50000,120.80000,,110.80000,140.80000,140.80000,112.10000,112.10000,0.98000,0.98000,0.38310,0.62110,23.31510,23.31510,15.56550,18.34740,0.05020,1.74030,1.94920,1.00320,1.07350,59.89720,2.161,-2.8805
2021-03-31,442.00000,167.60000,274.40000,83.60000,-3.60000,211.10000,63.30000,-41.00000,22.30000,-0.30000,22.60000,5.40000,28.00000,,24.80000,63.30000,63.30000,107.90000,108.20000,0.23000,0.23000,0.40630,0.68440,14.32130,14.32130,5.04520,5.61090,0.03860,0.44080,0.49880,0.24450,0.26170,56.80420,2.03790,-0.51200
2020-12-31,384.21800,190.20800,194.01000,-7.94300,-56.98900,166.49300,27.51700,-36.10300,-8.58600,-0.44400,-8.14200,17.94700,9.75300,,7.57200,27.51700,27.51700,97.50000,97.50000,0.07000,0.07000,0.44670,0.80740,7.16180,7.16180,-2.23470,1.97080,0.03430,0.16550,0.18910,0.08700,0.09160,54.74240,0.811,-17.7374
2020-09-30,400.51400,156.11600,244.39800,26.83400,-17.62900,132.96200,111.43600,-31.26100,80.17500,-0.66900,80.84400,8.91200,89.75600,,81.20400,111.43600,111.43600,97.54200,97.54900,0.83000,0.83000,0.42310,0.73350,27.82330,27.82330,20.01800,20.27500,0.04800,2.01300,2.01300,1.07680,1.16120,45.36790,1.6106,-1.2549
2020-06-30,303.26600,88.52700,214.73900,58.57800,-6.67600,152.51900,62.22000,-34.40000,27.82000,-0.00700,27.82700,35.54200,63.36900,,58.91000,62.22000,62.22000,95.85900,95.86000,0.61000,0.61000,0.42770,0.74720,20.51660,20.51660,9.17350,19.42520,0.03630,1.42590,1.42590,0.75900,0.81610,45.22290,1.8682,0.0621
2020-03-31,310.30200,121.04900,189.25300,32.03100,-0.60600,116.32600,72.92700,-36.73600,36.19100,0.32000,35.87100,-51.40100,-15.47800,,-16.08600,72.92700,72.92700,92.41000,92.41100,-0.17000,-0.17000,0.50290,1.01160,23.50190,23.50190,11.66320,-5.18400,0.03780,-0.40600,-0.40600,-0.18850,-0.20180,40.85130,1.28250,-0.28210
