Date,revenue,gross-profit,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,6.48990,6.48990,6.48990,-1.09200,5.39790,5.39790,5.39790,5.39790,6.48990,6.48990,13.12000,13.12000,0.41140,0.41140,6.35150,100.00000,100.00000,100.00000,83.17370,83.17370,0.24720,2.51090,35.84370,24.40720,24.40720,20.56440,24.40720,1.68570,0.2901,0.2901
2024-04-30,6.25060,6.25060,6.25060,-2.76680,3.48380,3.48380,3.48380,3.48380,6.25060,6.25060,13.12000,13.12000,2.65500,2.65500,5.61340,100.00000,100.00000,100.00000,55.73550,55.73550,0.24870,3.41780,26.33290,16.86730,16.86730,13.86240,16.86730,1.57420,0.19080,0.19080
2024-01-31,6.22790,6.22790,6.22790,1.64520,4.69080,4.69080,4.69080,4.69080,6.22790,3.04560,13.12000,13.12000,-0.34430,-0.34430,4.67010,100.00000,100.00000,48.90210,75.31930,75.31930,0.23330,3.17690,28.32950,22.36360,22.36360,17.57490,22.36360,1.59870,0.4314,0.4314
2023-10-31,4.89610,4.89610,4.89610,-0.81000,4.08610,4.08610,4.08610,4.08610,4.89610,4.89610,13.12000,13.12000,0.31140,0.31140,5.33680,100.00000,100.00000,100.00000,83.45610,83.45610,0.18820,2.59680,34.65820,19.32970,19.32970,15.70780,19.32970,1.61120,0.3935,0.3935
2023-07-31,9.88920,9.88920,9.88920,-0.70590,9.18330,9.18330,9.18330,9.18330,9.88920,9.88920,13.12000,13.12000,0.69990,0.69990,85.40650,100.00000,100.00000,100.00000,92.86190,92.86190,0.45150,5.45580,16.49610,42.42770,42.42770,41.93090,42.42770,1.64970,0.3542,0.3542
2023-04-30,1.84880,1.84880,1.84880,-0.82570,1.02310,1.02310,1.02310,1.02310,1.84880,1.84880,13.12000,13.12000,0.78000,0.78000,6.81850,100.00000,100.00000,100.00000,55.33920,55.33920,0.12660,1.33260,67.53950,8.21050,8.21050,7.00640,8.21050,0.94980,-0.06580,-0.06580
2023-01-31,-2.17210,-2.17210,-2.17210,1.18230,-3.01500,-3.01500,-3.01500,-3.01500,-2.17210,-4.19740,13.12000,13.12000,-0.22950,-0.22950,5.26950,100.00000,100.00000,193.23540,138.80460,138.80460,-0.15390,-92.18850,-0.97630,-26.35930,-26.35930,-21.35700,-26.35930,0.87180,-0.041,-0.041
2022-10-31,0.08470,0.08470,0.08470,-0.49840,-0.41370,-0.41370,-0.41370,-0.41370,0.08470,0.08470,13.12000,13.12000,-0.03150,-0.03150,49.81770,100.00000,100.00000,100.00000,-488.52990,-488.52990,0.00570,2.45740,36.62450,-2.86230,-2.86230,-2.80480,-2.86230,1.10160,-0.0201,-0.0201
2022-07-31,-4.36680,-4.36680,-4.36680,-0.49060,-4.85740,-4.85740,-4.85740,-4.85740,-4.36680,-4.36680,13.12000,13.12000,-0.37020,-0.37020,2.32370,100.00000,100.00000,100.00000,111.23380,111.23380,-0.16730,-460.82850,-0.19530,-32.67230,-32.67230,-18.61170,-32.67230,1.13320,0.1195,0.1195
2022-04-30,14.19630,14.19630,14.19630,-0.60110,13.59520,13.59520,13.59520,13.59520,14.19630,14.19630,13.12000,13.12000,1.03620,1.03620,3.20490,100.00000,100.00000,100.00000,95.76600,95.76600,0.31770,6.13500,14.67000,44.21900,44.21900,30.42180,44.21900,2.34340,0.99840,0.99840
2022-01-31,17.95470,17.95470,17.95470,1.81050,17.44290,17.44290,17.44290,17.44290,17.95470,15.63240,13.12000,13.12000,1.32920,1.32920,2.33200,100.00000,100.00000,87.06570,97.14960,97.14960,0.33300,3.87660,23.21600,56.64260,56.64260,32.35380,56.64260,2.34720,1.5624,1.5624
2021-10-31,16.35820,16.35820,16.35820,-0.36530,15.99290,15.99290,15.99290,15.99290,16.35820,16.35820,13.12000,13.12000,1.21900,1.21900,2.93220,100.00000,100.00000,100.00000,97.76690,97.76690,0.29690,1.92650,46.71640,44.04320,44.04320,29.02260,44.04320,2.76770,1.4276,1.4276
2021-07-31,27.74420,27.74420,27.74420,-0.98820,26.75600,26.75600,26.75600,26.75600,27.74420,27.74420,13.12000,13.12000,2.03930,2.03930,18.05520,100.00000,100.00000,100.00000,96.43820,96.43820,0.67290,2.19590,40.98580,68.69440,68.69440,64.88980,68.69440,2.96870,1.3916,1.3916
