Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.83300,1.76200,2.07100,4.62800,4.62800,-2.55700,-0.18700,-2.74400,-2.74400,-2.74400,-2.74400,-2.44600,-2.55700,15.78100,15.78100,-0.17000,-0.17000,1.20260,0.66520,54.03080,-66.71020,-66.71020,-71.58880,-71.58880,0.28870,0.33050,1.55940,57.71460,-102.42620,-102.42630,-20.67040,-102.42630,0.16780,-0.2422,-0.2445
2024-06-30,0.97400,0.61800,0.35600,3.75100,3.75100,-3.39500,0.00700,-3.38800,-3.38800,-3.38800,-3.38800,-3.28900,-3.39500,15.65300,15.65300,-0.22000,-0.22000,1.91240,,36.55030,-348.56270,-348.56270,-347.84400,-347.84400,0.10490,0.30620,3.17260,28.36760,-71.61280,-71.61280,-36.47330,-71.61280,0.30220,-0.24790,-0.25200
2024-03-31,4.84100,4.23700,0.60400,5.99600,5.99600,-5.39200,-0.35000,-5.74200,-5.74200,-5.74200,-5.74200,-5.27400,-5.39200,6.51900,6.51900,-0.73000,-0.58000,2.48170,,12.47680,-111.38190,-111.38190,-118.61180,-118.61180,0.38390,1.90000,4.67730,19.24190,-73.96630,-73.96630,-45.53890,-73.96630,0.49590,-0.4669,-0.4856
2023-12-31,12.72600,7.86000,4.86600,4.13800,4.13800,0.72800,0.47600,1.20400,1.20400,1.20400,1.20400,0.86600,0.72800,5.23300,14.23600,0.23000,0.08000,0.62280,-2.22510,38.23670,5.72060,5.72060,9.46090,9.46090,0.97260,2.09600,3.64960,24.66050,-22.58060,-22.58490,9.20210,-22.58490,-1.01870,0.1405,0.1427
2023-09-30,5.88800,2.60900,3.27900,3.58100,3.58100,-0.30200,-1.20900,-1.51100,-1.51100,-1.51100,-1.51100,-0.14400,-0.30200,5.18700,5.18700,-0.29000,-0.29000,,,55.68950,-5.12910,-5.12910,-25.66240,-25.66240,,,,,,,,,,-0.1913,-0.2011
2023-06-30,0.98800,0.50600,0.48200,3.19100,3.19100,-2.70900,0.03600,-2.67300,-2.67300,-2.67300,-2.67300,-2.56800,-2.70900,4.85400,4.85400,-0.55000,-0.55000,,,48.78540,-274.19030,-274.19030,-270.54660,-270.54660,,,,,,,,,,-0.16540,-0.17140
2022-12-31,16.14600,9.94400,6.20200,3.88200,3.88200,2.32000,0.94700,3.26700,3.26700,3.26700,3.26700,2.32000,2.32000,4.82400,13.77800,0.68000,0.24000,,,38.41200,14.36890,14.36890,20.23410,20.23410,,,,,,,,,,-0.4617,-0.4818
