Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,0.08200,0.59300,-0.16700,-1.12700,5.36800,4.24100,,4.24100,4.24100,4.24700,-0.84600,-1.12700,11.50400,71.10000,0.37000,0.06000,2.79000,0.18830,0.23310,,,,,,12.36770,-48.04030,9.08230,10.02080,2.98600,0.1003,0.1003
2024-06-30,,,,0.16300,-0.17900,-0.62600,-0.25800,-0.88400,,-0.88400,-0.88400,-0.88900,-0.34700,-0.62600,9.99800,9.99800,-0.09000,-0.09000,0.02120,,0.50990,,,,,,-3.35840,5.17690,-2.00380,-3.35080,2.63870,-0.0666,-0.0666
2024-03-31,,,0.05000,0.15600,-0.28500,-0.77100,-0.22700,-0.99800,,-0.99800,-0.99800,-0.96200,-0.49100,-0.77100,10.00000,10.00000,-0.10000,-0.10000,0.02420,,0.46900,,,,,,-3.66860,6.05880,-2.25000,-3.66050,2.72640,-0.07120,-0.07120
2023-12-31,,,0.34500,0.08900,-0.42500,-1.13900,-0.12100,-1.26000,,-1.26000,-1.26000,-1.41500,-0.85900,-1.13900,60.24800,60.24800,-0.02000,-0.02000,0.02530,,0.42720,,,,,,-4.46780,7.99900,-2.82300,-4.45830,2.82620,-0.013,-0.013
2023-09-30,,,0.35700,0.11800,-0.32300,-1.07800,-0.09900,-1.17700,,-1.17700,-1.17700,-1.16200,-0.79800,-1.07800,70.49600,70.49600,-0.02000,-0.02000,0.04080,,0.39840,,,,,,-3.97890,8.00080,-2.61080,-3.97890,0.41960,-0.0095,-0.0096
2023-06-30,,,0.26600,0.05100,-0.41100,-1.00800,-0.11300,-1.12100,,-1.12100,-1.12100,-1.10200,-0.72800,-1.00800,70.49600,70.49600,-0.02000,-0.02000,0.02890,,0.38290,,,,,,-3.65150,8.08220,-2.43750,-3.65150,0.00790,-0.0104,-0.0105
2023-03-31,,,0.17900,0.05700,-0.28700,-0.80300,-0.04600,-0.84900,,-0.84900,-0.84900,-0.65700,-0.52300,-0.80300,70.49600,70.49600,-0.01000,-0.01000,,,,,,,,,,,,,,-0.01440,-0.01450
2022-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.0267,0.0267
2022-09-30,,,0.33000,0.09000,-0.19000,-0.88900,-0.08900,-0.97800,1.25800,-2.23600,-2.23600,-2.16900,-0.61000,-0.88900,70.49600,70.49600,-0.03000,-0.03000,,,,,,,,,,,,,,-0.0264,-0.0264
2022-06-30,0.05000,0.05000,0.20600,0.05800,-0.25800,-0.75000,-0.04900,-0.79900,,-0.79900,-0.79900,-0.73200,-0.75000,-0.75000,3877.28200,3877.28200,0.00000,0.00000,,,,100.00000,-1500.00000,-1500.00000,-1598.00000,-1464.00000,,,,,,-0.0003,-0.0003
