,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2025-02-20,2024-12-31,$1.88,$1.44
1,2024-11-05,2024-09-30,$1.58,$1.75
2,2024-08-01,2024-06-30,$1.21,$1.33
3,2024-05-02,2024-03-31,$1.35,$1.22
4,2024-02-15,2023-12-31,$1.49,$1.23
5,2023-11-02,2023-09-30,$1.17,$0.97
6,2023-08-03,2023-06-30,$1.23,$1.44
7,2023-05-04,2023-03-31,$1.43,$0.03
8,2023-02-22,2022-12-31,$1.29,$1.38
9,2022-11-03,2022-09-30,$1.23,$0.84
10,2022-08-04,2022-06-30,$1.06,$1.61
11,2022-05-05,2022-03-31,$0.89,$0.06
12,2022-02-24,2021-12-31,$0.65,$0.51
13,2021-11-04,2021-09-30,$0.41,$0.66
14,2021-08-05,2021-06-30,$0.29,$0.15
15,2021-05-06,2021-03-31,$0.15,$0.53
16,2021-02-18,2020-12-31,$0.23,$-0.04
17,2020-11-05,2020-09-30,$0.09,$0.16
18,2020-08-06,2020-06-30,$-0.14,$0.21
19,2020-05-07,2020-03-31,$-0.10,$0.68
20,2020-02-20,2019-12-31,$-0.07,$0.14
21,2019-11-07,2019-09-30,$-0.22,$-0.34
22,2019-08-08,2019-06-30,$-0.33,$-0.18
23,2019-05-08,2019-03-31,$-0.14,$-0.30
24,2019-03-01,2018-12-31,$0.05,$0.13
25,2018-11-08,2018-09-30,$0.07,$-0.24
26,2018-08-09,2018-06-30,$-0.05,$0.35
27,2018-05-03,2018-03-31,$-0.02,$-0.03
28,2018-02-15,2017-12-31,$-0.03,$-0.07
29,2017-11-03,2017-09-30,$-0.10,$-0.15
30,2017-08-03,2017-06-30,$-0.15,$0.14
31,2017-05-04,2017-03-31,$0.00,$-0.77
32,2017-02-17,2016-12-31,--,$0.03
33,2016-11-04,2016-09-30,$-0.10,$-0.23
34,2016-08-03,2016-06-30,$-0.07,$-0.33
35,2016-05-10,2016-03-31,$-0.13,$0.17
36,2016-02-25,2015-12-31,$0.46,$0.48
37,2015-11-03,2015-09-30,$0.52,$0.23
38,2015-08-04,2015-06-30,$0.56,$0.31
39,2015-05-05,2015-03-31,$0.63,$0.55
40,2015-02-13,2014-12-31,$0.59,$0.61
