Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.30900,2.73200,-1.06800,-7.10900,0.02300,-7.08600,-7.08600,-7.08600,-7.08600,-6.41900,-7.10900,47.32140,47.32140,-0.15000,-0.15000,1.84400,0.04440,0.14070,-82.51050,-82.51050,-44.38180,-78.84720,0.18360,-0.1147,-0.1146
2024-06-30,5.15600,3.53300,,-8.68900,0.06000,-8.62900,-8.62900,-8.62900,-8.62900,-8.05800,-8.68900,45.12610,45.12610,-0.19000,-0.19000,2.66480,0.03720,0.10430,-63.35070,-63.35070,-38.35790,-60.99530,0.29330,-0.1276,-0.1293
2024-03-31,4.90300,3.74200,,-8.64500,0.08300,-8.56200,-8.56200,-8.56200,-8.56200,-8.01300,-8.64500,43.28700,43.28700,-0.20000,-0.20000,4.09860,0.01960,0.05880,-48.85310,-48.85310,-33.51210,-47.89400,0.40490,-0.18290,-0.18460
2023-12-31,4.52200,3.07600,,-7.59800,,-7.59800,-7.59800,-7.59800,-7.59800,-6.97100,-7.59800,29.86500,29.86500,-0.20000,-0.20000,4.56610,0.02060,0.04890,-30.46880,-30.46880,-22.54000,-29.84060,0.57610,-0.1954,-0.1987
2023-09-30,3.78600,3.38300,,-7.16900,,-7.16900,-7.16900,-7.16900,-7.16900,-6.52200,-7.16900,31.54580,31.54580,-0.23000,-0.23000,3.53160,0.03770,0.07940,-40.37050,-40.37050,-27.35420,-38.85010,0.55540,-0.1373,-0.1383
2023-06-30,4.13400,3.58100,,-7.71500,,-7.71500,-7.71500,-7.71500,-7.71500,-7.07800,-7.71500,28.47240,28.47240,-0.27000,-0.27000,5.14810,0.03800,0.07460,-35.39150,-35.39150,-25.96070,-34.04680,0.71220,-0.148,-0.1465
2023-03-31,4.38500,3.47000,,-7.85500,0.33000,-7.52500,-7.52500,-7.52500,-7.52500,-7.26500,-7.85500,24.73300,24.73300,-0.30000,-0.30000,3.84260,0.03800,0.07850,-44.82370,-44.82370,-30.49280,-43.11830,0.67260,-0.30080,-0.31810
2022-12-31,3.92200,3.87600,,-7.79800,,-7.79800,-7.79800,-7.79800,-7.79800,-7.44700,-7.79800,20.96800,20.96800,-0.31000,-0.31000,3.81900,0.03440,0.06570,-34.30410,-34.30410,-23.60240,-33.12240,0.92610,-0.4038,-0.4678
2022-09-30,4.25500,3.14400,,-7.39900,,-7.39900,-7.39900,-7.39900,-7.39900,-7.15300,-7.39900,21.66200,21.66200,-0.34000,-0.34000,6.05180,0.00230,0.01160,-25.02710,-25.02710,-19.27680,-24.97050,1.20660,-0.1926,-0.2693
2022-06-30,3.50400,3.67500,,-7.17900,,-7.17900,-7.17900,-7.17900,-7.17900,-6.90500,-7.17900,18.82900,18.82900,-0.38000,-0.38000,9.08450,0.00490,0.01620,-27.02120,-27.02120,-23.16700,-26.88760,1.41030,-0.3115,-0.3341
2022-03-31,2.38100,3.76400,,-6.14500,,-6.14500,-6.14500,-6.14500,-6.14500,-5.91300,-6.14500,18.80100,18.80100,-0.33000,-0.33000,16.08990,0.00610,0.01600,-18.71480,-18.71480,-16.81810,-18.60090,1.74540,-0.24250,-0.25590
2021-12-31,2.68800,3.16100,,-5.84900,,-5.84900,-5.84900,-5.84900,-4.42800,-5.61500,-5.84900,9.97000,9.97000,0.60000,0.60000,17.27840,0.00700,0.01730,-15.31830,-15.31830,-13.85260,-15.21120,2.03310,-0.5079,-0.5274
2021-09-30,1.35000,2.04100,,-3.39100,,-3.39100,-3.39100,-3.39100,-3.39100,-3.19200,-3.39100,13.37800,13.37800,-0.25000,-0.25000,20.31340,0.00790,0.01880,-7.87910,-7.87910,-7.19440,-7.81680,2.29470,0.4726,0.4611
2021-06-30,2.06400,0.98600,,-3.05000,,-3.05000,-3.05000,-3.05000,-3.76500,-2.86000,-3.05000,3.76450,3.76450,-1.00000,-1.00000,4.38770,0.03070,0.08220,14.36040,-22.32630,-17.36510,-21.64200,3.62940,-0.6537,-0.6537
2021-03-31,1.24500,1.11800,,-2.36300,,-2.36300,-2.36300,-2.36300,-3.06900,-2.19800,-2.36300,3.76400,3.76400,-0.82000,-0.82000,,,,,,,,,-0.66600,-0.66600
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,1.4964,1.4964
2020-09-30,1.05700,0.62400,,-1.68100,,-1.68100,-1.68100,-1.68100,-2.18200,-1.65900,-1.68100,3.61400,3.61400,-0.60000,-0.60000,,,,,,,,,-0.5478,-0.5478
2020-06-30,1.78400,1.09000,,-2.87400,,-2.87400,-2.87400,-2.87400,-3.17800,-2.87400,-2.87400,3.46200,3.46200,-0.92000,-0.92000,,,,,,,,,-0.9486,-0.9486
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
