Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,99.87300,39.10300,60.77000,61.83900,61.83900,-1.06900,0.20500,-0.86400,0.21100,-1.07500,-1.07500,-0.14100,0.34700,-1.06900,13.54500,13.54500,-0.01000,-0.01000,2.79960,0.33080,0.55660,60.84730,-1.07040,-1.07040,-0.86510,-0.14120,0.36550,1.01490,-1.03010,-1.03010,-0.39340,-0.68940,1.05850,0.2432,0.0561
2024-06-30,105.42600,41.34900,64.07700,62.94500,62.94500,1.13200,0.18100,1.31300,-0.06200,1.37500,1.37500,0.18500,2.50800,1.13200,13.18300,98.22900,0.01000,0.01000,2.88110,0.34060,0.56380,60.77910,1.07370,1.07370,1.24540,0.17550,0.38690,1.08000,1.33560,1.33560,0.50460,0.88080,1.04690,0.0747,0.0659
2024-03-31,97.33700,39.03100,58.30600,57.42900,57.42900,0.87700,0.26300,1.14000,0.07300,1.06700,1.06700,0.13900,2.14900,0.87700,12.73600,97.85000,0.01000,0.01000,2.87740,0.35240,0.58890,59.90120,0.90100,0.90100,1.17120,0.14280,0.36290,1.00320,1.06850,1.06850,0.39780,0.69200,1.02010,-0.05920,-0.06490
2023-12-31,124.34600,51.33800,73.00800,71.81000,71.81000,1.19800,0.19300,1.39100,-0.55000,1.94100,1.94100,0.24300,2.46900,1.19800,11.92830,97.05520,0.02000,0.01000,2.66230,0.36320,0.61190,58.71360,0.96340,0.96340,1.11870,0.19540,0.45450,1.35860,1.99170,1.99170,0.70950,1.26840,1.00130,0.1105,0.0978
2023-09-30,114.15400,47.32700,66.82700,64.81300,64.81300,2.01400,0.07900,2.09300,0.09500,1.99800,1.99800,0.24500,3.18700,2.01400,12.15000,97.19500,0.02000,0.02000,2.76830,0.37780,0.64640,58.54110,1.76430,1.76430,1.83350,0.21460,0.42960,1.27030,2.13820,2.13820,0.75200,1.33030,0.96290,0.0474,0.0315
2023-06-30,110.18400,46.69500,63.48900,62.12900,62.12900,1.36000,-0.08800,1.27200,0.03700,1.23500,1.23500,0.14800,2.36700,1.36000,11.79700,96.89000,0.01000,0.01000,2.69940,0.38220,0.65330,57.62090,1.23430,1.23430,1.15440,0.13430,0.40310,1.18480,1.31900,1.31900,0.45180,0.81490,0.96790,0.2862,0.5793
2023-03-31,97.69800,44.02200,53.67600,53.76600,53.76600,-0.09000,-0.36300,-0.45300,-0.01300,-0.44000,-0.44000,-0.05200,0.92800,-0.09000,11.38800,11.38800,0.00000,0.00000,2.85230,0.38580,0.66300,54.94070,-0.09210,-0.09210,-0.46370,-0.05320,0.37250,1.16260,-0.47100,-0.47100,-0.16770,-0.28920,0.97100,-0.17400,-0.56160
2022-12-31,119.63000,54.19400,65.43600,59.38800,59.38800,6.04800,-0.41900,5.62900,-0.55700,6.18600,6.18600,0.70900,6.79200,6.04800,10.68770,96.50530,0.06000,0.04000,2.76290,0.38970,0.67330,54.69870,5.05560,5.05560,4.70530,0.59270,0.45560,1.37790,6.64150,6.64150,2.35590,4.05370,0.97170,0.0569,0.0304
2022-09-30,111.40500,50.48700,60.91800,54.61500,54.61500,6.30300,-0.40400,5.89900,0.18000,5.71900,5.71900,0.64600,6.87400,6.30300,10.88400,96.57400,0.06000,0.05000,2.61940,0.41590,0.75040,54.68160,5.65770,5.65770,5.29510,0.57990,0.44140,1.25170,6.76070,6.76070,2.26590,3.94900,0.88620,0.0427,0.017
2022-06-30,108.80900,50.98800,57.82100,52.14500,52.14500,5.67600,-1.81200,3.86400,0.11300,3.75100,3.75100,0.42400,6.10300,5.67600,10.81100,96.20900,0.04000,0.03000,2.68640,0.43340,0.80560,53.13990,5.21650,5.21650,3.55120,0.38970,0.44670,1.44260,4.70320,4.70320,1.54000,2.66490,0.83680,0.0488,0.0198
