Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.74480,3.31550,,,-4.18110,0.16570,-4.01530,-4.01530,-4.01530,,-3.82720,-4.06030,-4.18110,0.91780,0.91780,-4.37000,-4.37000,3.76080,0.01960,,,,,,,,,,-26.16570,-38.96160,-21.10350,-26.16570,8.23270,-2.5617,-2.5617
2024-06-30,,,,0.89800,2.42180,,,-3.45660,0.10410,-3.35250,-3.35250,-3.35250,,-3.11190,-3.31980,-3.45660,0.64180,0.64180,-5.19480,-5.19480,1.98660,0.06030,,,,,,,,,,-32.86090,-66.30530,-21.98800,-32.86090,13.97380,-0.788,-0.788
2024-03-31,,,,0.16030,1.97700,,,-2.25740,0.16590,-2.09140,-2.09140,-2.09140,,-1.90340,-2.13720,-2.25740,0.61060,0.61060,-3.24680,-3.24680,2.34230,0.05210,,,,,,,,,,-18.16310,-33.38860,-13.54670,-18.16310,18.49390,-3.23170,-3.23170
2023-12-31,,,,-0.03000,1.47270,-0.23620,,-1.80110,0.14960,-1.65160,-1.65160,-1.65160,,-1.39450,-1.67890,-1.80110,0.60970,0.60970,-2.01610,-2.01610,2.42800,0.02330,,,,,,,,,,-12.79360,-21.86470,-9.45110,-12.79370,21.30230,-1.2149,-1.2149
2023-09-30,,,,-0.03300,3.19810,,,-3.31190,2.18070,-1.13120,-1.13120,-1.13120,,-1.05980,-3.16510,-3.31190,0.60300,0.60300,-1.88000,-1.88000,2.20410,0.02040,,,,,,,,,,-7.67100,-12.18330,-5.97210,-7.67100,24.32900,-2.8684,-2.8684
2023-06-30,,,,1.61050,2.27420,-3.83950,,-8.83150,3.34120,-5.49030,-5.49030,-5.49030,,-5.49030,-7.72420,-8.83150,0.60420,0.60420,-9.09090,-9.09090,1.55700,0.01930,,,,,,,,,,-35.30900,-55.00460,-25.64590,-35.30900,25.86230,-5.7525,-5.7525
2023-03-31,,,,2.31160,5.92330,-0.48010,,-9.84500,-0.11260,-9.95750,-9.95750,-9.95750,,-9.95750,-8.71500,-9.84500,0.60000,0.60000,-16.88310,-16.88310,1.24800,0.01440,,,,,,,,,,-47.74090,-95.85720,-33.77620,-47.74090,34.70220,-7.92340,-7.92340
2022-12-31,,,,2.69500,2.80710,,,-6.65980,0.51130,-6.14840,-6.14840,-6.14840,0.00000,-6.14840,-5.50550,-6.65980,0.59650,0.59650,-9.74030,-9.74030,2.27960,0.00980,,,,,,,,,,-20.13100,-33.23140,-16.00710,-20.13100,51.50780,-10.0975,-10.0899
2022-09-30,,,,1.86670,4.24130,,,-7.25420,0.12530,-7.12890,-7.12890,-7.12890,,-7.12890,-6.10820,-7.25420,0.58840,0.58840,-12.33770,-12.33770,3.40860,0.00830,,,,,,,,,,-19.72390,-31.01090,-16.35730,-19.72390,61.57780,-12.9489,-13.1138
2022-06-30,,,,1.41210,5.32150,,,-7.86600,-0.09950,-7.96550,-7.96550,-7.96550,3.54130,-4.42420,-6.73280,-7.86600,0.59260,0.59260,-7.79220,-7.79220,3.98190,0.00710,,,,,,,,,,-18.70640,-28.13500,-15.56610,-18.70640,71.99320,-16.1862,-16.1962
