Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,10.91800,10.91800,3.10100,,3.79500,-2.10700,1.68800,1.68800,,1.68800,1.68800,5.51000,7.81700,13.39810,13.39810,0.12000,0.12000,0.12220,0.35640,1.73060,100.00000,34.75910,71.59740,15.46070,15.46070,0.02610,13.73330,6.55340,1.11560,1.11560,0.40330,0.71800,11.29300,1.437,1.437
2024-06-30,11.16500,11.16500,3.20400,,3.84400,6.48400,10.32800,10.32800,,10.32800,10.32800,6.30100,7.96100,13.39810,13.39810,0.77000,0.77000,0.03680,0.30950,1.60160,100.00000,34.42900,71.30320,92.50340,92.50340,0.02740,,,6.69900,6.69900,2.53210,4.62570,11.50700,1.0034,1.0034
2024-03-31,14.23300,14.23300,3.73000,,5.93100,-14.98000,-9.04900,-9.04900,,-9.04900,-9.04900,8.58400,10.50300,13.39810,13.39810,-0.67000,-0.67000,0.04100,0.34600,1.72560,100.00000,41.67080,73.79330,-63.57760,-63.57760,0.03470,,,-6.09770,-6.09770,-2.20460,-3.98810,11.07620,0.68800,0.68800
2023-12-31,13.48300,13.48300,3.61600,,5.18300,-9.29100,-4.10800,-4.10800,,-4.10800,-4.10800,7.25700,9.86700,13.39810,13.39810,-0.31000,-0.31000,0.25630,0.43040,1.85020,100.00000,38.44100,73.18110,-30.46800,-30.46800,0.02870,,,-2.53570,-2.53570,-0.87440,-1.44440,12.09160,2.5797,2.5797
2023-09-30,14.65100,14.65100,3.92100,,5.81700,-4.01600,1.80100,1.80100,,1.80100,1.80100,8.25300,10.73000,13.39810,13.39810,0.14000,0.14000,0.10010,0.41880,1.75810,100.00000,39.70380,73.23730,12.29270,12.29270,0.03070,,,1.05530,1.05530,0.37760,0.61330,12.73830,2.8488,2.8488
2023-06-30,14.52600,14.52600,4.03200,,5.48300,-7.44700,-1.96400,-1.96400,,-1.96400,-1.96400,7.70700,10.49400,13.39810,13.39810,-0.15000,-0.15000,0.04870,0.45950,1.86970,100.00000,37.74610,72.24290,-13.52060,-13.52060,0.02870,,,-1.13250,-1.13250,-0.38820,-0.61220,12.94380,0.3641,0.3641
2023-03-31,14.28300,14.28300,4.05000,,5.35900,-1.55300,3.80600,3.80600,,3.80600,3.80600,7.35000,10.23300,13.39810,13.39810,0.28000,0.28000,0.07380,0.45770,1.82620,100.00000,37.52010,71.64460,26.64710,26.64710,0.02770,,,2.11670,2.11670,0.73830,1.14790,13.42040,0.29530,0.29530
2022-12-31,13.99800,13.99800,3.98600,0.00000,5.21100,-2.77600,2.43500,2.43500,,2.43500,2.43500,6.89000,10.01200,13.41740,13.41740,0.18000,0.18000,0.09930,0.46890,1.86040,100.00000,37.22670,71.52450,17.39540,17.39530,0.02690,,,1.34960,1.34960,0.46760,0.71670,13.46630,1.8002,1.8002
2022-09-30,13.36800,13.36800,3.91000,,4.80100,-14.35900,-9.55800,-9.55800,,-9.55800,-9.55800,6.65500,9.45800,13.42840,13.42840,-0.71000,-0.71000,0.10860,0.48800,1.92040,100.00000,35.91410,70.75110,-71.49910,-71.49910,0.02480,3.74660,24.02160,-5.24950,-5.24950,-1.77580,-2.68770,13.58060,1.005,1.005
2022-06-30,10.43200,10.43200,2.83100,2.98800,6.64600,-15.47000,-8.82400,-8.82400,,-8.82400,-8.82400,8.07600,10.58900,13.42550,13.42550,-0.66000,-0.66000,0.09730,0.49080,1.86220,100.00000,63.70780,101.50500,-84.58590,-84.58590,0.01840,,,-4.50870,-4.50870,-1.55540,-2.29600,14.57300,-0.7689,-0.7689
2022-03-31,10.94600,10.94600,2.87800,-1.07200,3.37200,4.98900,8.36100,8.36100,,8.36100,8.36100,4.99800,6.99600,13.42250,13.42250,0.62000,0.62000,0.06930,0.46100,1.69790,100.00000,30.80580,63.91380,76.38410,76.38410,0.01910,,,4.01230,4.01230,1.46240,2.16260,15.52220,-1.81670,-1.81670
2021-12-31,15.26700,15.26700,4.40800,-1.81400,4.83000,12.25400,17.08400,17.08400,,17.08400,17.08400,6.47900,9.04500,13.41390,13.41390,1.28000,1.28000,0.32550,0.46650,1.73550,100.00000,31.63690,59.24540,111.90150,111.90150,0.02680,1.02510,87.79530,8.38500,8.38500,3.00220,4.47350,15.17940,0.8265,0.8265
2021-09-30,10.58900,10.58900,2.63900,-0.10200,3.61400,9.55100,13.16500,13.16500,,13.16500,13.16500,5.39700,7.84800,13.41530,13.41530,0.98000,0.98000,0.04790,0.42960,1.79950,100.00000,34.12980,74.11470,124.32710,124.32710,0.01970,,,6.92980,6.92980,2.45060,3.95270,14.15730,-1.5597,-1.5597
2021-06-30,11.41600,11.41600,3.61300,,3.56200,18.87900,22.44100,22.44100,,22.44100,22.44100,4.79000,7.80300,13.41200,13.41200,1.67000,1.67000,0.18070,0.42870,1.85440,100.00000,31.20180,68.35140,196.57500,196.57500,0.02190,,,12.46770,12.46770,4.29540,7.12310,13.41730,-0.5964,-0.5964
2021-03-31,10.49100,10.49100,2.78900,,2.87700,1.29700,4.17400,4.17400,,4.17400,4.17400,5.62000,7.70200,13.40900,13.40900,0.31000,0.31000,0.22090,0.47820,2.15340,100.00000,27.42350,73.41530,39.78650,39.78650,0.02050,22.13290,4.06630,2.60110,2.60110,0.81590,1.35730,11.96470,0.43430,0.43430
2020-12-31,11.13700,11.13700,3.40100,,3.22900,8.20600,11.43500,11.43500,,11.43500,11.43500,5.85200,7.73600,13.39400,13.39400,0.87000,0.87000,0.22340,0.47640,1.99800,100.00000,28.99340,69.46210,102.67570,102.67580,0.02300,,,7.19380,7.19380,2.36350,3.76650,11.85350,2.8482,2.8482
2020-09-30,10.48700,10.48700,2.96300,,3.07600,13.68500,16.76100,16.76100,,16.76100,16.76100,6.20800,7.52400,13.39980,13.39980,1.25000,1.25000,0.12680,0.50590,2.17580,100.00000,29.33160,71.74600,159.82650,159.82640,0.02180,7.21750,12.46970,11.18060,11.18060,3.47970,5.52420,11.18250,-0.2539,-0.2539
2020-06-30,10.98100,10.98100,3.04400,,3.00600,4.65200,7.65800,7.65800,,7.65800,7.65800,6.51600,7.93700,13.39260,13.39260,0.57000,0.57000,0.23620,0.57730,2.46220,100.00000,27.37460,72.27940,69.73860,69.73860,0.02310,17.32020,5.19620,5.65600,5.65600,1.61070,2.39070,10.10430,2.8483,2.8483
