Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0.5479,0.5479
2022-03-31,-0.83660,-0.83660,1.75180,0.91520,0.91520,0.91520,0.91520,-0.83660,-0.83660,0.49850,0.49850,0.40000,0.40000,0.01610,,,-8.04330,-8.04330,0.54050,-8.04330,-22.82350,-0.54790,-0.54790
2021-12-31,0.12600,-49.78770,-10.99450,-18.53930,-18.30090,-18.30090,-18.30090,-49.78770,-7.54480,2.96850,2.96850,6.12630,6.10000,1.46920,0.19070,0.78210,-45.65600,-43.05110,-19.27810,-32.24800,74.18570,1.8935,-0.6316
2021-09-30,-0.34060,-0.34060,1.57010,1.22950,1.22950,1.22950,1.22950,-0.34060,-0.34060,0.49850,0.49850,0.60000,0.60000,0.10160,,,-11.16290,-11.16290,0.72410,-11.16290,-22.09210,-0.6139,-0.6139
2021-06-30,-0.25970,-0.25970,8.79600,8.53630,8.53630,8.53630,8.53630,-0.25970,-0.25970,0.49300,0.49300,-9.60000,-9.60000,0.16570,,,-69.81850,-69.81860,5.01610,-69.81850,-24.52630,-0.7329,-0.7329
2021-03-31,-0.01320,-0.01320,0.00000,-0.01320,-0.01320,-0.01320,-0.01320,-0.01320,-0.01320,0.50000,0.50000,-0.02630,0.00000,0.02590,,31.25650,-137.16400,-137.16420,-2.97790,-137.16400,0.01670,0.00000,
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
