Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.91740,3.93130,-0.01390,0.03800,2.83010,,2.86800,-2.88190,0.00010,-2.88190,-2.88190,-2.88190,-3.44080,-2.94760,-2.88190,0.07850,0.07850,-43.82000,-43.82000,0.17950,,,-0.35450,-73.56780,-73.56780,-73.56630,-87.83510,1.16680,23.35940,3.85280,57.31530,56.34330,-85.83760,57.31530,-33.78290,21.2172,21.2172
2024-06-30,3.08390,3.50090,-0.41700,0.03740,2.76620,,2.80360,-3.22060,-0.00010,-3.22060,-3.22060,-3.22060,-3.25030,-3.18680,-3.22060,0.05680,0.05680,-56.81820,-56.81820,0.32930,,,-13.52180,-104.43370,-104.43370,-104.43180,-105.39580,0.73880,5.75380,15.64190,77.23490,76.85890,-77.15510,77.23490,-64.22820,-32.7871,-32.7871
2024-03-31,3.84860,3.97300,-0.12440,0.03250,2.99290,,3.02540,-3.14980,-0.07930,-3.22900,-3.22900,-3.22900,-3.25880,-3.11600,-3.14980,0.05030,0.05030,-63.63640,-63.63640,0.55110,,,-3.23120,-81.84270,-81.84270,-83.90200,-84.67440,0.69160,2.31430,38.88920,116.64500,114.43030,-58.02700,116.64500,-50.11170,-50.07490,-50.07490
2023-12-31,4.17910,4.25220,-0.07310,0.04710,2.95550,,3.00260,-3.07570,-0.07950,-3.15520,-3.15760,-3.15760,-3.20420,-3.04190,-3.07570,0.02780,0.02780,-35.17730,-35.17730,0.45850,,-0.14940,-1.75000,-73.59820,-73.59820,-75.49940,-76.67320,0.72820,43.28870,2.07910,80.22330,78.74630,-55.01870,80.22340,-90.79050,-47.9191,-47.9359
2023-09-30,3.36720,3.19670,0.17040,0.04880,4.38810,,4.43700,-4.26650,-0.02400,-4.29060,-4.29060,-4.29060,-4.29060,-4.23230,-4.26650,0.03120,0.03120,-137.55000,-137.55000,0.33540,,-0.12230,5.06180,-126.70850,-126.70850,-127.42260,-127.42260,0.70730,16.34740,5.50550,100.78610,98.80090,-90.12160,100.78610,-105.57850,8.4889,8.5679
2023-06-30,2.79280,2.99360,-0.20080,0.02860,2.21920,,2.24790,-2.44870,,-2.44870,-2.44870,-2.44870,-2.44870,-2.41510,-2.44870,0.01990,0.01990,-122.72730,-122.72730,0.13720,-0.11600,-0.10400,-7.19070,-87.67890,-87.67890,-87.67890,-87.67890,0.21190,,,44.27890,44.27890,-18.57630,49.41700,-420.35430,-27.0494,-27.0148
2023-03-31,1.87550,1.95050,-0.07500,0.03630,2.60820,,2.64450,-2.71950,,-2.71950,-2.71950,-2.71950,-2.71950,-2.68590,-2.71950,0.01720,0.01720,-159.09090,-159.09090,0.26850,-0.11420,-0.10250,-3.99990,-145.00190,-145.00190,-145.00190,-145.00190,0.14360,,,48.49480,48.49480,-20.81990,54.03530,-426.25880,-69.43100,-69.68370
2022-12-31,9.95310,8.89800,1.05520,0.09040,6.70350,,6.66390,-5.60870,-2.99320,-8.60190,-8.60430,-8.60430,-8.60430,-5.57510,-5.60870,0.01940,0.01940,-339.77270,-339.77270,0.71870,,,10.60140,-56.35110,-56.35110,-86.42370,-86.44780,2.03520,,,-1168.59400,-1480.21900,-175.93430,-1168.59400,37.56210,-26.4859,-26.4859
2022-09-30,11.90960,10.90580,1.00380,0.04690,2.95400,,3.00090,-1.99710,,-1.99710,-1.99710,-1.99710,-1.99710,-1.99710,-1.99710,0.01950,0.01950,-102.27270,-102.27270,20.32260,,,8.42870,-16.76910,-16.76910,-16.76910,-16.76910,0.10130,,,27.18290,27.18290,-1.69950,27.18290,-558.45280,24.6011,24.6011
2022-06-30,,,,,,-0.07380,,-0.07380,-0.42770,-0.50150,-0.50150,-0.50150,-0.50150,-0.07380,-0.07380,0.06380,0.06380,-7.95450,-7.95450,34.02490,,,,,,,,,,,-10.03000,-10.03000,-0.42790,-10.03000,268.32680,-2.1238,-2.1238
2022-03-31,,,,,,-0.05620,,-0.05620,3.42090,3.36470,3.36470,3.36470,3.36470,-0.05620,-0.05620,0.06380,0.06380,52.27270,52.27270,9.65030,,,,,,,,,,,67.29400,67.29400,2.86780,67.29400,271.50780,-0.94140,-0.94140
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.327,-0.327
2021-09-30,,,,,,-0.03250,,-0.03250,0.09270,0.06020,0.06020,0.06020,0.06020,-0.03250,-0.03250,0.06380,0.06380,0.90910,0.90910,11.52090,,,,,,,,,,,1.20490,1.20490,0.05130,1.20490,272.70550,0.327,0.327
