Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-10-31,2877.63500,2033.76200,843.87300,818.24100,818.24100,25.63210,3.86500,29.49700,25.56500,3.93200,3.93200,3.93200,54.61310,25.63210,414.36100,426.57200,0.01000,0.01000,0.74140,29.32520,0.89070,0.89070,1.02500,0.13660,0.97290,2.36880,14.89380,6.04280,1.75990,2.13720,0.13290,1.75990,0.54750,0.4425,0.3645
2024-07-31,2858.58900,2014.75300,843.83610,811.78500,811.78500,32.05100,14.46200,46.51300,-252.60400,299.11700,299.11700,299.11700,60.50600,32.05100,429.37700,437.88200,0.70000,0.68000,0.85310,29.51930,1.12120,1.12120,1.62710,10.46380,0.92140,2.50800,14.22300,6.32780,61.45200,66.87060,9.64120,61.45200,1.16550,0.2813,0.2085
2024-04-30,2877.72500,2023.73300,853.99210,789.37600,789.37600,64.61620,13.76400,78.38000,11.48300,66.89700,66.89700,66.89700,92.61620,64.61620,434.87300,436.42400,0.15000,0.15000,1.06510,29.67590,2.24540,2.24540,2.72370,2.32460,0.89900,2.68990,16.71070,5.38580,10.40530,11.08530,2.08980,10.40530,1.47670,0.18770,0.12060
2024-01-31,2825.90400,2027.81900,798.08500,820.06620,820.06700,-21.98220,58.50600,36.52500,4.63900,31.88600,31.88600,31.88600,5.45880,-21.98220,429.45700,432.04000,0.07000,0.07000,0.99690,28.24180,-0.77790,-0.77790,1.29250,1.12830,0.88670,2.81930,18.34490,4.90600,6.24920,6.77270,1.00050,6.24920,1.18170,0.2278,0.1535
2023-10-31,2745.87500,1964.01900,781.85600,791.57500,791.57500,-9.71900,-23.94900,-33.66800,1.70400,-35.37200,-35.37200,-35.37200,15.82100,-9.71900,430.75800,430.75800,-0.08000,-0.08000,0.95840,28.47380,-0.35390,-0.35390,-1.22610,-1.28820,0.93510,2.75820,17.05720,5.27640,-8.99670,-9.99990,-1.20460,-8.99670,0.91190,0.1856,0.1117
2023-07-31,2785.30200,1996.58100,788.72090,805.38000,805.38000,-16.65890,38.17000,21.51100,1.30400,20.20700,20.20700,20.20700,11.15510,-16.65890,428.61800,431.57600,0.05000,0.05000,0.92750,28.31730,-0.59810,-0.59810,0.77230,0.72550,0.95910,2.70460,17.12130,5.25660,5.54180,6.21400,0.69580,5.54180,0.84850,0.3665,0.2332
2023-04-30,2790.63900,1997.78300,792.85600,768.12190,768.12200,24.73410,-0.87200,23.86200,1.00300,22.85900,22.85900,22.85900,53.63210,24.73410,426.85200,430.47100,0.05000,0.05000,0.91560,28.41130,0.88630,0.88630,0.85510,0.81910,1.01910,2.73150,18.39350,4.89300,8.09560,9.41000,0.83480,8.09560,0.66110,0.34550,0.29530
2023-01-31,2727.54000,1963.83900,763.70100,747.31700,747.31700,16.38380,-6.96700,9.41700,,6.77100,6.77100,6.77100,39.12780,16.38380,422.33100,427.77000,0.02000,0.02000,0.83430,27.99960,0.60070,0.60070,0.34530,0.24820,1.08240,2.89650,21.48190,4.18960,4.22480,5.60390,0.26870,4.22480,0.37680,0.236,0.099
2022-10-31,2532.12200,1811.94500,720.17710,720.61100,720.61100,-0.43380,2.74500,2.31100,0.00000,2.31100,2.31100,2.31100,22.58420,-0.43380,422.89800,428.12500,0.01000,0.01000,0.85330,28.44160,-0.01710,-0.01710,0.09130,0.09130,1.01640,2.66800,19.94380,4.51270,1.40950,1.40950,0.09280,1.40950,0.38750,0.2734,0.163
2022-07-31,2431.01100,1748.21400,682.79700,661.14200,661.14200,21.65500,0.69000,22.34500,0.00000,22.34500,22.34500,22.34500,41.99300,21.65500,421.69000,426.83300,0.05000,0.05000,0.84660,28.08700,0.89080,0.89080,0.91920,0.91920,1.02640,2.46950,16.90490,5.32390,19.03470,19.03470,0.94340,19.03470,0.27780,0.1151,0.0023
2022-04-30,2428.32700,1760.50700,667.81990,649.00400,649.00400,18.81590,-0.34400,18.47200,0.00000,18.47200,18.47200,18.47200,36.15590,18.81590,420.40600,426.71000,0.04000,0.04000,0.81840,27.50120,0.77490,0.77490,0.76070,0.76070,1.10880,2.94300,18.22620,4.93800,31.51680,31.51690,0.84350,31.51680,0.13930,0.19320,0.01500
2022-01-31,2465.03200,1847.63200,617.39980,681.97300,681.97200,-64.57250,-0.42600,-64.99900,,-64.99900,-64.99900,-64.99900,-47.39450,-64.57200,417.21800,417.21800,-0.15000,-0.15000,0.80460,25.04630,-2.61950,-2.61950,-2.63680,-2.63680,1.18150,3.29680,19.95820,4.50940,-441.08730,-441.08730,-3.11550,-441.08990,0.03510,-0.1571,-0.2957
2021-10-31,2212.16100,1627.32000,584.84090,616.76900,616.76900,-31.92800,-0.31300,-32.24100,,-32.24100,-32.24100,-32.24100,-17.90400,-31.92800,417.84700,417.84700,-0.08000,-0.08000,0.88680,26.43760,-1.44330,-1.44330,-1.45740,-1.45740,1.00760,2.68270,17.18680,5.23660,-48.83530,-48.83520,-1.46850,-48.83520,0.15800,0.1764,0.0046
2021-07-31,2155.03600,1561.58200,593.45390,609.64000,609.64000,-16.18630,-0.50000,-16.68600,,-16.68600,-16.68600,-16.68600,-3.49530,-16.18630,416.66500,416.66500,-0.04000,-0.04000,0.90490,27.53800,-0.75110,-0.75110,-0.77430,-0.77430,1.06770,3.08630,18.99830,4.73730,-22.23230,-22.23230,-0.82670,-22.23230,0.17970,0.2103,0.1483
2021-04-30,2135.17800,1545.40200,589.77600,550.65500,550.65500,39.12090,-0.40200,38.71900,,38.71900,38.71900,38.71900,50.54690,39.12090,415.24800,427.59700,0.09000,0.09000,0.92440,27.62190,1.83220,1.83220,1.81340,1.81340,1.12470,3.14820,18.16170,4.95550,56.09650,56.09660,2.03940,56.09660,0.16620,0.23000,0.13910
2021-01-31,2043.01200,1488.82800,554.18410,532.58300,532.58300,21.60140,-0.55300,21.04800,,21.04800,21.04800,21.04800,32.66740,21.60120,407.24000,407.24000,0.05000,0.05000,0.88840,27.12580,1.05730,1.05730,1.03020,1.03020,1.17350,2.90050,20.28830,4.43610,-1050.28500,-1050.34900,1.20900,-1050.29900,-0.00480,0.1909,0.1148
2020-10-31,1782.00000,1327.44200,454.55800,486.86600,486.86600,-32.30800,-0.53900,-32.84700,,-32.84700,-32.84700,-32.84700,-23.04600,-32.30800,409.26000,409.26000,-0.08000,-0.08000,0.86180,25.50830,-1.81300,-1.81300,-1.84330,-1.84330,1.08440,2.75030,18.19850,4.94550,58.21770,58.21770,-1.99890,58.21770,-0.13670,0.1552,0.0827
2020-07-31,1699.85900,1266.50300,433.35600,465.62700,465.62700,-32.27110,-0.54600,-32.81700,,-32.81700,-32.81700,-32.81700,-24.18810,-32.27110,404.37700,404.37700,-0.08000,-0.08000,0.60650,25.49360,-1.89850,-1.89850,-1.93060,-1.93060,1.48480,2.79560,18.12680,4.96500,8.69070,8.69070,-2.86650,8.69070,-0.92880,-0.0718,-0.1382
2020-04-30,1621.39300,1242.68400,378.70900,426.19500,426.19500,-47.48600,-0.38400,-47.87000,,-47.87000,-47.87000,-47.87000,-40.23300,-47.48600,401.40500,401.40500,-0.12000,-0.12000,0.61430,23.35700,-2.92870,-2.92870,-2.95240,-2.95240,1.44330,2.76920,16.52910,5.44490,12.07210,12.07210,-4.26130,12.07210,-0.98770,0.05170,-0.05440
2020-01-31,1354.52500,1028.37000,326.15490,386.75200,386.75200,-60.59720,-0.34300,-60.94000,,-60.94000,-60.94000,-60.94000,-52.66820,-60.59710,398.25600,398.25600,-0.14000,-0.14000,0.57230,24.07890,-4.47370,-4.47370,-4.49900,-4.49900,1.45290,3.23580,16.83100,5.34730,15.08510,15.08510,-6.53640,15.08510,-1.00650,0.1862,0.16
2019-10-31,1229.80100,938.02100,291.78000,370.55900,370.55900,-78.77910,-0.22100,-79.00000,,-79.00000,-79.00000,-79.00000,-70.64210,-78.77910,401.31700,401.31700,-0.20000,-0.20000,0.55980,23.72580,-6.40580,-6.40580,-6.42380,-6.42380,1.43220,3.23530,13.07090,6.88550,20.28470,20.28470,-9.20010,20.28470,-0.97710,0.0046,-0.0306
2019-07-31,1153.54500,881.31000,272.23500,355.31500,355.31500,-83.08000,0.20400,-82.87600,,-82.87600,-82.87600,-82.87600,-75.45000,-83.08000,397.38700,397.38700,-0.21000,-0.21000,0.56560,23.59990,-7.20210,-7.20210,-7.18450,-7.18450,1.41720,3.05850,19.22740,4.68080,22.91080,22.91080,-10.18220,22.91080,-0.90750,0.0563,0.0266
2019-04-30,1108.87200,854.98200,253.89000,284.16000,284.16000,-30.27000,0.71600,-29.55400,,-29.55400,-29.55400,-29.55400,-23.32100,-30.27000,393.00000,393.00000,-0.08000,-0.08000,0.51910,22.89620,-2.72980,-2.72980,-2.66520,-2.66520,1.62520,3.36420,18.79950,4.78740,8.25670,8.25670,-4.33140,8.25670,,-0.13010,-0.16120
2019-01-31,1088.15800,861.25700,226.90090,293.21000,293.21000,-66.30910,-0.03400,-66.34300,0.00000,-66.34300,-66.34300,-66.34300,-57.24210,-66.30910,393.00000,393.00000,-0.17000,-0.17000,0.55110,20.85180,-6.09370,-6.09370,-6.09680,-6.09680,2.00910,3.89960,22.32670,4.03110,19.74840,19.74840,-12.24900,19.74840,,0.201,0.181
2018-10-31,875.63000,703.58900,172.04100,250.53800,250.53800,-78.49700,-0.12100,-78.61800,,-78.61800,-78.61800,-78.61800,-69.57600,-78.49700,393.00000,393.00000,-0.20000,-0.20000,,19.64770,-8.96460,-8.96460,-8.97850,-8.97850,,,,,,,,,,-0.1099,-0.1306
2018-07-31,805.58700,639.71200,165.87500,229.01000,229.01000,-63.13500,0.02100,-63.11400,,-63.11400,-63.11400,-63.11400,-54.95900,-63.13500,393.00000,393.00000,-0.16000,-0.16000,,20.59060,-7.83710,-7.83710,-7.83450,-7.83450,,,,,,,,,,-0.01,-0.0474
2018-04-30,763.46200,613.47400,149.98800,209.81300,209.81300,-59.82500,0.01000,-59.81500,,-59.81500,-59.81500,-59.81500,-52.90700,-59.82500,393.00000,393.00000,-0.15000,-0.15000,,19.64580,-7.83600,-7.83600,-7.83470,-7.83470,,,,,,,,,,-0.11520,-0.14950
2018-01-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
