Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,4.05100,2.89000,-6.94100,0.47400,-6.46700,,-6.46700,-6.46700,-6.46700,-7.13700,-6.94100,34.53200,34.53200,-0.19000,-0.19000,6.47470,,,,,,,,,-19.54310,-19.54310,-16.05910,-19.54310,0.95810,-0.1137,-0.1132
2024-06-30,,,4.41700,2.47500,-6.89200,0.31600,-6.57600,,-6.57600,-6.57600,-6.57600,-7.00700,-6.89200,29.68900,29.68900,-0.22000,-0.22000,6.00900,,,,,,,,,-17.45730,-17.45730,-14.55540,-17.45730,1.10530,-0.2143,-0.2219
2024-03-31,0.00800,0.00800,4.01000,4.11300,-8.11500,0.26500,-7.85000,,-7.85000,-7.85000,-7.85000,-8.18200,-8.11500,26.85000,26.85000,-0.29000,-0.29000,2.71670,,,100.00000,-101437.50000,-101437.50000,-98124.99000,-98124.99000,0.00030,-52.04190,-52.04190,-31.81230,-52.04190,0.56790,-0.16220,-0.16330
2023-12-31,,,4.16000,2.84100,-7.00100,0.23400,-6.76700,,-6.76700,-6.76700,-6.76700,-6.96800,-7.00100,24.42900,24.42900,-0.20000,-0.20000,3.69290,,,,,,,,,-34.75070,-34.75070,-24.26060,-34.75070,0.72690,-0.3201,-0.3321
2023-09-30,,,2.81900,2.48800,-5.30700,-0.03800,-5.34500,,-5.34500,-5.34500,-5.34500,-5.17400,-5.30700,26.21000,26.21000,-0.20000,-0.20000,3.56130,,0.00170,,,,,,,-22.24490,-22.24490,-15.68740,-22.24490,0.90130,-0.1107,-0.1204
2023-06-30,,,2.94300,2.45200,-5.39500,-0.42600,-5.82100,,-5.82100,-5.82100,-5.82100,-5.26000,-5.39500,25.06800,25.06800,-0.23000,-0.23000,3.64090,,0.00290,,,,,,,-26.15480,-26.15480,-18.56010,-26.15480,0.86080,-0.1647,-0.1794
2023-03-31,0.17000,0.17000,2.84500,3.78700,-6.46200,-3.90200,-10.36400,,-10.36400,-10.36400,-10.36400,-5.67700,-6.46200,19.57600,19.57600,-0.53000,-0.53000,1.14350,,0.61870,100.00000,-3801.17700,-3801.17700,-6096.47100,-6096.47100,0.01160,-385.13650,-385.13570,-70.90860,-385.13570,0.10970,-0.23450,-0.24000
2022-12-31,0.06800,0.06800,2.46800,0.69400,-3.09400,-0.40100,-3.49500,0.00000,-3.49500,-3.49500,-3.49500,-2.84600,-3.09400,9.11600,9.11600,-0.38000,-0.33000,0.05980,-0.31270,-0.69650,100.00000,-4550.00000,-4550.00000,-5139.70500,-5139.70500,0.01230,9.76120,9.76720,-63.18930,12.82150,-3.92060,-0.1879,-0.1884
2022-09-30,11.00000,11.00000,2.41400,2.24200,6.34400,-0.33500,6.00900,1.10000,4.90900,4.90900,4.90900,6.53100,6.34400,9.11800,10.07400,0.54000,0.49000,,,,100.00000,57.67270,57.67270,54.62730,44.62730,,,,,,,-0.2496,-0.2527
2022-06-30,,,1.82700,0.97200,-2.79900,-0.02100,-2.82000,,-2.82000,-2.82000,-2.82000,-2.61000,-2.79900,9.11200,9.11200,-0.31000,-0.31000,,,,,,,,,,,,,,,-0.2643,-0.2645
2022-03-31,,,2.36900,1.09500,-3.46400,-0.33700,-3.80100,,-3.80100,-3.80100,-3.80100,-3.27700,-3.46400,9.11000,9.11000,-0.42000,-0.42000,,,,,,,,,,,,,,,0.31010,0.30850
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
