Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.14400,10.43500,-10.58300,20.99600,10.41300,0.52900,9.88400,9.88400,,9.88400,-10.57900,-10.58300,69.34400,71.61300,0.14000,0.14000,9.67110,,2.52240,2.52240,2.44490,2.52240,5.65010,0.4753,0.4753
2024-06-30,0.04400,7.87200,-7.91900,17.20400,9.28500,0.12900,9.15600,9.15600,,9.15600,-7.91600,-7.91900,69.21800,71.09600,0.13000,0.13000,9.42310,,2.40390,2.40390,2.34750,2.40390,5.49280,0.164,0.164
2024-03-31,0.03100,6.96300,-6.99800,9.57300,2.57500,0.04300,2.53200,2.53200,,2.53200,-6.99400,-6.99800,69.18100,70.42000,0.04000,0.04000,7.08710,,0.68110,0.68110,0.66210,0.68110,5.37380,0.21490,0.21490
2023-12-31,,6.53100,-6.53600,18.98000,12.44400,,12.33000,12.33000,,12.33000,-6.53100,-6.53600,69.16400,69.53600,0.18000,0.17000,2.35890,,3.35470,3.35470,3.07550,3.35470,5.31280,0.3165,0.3165
2023-09-30,,7.49400,-7.49700,10.78500,3.28800,,3.28800,3.28800,,3.28800,-7.49400,-7.49700,69.16200,69.52500,0.05000,0.05000,1.91550,,0.93170,0.93170,0.86700,0.93170,5.10230,0.48,0.48
2023-06-30,,6.12700,-6.16100,2.56800,-3.59300,,-3.59300,-3.59300,,-3.59300,-6.12700,-6.16100,69.16200,69.16200,-0.05000,-0.05000,1.05160,,-1.03570,-1.03570,-0.94230,-1.03570,5.01610,-0.0545,-0.0545
2023-03-31,0.02600,5.53600,-5.59900,6.43400,0.83500,,0.83500,0.83500,,0.83500,-5.56200,-5.59900,69.16200,69.30900,0.01000,0.01000,1.24520,,0.23850,0.23850,0.21810,0.23850,5.06200,-0.05920,-0.05920
2022-12-31,,8.50100,-8.54900,13.99300,5.44400,0.70000,4.74400,4.74400,,4.74400,-8.50100,-8.54900,69.16200,69.30900,0.06000,0.06000,1.35250,,1.36130,1.36130,1.23700,1.36130,5.03860,0.0848,0.0843
2022-09-30,,5.93300,-5.97700,10.00600,4.02900,0.52500,3.50400,3.50400,,3.50400,-5.93300,-5.97700,69.16200,69.30900,0.05000,0.05000,7.25450,,1.02160,1.02160,0.97870,1.02160,4.95910,0.1153,0.1152
2022-06-30,,4.25700,-4.30100,9.87200,5.57100,0.34000,5.23100,5.23100,,5.23100,-4.25700,-4.30100,69.16200,69.16200,0.08000,0.08000,7.54120,,1.54430,1.54430,1.48290,1.54430,4.89770,0.0291,0.0288
2022-03-31,0.11000,6.77700,-6.93100,7.98100,1.05000,,1.05000,1.05000,,1.05000,-6.88700,-6.93100,69.16200,69.30900,0.02000,0.02000,3.42750,,0.31460,0.31460,0.30090,0.31460,4.82570,-0.01920,-0.01920
2021-12-31,0.26000,3.68900,-3.99300,-58.73400,-62.72700,,-62.72700,-62.72700,,-62.72700,-3.94900,-3.99300,63.99500,63.99500,-1.01000,-1.00000,8.36840,,-18.93810,-18.93810,-18.16870,-18.93810,4.78910,-0.1049,-0.1049
2021-09-30,0.47900,7.24400,-7.75400,-7.24500,-14.99900,,-14.99900,-14.99900,,-14.99900,-7.72300,-7.75400,67.13300,67.13300,-0.22000,-0.22000,3.64480,,-3.82860,-3.82860,-3.67280,-3.82860,5.66670,-0.1006,-0.1006
2021-06-30,0.69400,5.66100,-6.36200,19.85300,13.49100,,13.49100,13.49100,,13.49100,-6.35500,-6.36200,59.53500,60.62300,0.23000,0.22000,9.83440,,4.80490,4.80490,4.74100,4.80490,4.69730,-0.0191,-0.0191
2021-03-31,0.22400,4.85300,-5.08400,3.46400,-1.62000,,-1.62000,-1.62000,,-1.62000,-5.07700,-5.08400,59.31800,59.31800,-0.03000,-0.03000,11.18000,,-0.61800,-0.61800,-0.60980,-0.61800,4.41250,-0.11110,-0.11110
2020-12-31,0.26900,3.42000,-3.69500,-5.12500,-8.82000,,-8.82000,-8.82000,-0.47100,-9.29100,-3.68900,-3.69500,43.65600,43.65600,-1.04000,-1.04000,38.70580,,-3.37430,-3.37430,-3.32320,-3.37430,4.41660,-0.1275,-0.1275
2020-09-30,0.13400,1.96500,-2.10600,2.53900,0.43300,,0.43300,0.43300,-1.61800,-1.18500,-2.09900,-2.10600,40.50600,40.50600,-0.03000,-0.03000,0.45470,0.12340,0.35630,0.35630,0.30320,0.35630,1.50690,-0.0583,-0.0583
2020-06-30,0.21100,1.54300,-1.76300,-8.83600,-10.59900,,-10.59900,-10.59900,-1.54500,-12.14400,-1.75400,-1.76300,40.50600,40.50600,-0.30000,-0.30000,,,,,,,,-0.1188,-0.1188
2020-03-31,0.17100,0.83700,-1.01600,-15.02500,-16.04100,,-16.04100,-16.04100,-1.78000,-17.82100,-1.00800,-1.01600,40.50500,40.50500,0.44000,0.44000,,,,,,,,-0.11660,-0.11660
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0.0927,0.099
2019-09-30,0.94700,0.83900,-2.48300,-2.39100,-4.87400,,-4.87400,-4.87400,,-4.87400,-2.48300,-2.48300,80.54000,80.54000,0.06000,0.06000,,,,,,,,-0.0927,-0.099
