Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,21.99200,6.21000,15.78200,12.67600,12.67600,3.10600,,3.10600,0.72400,2.38200,2.38200,2.38200,5.07700,5.07700,0.47000,0.47000,0.36180,20.03870,15.36770,0.01050,2.06310,2.09590,0.16120,2.06310,22.73670,1.2923,1.2608
2024-06-30,21.58900,6.00200,15.58700,12.58500,12.58500,3.00200,,3.00200,0.47300,2.52900,2.52900,2.52900,5.06400,5.06500,0.50000,0.50000,0.37240,19.58760,16.50140,0.01080,2.29920,2.33770,0.17770,2.29920,21.66130,0.1854,-0.0412
2024-03-31,20.60500,5.84300,14.76200,12.78300,12.78300,1.97900,,1.97900,0.26200,1.71700,1.71700,1.71700,5.04000,5.04000,0.34000,0.34000,0.66090,13.47910,11.69460,0.01020,1.59530,1.62280,0.11880,1.59530,21.35520,0.74960,0.59110
2023-12-31,21.43000,6.07600,15.35400,13.57000,13.57000,1.78400,,1.78400,0.30100,1.48300,1.48300,1.48300,5.02500,5.02500,0.29000,0.29000,0.67270,12.74740,10.59660,0.00970,1.38890,1.41320,0.10250,1.38890,21.18610,0.602,0.5732
2023-09-30,20.67100,5.76300,14.90800,13.38600,13.38600,1.52200,,1.52200,0.16000,1.36200,1.36200,1.36200,5.03800,5.03800,0.27000,0.27000,0.71110,10.56720,9.45640,0.01000,1.36850,1.39440,0.09410,1.36850,19.75510,0.5785,0.4994
2023-06-30,19.82400,4.24800,15.57600,13.50800,13.50800,2.06800,,2.06800,0.26600,1.80200,1.80200,1.80200,5.02300,5.02400,0.36000,0.36000,0.72120,13.59190,11.84360,0.01050,1.75730,1.78980,0.12490,1.75730,20.35780,0.3076,0.4036
2023-03-31,18.57400,2.34000,16.23400,12.54400,12.54400,3.69000,,3.69000,0.60700,3.08300,3.08300,3.08300,5.00000,5.00000,0.62000,0.62000,0.75070,23.26900,19.44130,0.01120,3.00490,3.06070,0.21770,3.00490,20.51960,0.70020,0.67420
2022-12-31,17.24500,1.21100,16.03400,12.92000,12.92000,3.11400,,3.11400,0.47100,2.64300,2.64300,2.64300,5.07100,5.07100,0.53000,0.53000,0.63270,20.21950,17.16120,0.01140,2.67690,2.72890,0.19500,2.67690,19.75080,0.7158,0.8382
2022-09-30,15.73300,0.79700,14.93600,11.96700,11.96700,2.96900,,2.96900,0.42700,2.54200,2.54200,2.54200,5.01600,5.01600,0.51000,0.51000,0.04260,20.42800,17.49000,0.01100,2.71840,2.77450,0.19300,2.71840,18.71360,0.7773,0.7022
2022-06-30,14.58500,0.76400,13.82100,11.66000,11.66000,2.16100,,2.16100,0.26900,1.89200,1.89200,1.89200,5.08700,5.08700,0.37000,0.37000,0.04330,16.30820,14.27820,0.01010,1.87050,1.90640,0.14390,1.87050,19.97430,1.0968,1.0167
2022-03-31,13.98500,0.83300,13.15200,10.81400,10.81400,2.33800,,2.33800,0.30700,2.03100,2.03100,2.03100,5.18600,5.18600,0.39000,0.39000,0.03260,17.91430,15.56200,0.00980,1.87880,1.91270,0.15320,1.87880,21.12130,0.87390,0.83590
