Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,21.58620,10.82820,10.75800,7.91670,7.91670,2.84130,2.84130,0.36940,2.47190,2.47190,2.47190,10.08700,10.21600,0.25000,0.24000,1.79970,26.17060,22.76800,0.00730,1.76530,1.79030,0.16560,1.76530,12.78900,0.2802,0.2733
2024-06-30,21.19740,10.50940,10.68800,8.32230,8.32240,2.36560,2.36560,0.30510,2.06060,2.06060,2.06060,10.06700,10.17800,0.20000,0.20000,1.92200,22.70830,19.78000,0.00700,1.57160,1.59520,0.13780,1.57160,11.89860,0.2877,0.2803
2024-03-31,20.63910,9.67740,10.96170,8.24060,8.24070,2.72110,2.72110,0.35220,2.36890,2.36890,2.36890,10.16000,10.23000,0.23000,0.23000,2.06210,25.24520,21.97800,0.00720,1.78930,1.81600,0.15920,1.78930,11.90990,0.21140,0.20480
2023-12-31,19.75980,9.25000,10.50980,8.33290,8.33290,2.17690,2.17690,0.23500,1.94190,1.94190,1.94190,10.39600,10.45100,0.19000,0.19000,2.00950,21.33030,19.02740,0.00700,1.43990,1.46100,0.13290,1.43990,12.03140,0.3572,0.3903
2023-09-30,18.57070,8.28620,10.28450,8.06210,8.06210,2.22240,2.22240,0.27360,1.94880,1.94880,1.94880,10.35900,10.38200,0.19000,0.19000,2.00620,21.71410,19.04050,0.00720,1.64270,1.67040,0.13700,1.64270,10.49840,0.191,0.1987
2023-06-30,17.40070,6.88930,10.51140,7.34420,7.34430,3.16720,3.16720,0.47500,2.69210,2.69210,2.69210,10.40300,10.47600,0.26000,0.26000,1.72740,30.15430,25.63160,0.00750,2.05770,2.08950,0.19100,2.05770,11.42710,0.2767,0.2714
2023-03-31,16.28950,5.32200,10.96750,7.53130,7.53130,3.43620,3.43620,0.53220,2.90400,2.90400,2.90400,10.60000,10.73600,0.27000,0.27000,1.34780,31.82460,26.89570,0.00790,2.13300,2.16510,0.21320,2.13300,11.65040,0.33420,0.33190
2022-12-31,15.68930,3.77430,11.91490,7.94240,7.94240,3.97250,3.97250,0.66830,3.30430,3.30430,3.30430,10.76600,11.05800,0.31000,0.31000,1.35970,33.34100,27.73230,0.00900,2.49600,2.53450,0.24880,2.49600,11.23430,0.2954,0.2814
2022-09-30,14.35380,2.65730,11.69640,7.92270,7.92270,3.77370,3.77370,0.61550,3.15820,3.15820,3.15820,10.63800,10.83600,0.30000,0.29000,1.49630,32.82540,27.47140,0.00900,2.52710,2.56280,0.24700,2.52710,10.58910,0.4499,0.4465
2022-06-30,13.62430,1.89920,11.72510,7.35770,7.35770,4.36750,4.36750,0.88210,3.48530,3.48530,3.48530,10.76300,11.12500,0.32000,0.31000,1.29550,37.89510,30.24130,0.00910,2.50840,2.53840,0.27410,2.50840,11.72730,0.5588,0.5546
