Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,237.00000,181.00000,56.00000,25.00000,25.00000,31.00000,29.00000,60.00000,6.00000,54.00000,54.00000,,43.00000,57.00000,31.00000,53.08600,53.08600,0.81000,0.81000,3.78010,0.39060,0.68920,23.62870,13.08020,13.08020,25.31650,18.14350,0.05770,,2.44330,36.83540,2.53160,2.95730,1.31350,1.54290,,2.3578,-1.1589
2024-06-30,181.00000,151.00000,30.00000,22.00000,22.00000,8.00000,99.00000,107.00000,,107.00000,107.00000,,112.00000,32.00000,8.00000,52.58200,52.58200,2.13000,2.13000,3.07790,0.40730,0.73840,16.57460,4.41990,4.41990,59.11600,61.87850,0.04530,,1.88540,47.73480,5.41500,6.42640,2.67900,3.20940,,0.3421,-0.9697
2024-03-31,174.00000,137.00000,37.00000,23.00000,23.00000,14.00000,3.00000,17.00000,7.00000,10.00000,10.00000,,8.00000,36.00000,14.00000,53.33300,53.33300,0.15000,0.15000,2.10280,0.42570,0.79870,21.26440,8.04600,8.04600,9.77010,4.59770,0.04290,,2.59700,34.65520,0.53680,0.64430,0.24670,0.30830,,1.31250,0.01880
2023-12-31,150.79600,133.33700,17.45900,13.71500,13.71500,3.74400,13.50700,17.25100,6.19900,11.05200,11.05200,,7.02200,28.68300,3.74400,53.36000,53.36000,0.11000,0.11000,3.05290,0.39650,0.73910,11.57790,2.48280,2.48280,11.44000,4.65660,0.03670,,2.21760,40.58460,0.53390,0.63190,0.26900,0.32220,,0.2362,-2.27
2023-09-30,229.00000,176.00000,53.00000,25.00000,25.00000,28.00000,-209.00000,-181.00000,9.00000,-190.00000,-190.00000,,-205.00000,56.00000,28.00000,53.52500,53.52500,-3.83000,-3.83000,2.79010,0.37720,0.66090,23.14410,12.22710,12.22710,-79.03930,-89.51970,0.05850,,2.86250,31.44110,-9.19210,-10.66220,-4.85190,-5.72460,,1.423,0.2998
2023-06-30,165.00000,146.00000,19.00000,23.00000,23.00000,-4.00000,-36.00000,-40.00000,-3.00000,-37.00000,-37.00000,,-30.00000,19.00000,-4.00000,53.57100,53.57100,-0.56000,-0.56000,3.03340,0.35850,0.59810,11.51520,-2.42420,-2.42420,-24.24240,-18.18180,0.04030,,2.20000,40.90910,-1.63070,-1.86770,-0.90440,-1.04610,,3.073,1.4058
2023-03-31,147.00000,117.00000,30.00000,23.00000,23.00000,7.00000,11.00000,18.00000,13.00000,5.00000,5.00000,,-8.00000,22.00000,7.00000,57.14300,57.14300,-0.14000,-0.14000,2.90370,0.34150,0.55390,20.40820,4.76190,4.76190,12.24490,-5.44220,0.03520,,2.77360,32.44900,0.21550,0.24100,0.11980,0.14190,,0.45500,-0.47250
2022-12-31,143.95700,121.11400,22.84300,31.93600,31.93600,-9.09300,-822.26790,-831.36100,3.98000,-835.34100,-835.34100,,-842.34800,9.78300,-9.09300,53.88500,53.88500,-15.63000,-15.63000,5.50170,0.32860,0.50660,15.86790,-6.31650,-6.31650,-577.50660,-585.13870,0.03820,,1.94800,46.20130,-36.38380,-40.25500,-22.14550,-24.42710,42.60620,0.9209,-0.2975
2022-09-30,163.00000,130.00000,33.00000,23.00000,23.00000,10.00000,277.00000,287.00000,16.00000,271.00000,271.00000,,251.00000,25.00000,10.00000,53.97800,53.97800,4.65000,4.65000,5.19600,0.26150,0.37140,20.24540,6.13500,6.13500,176.07360,153.98770,0.03570,,3.13460,28.71170,8.71380,9.38370,5.94170,6.43550,,2.9975,2.022
2022-06-30,121.00000,113.00000,8.00000,23.00000,23.00000,-15.00000,274.00000,259.00000,2.00000,257.00000,257.00000,,265.00000,,-15.00000,53.86200,53.86200,4.92000,4.92000,1.77220,0.29740,0.44260,6.61160,-12.39670,-12.39670,214.04960,219.00830,0.02590,,2.52080,35.70250,9.73850,10.61980,5.50790,6.84240,,10.0628,8.6142
